T,kernel,noise,method,alpha,target,degree_mult,rot,cx,anc,note
5,step,clean,fable,512.0,A,316.43340223994613,16384.0,16405.0,8,
5,step,clean,sfable,430.0,A,265.75461516245474,,,8,rot from compression curve
5,step,clean,lsfable,128.0,A,79.10835055998653,131.0,151.0,8,fixed approx err
5,step,clean,camps,16.0,A,9.888543819998317,,4530.0,3,cx = one transposition-compiled O_c pass
5,step,clean,camps_C,2.0,C,1.2360679774997896,,4530.0,2,
5,step,clean,dictionary,6.0,A,3.7082039324993685,8.0,18120.0,5,erf: classes degenerate to per-entry
5,step,clean,dictionary_C,2.0,C,1.2360679774997896,8.0,18120.0,5,
5,step,clean,szegedy,1.0,Dnorm,1.0,,,7,alpha=1 by construction; operator changed
5,step,clean,dilation,1.6180339887498951,A,1.0,,,1,dense 4^7 sim-only
5,step,clean,hit_oracle,2.0,C,1.2360679774997896,,680.0,39,proposed; QROM over 5T hits
5,step,clean,onebqf,,exp(-iAt),,,4530.0,1,native Givens/Trotter per exp(-iAt) call
10,step,clean,fable,2048.0,A,1265.7336089597845,262144.0,262171.0,10,
10,step,clean,sfable,1660.0,A,1025.9364213248252,,,10,rot from compression curve
10,step,clean,lsfable,512.0,A,316.43340223994613,461.0,487.0,10,fixed approx err
10,step,clean,camps,16.0,A,9.888543819998317,,13500.0,3,cx = one transposition-compiled O_c pass
10,step,clean,camps_C,2.0,C,1.2360679774997896,,13500.0,2,
10,step,clean,dictionary,6.0,A,3.7082039324993685,8.0,54000.0,5,erf: classes degenerate to per-entry
10,step,clean,dictionary_C,2.0,C,1.2360679774997896,8.0,54000.0,5,
10,step,clean,szegedy,1.0,Dnorm,1.0,,,9,alpha=1 by construction; operator changed
10,step,clean,dilation,1.6180339887498951,A,1.0,,,1,dense 4^9 sim-only
10,step,clean,hit_oracle,2.0,C,1.2360679774997896,,880.0,40,proposed; QROM over 5T hits
10,step,clean,onebqf,,exp(-iAt),,,13500.0,1,native Givens/Trotter per exp(-iAt) call
20,step,clean,fable,8192.0,A,5062.934435839138,4194304.0,4194337.0,12,
20,step,clean,sfable,6520.0,A,4029.581606649314,,,12,rot from compression curve
20,step,clean,lsfable,2048.0,A,1265.7336089597845,1721.0,1753.0,12,fixed approx err
20,step,clean,camps,16.0,A,9.888543819998317,,35880.0,3,cx = one transposition-compiled O_c pass
20,step,clean,camps_C,2.0,C,1.2360679774997896,,35880.0,2,
20,step,clean,dictionary,6.0,A,3.7082039324993685,8.0,143520.0,5,erf: classes degenerate to per-entry
20,step,clean,dictionary_C,2.0,C,1.2360679774997896,8.0,143520.0,5,
20,step,clean,szegedy,1.0,Dnorm,1.0,,,11,alpha=1 by construction; operator changed
20,step,clean,dilation,1.6180339887498951,A,1.0,,,1,dense 4^11 sim-only
20,step,clean,hit_oracle,2.0,C,1.2360679774997896,,1280.0,41,proposed; QROM over 5T hits
20,step,clean,onebqf,,exp(-iAt),,,35880.0,1,native Givens/Trotter per exp(-iAt) call
50,step,clean,fable,65536.0,A,35467.82761918114,268435456.0,268435498.0,15,
50,step,clean,lsfable,16384.0,A,8866.956904795285,10313.0,10354.0,15,fixed approx err
50,step,clean,camps,16.0,A,8.659137602339145,,127920.0,3,cx = one transposition-compiled O_c pass
50,step,clean,camps_C,4.0,C,2.1647844005847863,,127920.0,3,
50,step,clean,dictionary,7.0,A,3.7883727010233756,8.0,511680.0,5,erf: classes degenerate to per-entry
50,step,clean,dictionary_C,3.0,C,1.6235883004385896,8.0,511680.0,5,
50,step,clean,szegedy,1.0,Dnorm,1.0,,,14,alpha=1 by construction; operator changed
50,step,clean,dilation,1.847759065022575,A,1.0,,,1,dense 4^14 sim-only
50,step,clean,hit_oracle,4.0,C,2.1647844005847863,,2480.0,42,proposed; QROM over 5T hits
50,step,clean,onebqf,,exp(-iAt),,,127920.0,1,native Givens/Trotter per exp(-iAt) call
100,step,clean,fable,262144.0,A,162013.90194685227,4294967296.0,4294967344.0,17,
100,step,clean,lsfable,65536.0,A,40503.47548671307,40625.0,40672.0,17,fixed approx err
100,step,clean,camps,16.0,A,9.888543819998308,,302016.0,3,cx = one transposition-compiled O_c pass
100,step,clean,camps_C,2.0,C,1.2360679774997885,,302016.0,2,
100,step,clean,dictionary,6.0,A,3.7082039324993654,8.0,1208064.0,5,erf: classes degenerate to per-entry
100,step,clean,dictionary_C,2.0,C,1.2360679774997885,8.0,1208064.0,5,
100,step,clean,szegedy,1.0,Dnorm,1.0,,,16,alpha=1 by construction; operator changed
100,step,clean,dilation,1.6180339887498965,A,1.0,,,1,dense 4^16 sim-only
100,step,clean,hit_oracle,2.0,C,1.2360679774997885,,4480.0,43,proposed; QROM over 5T hits
100,step,clean,onebqf,,exp(-iAt),,,302016.0,1,native Givens/Trotter per exp(-iAt) call
200,step,clean,fable,1048576.0,A,648055.607787409,68719476736.0,68719476790.0,19,
200,step,clean,lsfable,262144.0,A,162013.90194685225,161343.0,161396.0,19,fixed approx err
200,step,clean,camps,16.0,A,9.888543819998306,,748836.0,3,cx = one transposition-compiled O_c pass
200,step,clean,camps_C,2.0,C,1.2360679774997883,,748836.0,2,
200,step,clean,dictionary,6.0,A,3.708203932499365,8.0,2995344.0,5,erf: classes degenerate to per-entry
200,step,clean,dictionary_C,2.0,C,1.2360679774997883,8.0,2995344.0,5,
200,step,clean,szegedy,1.0,Dnorm,1.0,,,18,alpha=1 by construction; operator changed
200,step,clean,dilation,1.6180339887498967,A,1.0,,,1,dense 4^18 sim-only
200,step,clean,hit_oracle,2.0,C,1.2360679774997883,,8480.0,44,proposed; QROM over 5T hits
200,step,clean,onebqf,,exp(-iAt),,,748836.0,1,native Givens/Trotter per exp(-iAt) call
400,step,clean,fable,4194304.0,A,1498710.3172166466,1099511627776.0,1099511627836.0,21,
400,step,clean,lsfable,1048576.0,A,374677.57930416166,643723.0,643782.0,21,fixed approx err
400,step,clean,camps,32.0,A,11.434252298100636,,2352304.0,4,cx = one transposition-compiled O_c pass
400,step,clean,camps_C,4.0,C,1.4292815372625796,,2352304.0,3,
400,step,clean,dictionary,8.0,A,2.858563074525159,16.0,14113824.0,6,erf: classes degenerate to per-entry
400,step,clean,dictionary_C,4.0,C,1.4292815372625796,16.0,14113824.0,6,
400,step,clean,szegedy,1.0,Dnorm,1.0,,,20,alpha=1 by construction; operator changed
400,step,clean,dilation,2.798608878458592,A,1.0,,,1,dense 4^20 sim-only
400,step,clean,hit_oracle,4.0,C,1.4292815372625796,,16480.0,45,proposed; QROM over 5T hits
400,step,clean,onebqf,,exp(-iAt),,,2352304.0,1,native Givens/Trotter per exp(-iAt) call
100,step,noisy,fable,262144.0,A,141871.31047672464,4294967296.0,4294967344.0,17,
100,step,noisy,lsfable,65536.0,A,35467.82761918116,40593.0,40640.0,17,fixed approx err
100,step,noisy,camps,16.0,A,8.65913760233915,,286528.0,3,cx = one transposition-compiled O_c pass
100,step,noisy,camps_C,4.0,C,2.1647844005847876,,286528.0,3,
100,step,noisy,dictionary,7.0,A,3.788372701023378,8.0,1146112.0,5,erf: classes degenerate to per-entry
100,step,noisy,dictionary_C,3.0,C,1.6235883004385907,8.0,1146112.0,5,
100,step,noisy,szegedy,1.0,Dnorm,1.0,,,16,alpha=1 by construction; operator changed
100,step,noisy,dilation,1.847759065022574,A,1.0,,,1,dense 4^16 sim-only
100,step,noisy,hit_oracle,4.0,C,2.1647844005847876,,4480.0,43,proposed; QROM over 5T hits
