T,rep,kernel,domain,degree,alpha,eff_wp,far_wp,tau_wp,eff_fix,far_fix
200,0,step,A_dilation,8,,1.0,0.15074309978768577,0.3527236984528999,1.0,0.15074309978768577
200,0,step,A_dilation,12,,1.0,0.0,0.35386059841728845,1.0,0.0
200,0,step,A_dilation,16,,1.0,0.0,0.346165876121988,0.5,0.0
200,0,step,A_dilation,20,,1.0,0.0,0.3680174705981834,1.0,0.0
200,0,step,A_dilation,24,,1.0,0.0,0.371819328592232,1.0,0.0
200,0,step,A_dilation,28,,1.0,0.0,0.35813823934256395,1.0,0.0
200,0,step,A_dilation,32,,1.0,0.0,0.3599809098734219,1.0,0.0
200,0,step,A_dilation,40,,1.0,0.0,0.3645849316573978,1.0,0.0
200,0,step,A_dilation,54,,1.0,0.0,0.3627979061164761,1.0,0.0
200,0,step,A_dilation,64,,1.0,0.0,0.36422072265989064,1.0,0.0
200,0,step,A_dilation,78,,1.0,0.0,0.3638671123091233,1.0,0.0
200,0,step,A_dilation,100,,1.0,0.0,0.36388742771600696,1.0,0.0
200,0,step,C_alpha,8,2.0,1.0,0.0,0.34346883724511695,0.5,0.0
200,0,step,C_alpha,12,2.0,1.0,0.0,0.3533964720066994,1.0,0.0
200,0,step,C_alpha,16,2.0,1.0,0.0,0.3515520567450502,1.0,0.0
200,0,step,C_alpha,20,2.0,1.0,0.0,0.35826932698802305,1.0,0.0
200,0,step,C_alpha,24,2.0,1.0,0.0,0.3592417110563846,1.0,0.0
200,0,step,C_alpha,28,2.0,1.0,0.0,0.3612932641621633,1.0,0.0
200,0,step,C_alpha,32,2.0,1.0,0.0,0.3629897104750385,1.0,0.0
200,0,step,C_alpha,40,2.0,1.0,0.0,0.3635520851715076,1.0,0.0
200,0,step,C_alpha,54,2.0,1.0,0.0,0.3637895357251907,1.0,0.0
200,0,step,C_alpha,64,2.0,1.0,0.0,0.363773374368736,1.0,0.0
200,0,step,C_alpha,78,2.0,1.0,0.0,0.36376180494676047,1.0,0.0
200,0,step,C_alpha,100,2.0,1.0,0.0,0.3637630089410129,1.0,0.0
200,0,step,normalized,8,,1.0,0.995,0.17173101757534612,0.5,0.9974915024645988
200,0,step,normalized,12,,1.0,0.15074309978768577,0.2445678016932822,0.5,0.26199261992619927
200,0,step,normalized,16,,1.0,0.15074309978768577,0.057441094007637736,0.5,0.26199261992619927
200,0,step,normalized,20,,1.0,0.0,0.18425998971492805,0.5,0.0
200,0,step,normalized,24,,1.0,0.15074309978768577,0.12436347968187653,0.5,0.0
200,0,step,normalized,28,,1.0,0.0,0.36710690288422043,1.0,0.0
200,0,step,normalized,32,,1.0,0.0,0.33286072573423303,0.5,0.0
200,0,step,normalized,40,,1.0,0.0,0.3438377052725021,0.5,0.0
200,0,step,normalized,54,,1.0,0.0,0.3358978193137713,0.5,0.0
200,0,step,normalized,64,,1.0,0.0,0.33607178965556433,0.5,0.0
200,0,step,normalized,78,,1.0,0.0,0.33607689961360343,0.5,0.0
200,0,step,normalized,100,,1.0,0.0,0.33607687280988496,0.5,0.0
200,1,step,A_dilation,8,,1.0,0.1683991683991684,0.35272369845289986,1.0,0.1683991683991684
200,1,step,A_dilation,12,,1.0,0.0,0.3538605984172884,1.0,0.0
200,1,step,A_dilation,16,,1.0,0.0,0.346165876121988,0.5,0.0
200,1,step,A_dilation,20,,1.0,0.0,0.36801747059818346,1.0,0.0
200,1,step,A_dilation,24,,1.0,0.0,0.3718193285922322,1.0,0.0
200,1,step,A_dilation,28,,1.0,0.0,0.35813823934256384,1.0,0.0
200,1,step,A_dilation,32,,1.0,0.0,0.35998090987342174,1.0,0.0
200,1,step,A_dilation,40,,1.0,0.0,0.36458493165739775,1.0,0.0
200,1,step,A_dilation,54,,1.0,0.0,0.3627979061164762,1.0,0.0
200,1,step,A_dilation,64,,1.0,0.0,0.3642207226598906,1.0,0.0
200,1,step,A_dilation,78,,1.0,0.0,0.36386711230912316,1.0,0.0
200,1,step,A_dilation,100,,1.0,0.0,0.3638874277160068,1.0,0.0
200,1,step,C_alpha,8,2.0,1.0,0.0,0.34346883724511695,0.5,0.0
200,1,step,C_alpha,12,2.0,1.0,0.0,0.3533964720066991,1.0,0.0
200,1,step,C_alpha,16,2.0,1.0,0.0,0.3515520567450501,1.0,0.0
200,1,step,C_alpha,20,2.0,1.0,0.0,0.3582693269880229,1.0,0.0
200,1,step,C_alpha,24,2.0,1.0,0.0,0.3592417110563844,1.0,0.0
200,1,step,C_alpha,28,2.0,1.0,0.0,0.3612932641621634,1.0,0.0
200,1,step,C_alpha,32,2.0,1.0,0.0,0.3629897104750385,1.0,0.0
200,1,step,C_alpha,40,2.0,1.0,0.0,0.3635520851715078,1.0,0.0
200,1,step,C_alpha,54,2.0,1.0,0.0,0.3637895357251907,1.0,0.0
200,1,step,C_alpha,64,2.0,1.0,0.0,0.36377337436873597,1.0,0.0
200,1,step,C_alpha,78,2.0,1.0,0.0,0.36376180494676047,1.0,0.0
200,1,step,C_alpha,100,2.0,1.0,0.0,0.3637630089410128,1.0,0.0
200,1,step,normalized,8,,1.0,0.995,0.1717310175753461,0.5,0.9974911877971374
200,1,step,normalized,12,,1.0,0.1683991683991684,0.2445678016932822,0.5,0.28825622775800713
200,1,step,normalized,16,,1.0,0.1683991683991684,0.057441094007637715,0.5,0.28825622775800713
200,1,step,normalized,20,,1.0,0.0,0.184259989714928,0.5,0.0
200,1,step,normalized,24,,1.0,0.1683991683991684,0.1243634796818766,0.5,0.0
200,1,step,normalized,28,,1.0,0.0,0.36710690288422043,1.0,0.0
200,1,step,normalized,32,,1.0,0.0,0.3328607257342331,0.5,0.0
200,1,step,normalized,40,,1.0,0.0,0.34383770527250235,0.5,0.0
200,1,step,normalized,54,,1.0,0.0,0.3358978193137712,0.5,0.0
200,1,step,normalized,64,,1.0,0.0,0.33607178965556456,0.5,0.0
200,1,step,normalized,78,,1.0,0.0,0.33607689961360343,0.5,0.0
200,1,step,normalized,100,,1.0,0.0,0.33607687280988496,0.5,0.0
200,2,step,A_dilation,8,,0.99,0.14285714285714285,0.38530563013419405,0.99,0.14285714285714285
200,2,step,A_dilation,12,,0.99,0.0,0.3865152790924466,0.99,0.14285714285714285
200,2,step,A_dilation,16,,0.99,0.0,0.37815527098603097,0.99,0.0
200,2,step,A_dilation,20,,0.99,0.0,0.402090866294011,0.99,0.0
200,2,step,A_dilation,24,,0.99,0.0,0.4062384598090538,0.99,0.0
200,2,step,A_dilation,28,,0.99,0.0,0.3912838932554435,0.99,0.0
200,2,step,A_dilation,32,,0.99,0.0,0.39331320877104115,0.99,0.0
200,2,step,A_dilation,40,,0.99,0.0,0.39833261936181324,0.99,0.0
200,2,step,A_dilation,54,,0.99,0.0,0.3963916611579616,0.99,0.0
200,2,step,A_dilation,64,,0.99,0.0,0.39794625186028443,0.99,0.0
200,2,step,A_dilation,78,,0.99,0.0,0.39755989071425146,0.99,0.0
200,2,step,A_dilation,100,,0.99,0.0,0.3975820936799627,0.99,0.0
200,2,step,C_alpha,8,4.0,0.99,0.14285714285714285,0.386433857098608,0.99,0.14285714285714285
200,2,step,C_alpha,12,4.0,0.99,0.14285714285714285,0.38957274257588137,0.99,0.14285714285714285
200,2,step,C_alpha,16,4.0,0.99,0.0,0.3763110048622644,0.99,0.0
200,2,step,C_alpha,20,4.0,0.99,0.0,0.397124094082775,0.99,0.0
200,2,step,C_alpha,24,4.0,0.99,0.0,0.40816982484052095,0.99,0.0
200,2,step,C_alpha,28,4.0,0.99,0.0,0.39627100858485936,0.99,0.0
200,2,step,C_alpha,32,4.0,0.99,0.0,0.39184720404361906,0.99,0.0
200,2,step,C_alpha,40,4.0,0.99,0.0,0.39515274902951947,0.99,0.0
200,2,step,C_alpha,54,4.0,0.99,0.0,0.39518540556269693,0.99,0.0
200,2,step,C_alpha,64,4.0,0.99,0.0,0.39792789220724056,0.99,0.0
200,2,step,C_alpha,78,4.0,0.99,0.0,0.39737235655643,0.99,0.0
200,2,step,C_alpha,100,4.0,0.99,0.0,0.3975956919082334,0.99,0.0
200,2,step,normalized,8,,1.0,0.995,0.18576565580620452,0.5,0.9974936715205895
200,2,step,normalized,12,,1.0,0.14893617021276595,0.26455499248846304,0.5,0.2537313432835821
