T,rep,bits,edges_changed,nnz_ref,eff_wp,far_wp,tau_wp,eff_fix,far_fix,eff_classical,far_classical
100,0,4,28152,624,0.9975,0.9900202596233211,0.002394146868118521,0.1425,0.6369426751592356,0.5225,0.9748283752860412
100,0,6,2070,624,1.0,0.99,0.0059897569654947,0.0875,0.35185185185185186,0.27,0.8235294117647058
100,0,8,600,624,1.0,0.99,0.013293647263497424,0.03,0.0,0.1,0.1111111111111111
100,0,10,208,624,1.0,0.99,0.0034767571140243343,0.44,0.0,0.5875,0.00423728813559322
100,0,12,8,624,1.0,0.0,0.3438377052725022,0.5,0.0,1.0,0.0
100,0,16,2,624,1.0,0.0,0.3438377052725022,0.5,0.0,1.0,0.0
100,0,64,0,624,1.0,0.0,0.3438377052725022,0.5,0.0,1.0,0.0
100,1,4,24404,616,1.0,0.9899967489434066,0.0027715105380300563,0.135,0.7759336099585062,0.54,0.9735294117647059
100,1,6,1772,616,1.0,0.99,0.006259397061090709,0.145,0.18309859154929578,0.2875,0.7058823529411765
100,1,8,542,616,1.0,0.99,0.008401511730681243,0.08,0.030303030303030304,0.11,0.08333333333333333
100,1,10,172,616,1.0,0.99,0.003328785708961626,0.48,0.0,0.6675,0.0
100,1,12,2,616,1.0,0.0,0.34383770527250207,0.5,0.0,1.0,0.0
100,1,16,0,616,1.0,0.0,0.3438377052725023,0.5,0.0,1.0,0.0
100,1,64,0,616,1.0,0.0,0.3438377052725023,0.5,0.0,1.0,0.0
100,2,4,24322,630,0.9975,0.99002400240024,0.0004846242966359614,0.115,0.7830188679245284,0.355,0.9781403940886699
100,2,6,1762,630,1.0,0.99,0.006788856376349431,0.0975,0.3275862068965517,0.305,0.7644787644787645
100,2,8,518,630,1.0,0.99,0.00713881818651817,0.11,0.022222222222222223,0.23,0.031578947368421054
100,2,10,186,630,1.0,0.99,0.0031826350656942864,0.53,0.0,0.6525,0.018796992481203006
100,2,12,8,630,0.99,0.0,0.28819272623419523,0.495,0.0,1.0,0.004975124378109453
100,2,16,0,630,0.99,0.0,0.28819272623419523,0.495,0.0,1.0,0.004975124378109453
100,2,64,0,630,0.99,0.0,0.28819272623419523,0.495,0.0,1.0,0.004975124378109453
200,0,4,189296,1342,1.0,0.9949991248468482,0.0002197802511831853,0.1275,0.8729763387297634,0.16625,0.9947418360085396
200,0,6,11948,1342,1.0,0.995,0.006190200300252937,0.10875,0.4161073825503356,0.385,0.9325891880061282
200,0,8,1608,1342,1.0,0.995,0.009588454992855924,0.06375,0.07272727272727272,0.1625,0.1503267973856209
200,0,10,502,1342,1.0,0.995,0.003426787603691624,0.45625,0.0,0.62,0.015873015873015872
200,0,12,42,1342,0.99625,0.0,0.34424376069070534,0.49875,0.0,1.0,0.0012484394506866417
200,0,16,4,1342,1.0,0.0,0.3438377052725021,0.5,0.0,1.0,0.0
200,0,64,0,1342,1.0,0.0,0.3438377052725021,0.5,0.0,1.0,0.0
