T,method,n_sys,ancillas,lcu_qubits,qubits_total,degree_star,cx_per_call,cx_per_solve,note
200,native 1BQF (reference),18,1,0,19,,748836.0,,"exp(-iAt), 1 call"
200,dilation (simulation-only),18,1,4,23,12.0,,,dense 4^n gate
200,camps_C / dictionary_C,18,4,5,27,16.0,748836.0,11981376.0,transposition-compiled
200,hit_oracle (C/alpha),18,45,5,68,16.0,8480.0,135680.0,QROM over 5T hits
200,szegedy walk (hit-prep),18,63,5,86,20.0,16978.0,339560.0,2x O_P + swap
400,native 1BQF (reference),20,1,0,21,,2352304.0,,"exp(-iAt), 1 call"
400,dilation (simulation-only),20,1,5,26,20.0,,,dense 4^n gate
400,camps_C / dictionary_C,20,4,5,29,20.0,2352304.0,47046080.0,transposition-compiled
400,hit_oracle (C/alpha),20,45,5,70,20.0,16480.0,329600.0,QROM over 5T hits
400,szegedy walk (hit-prep),20,65,5,90,20.0,32980.0,659600.0,2x O_P + swap
