T,rep,knob,cut,nnz,alpha_dict,eff_wp,far_wp,tau_wp,eff_fix,far_fix,eff_classical,far_classical
200,0,erf_value_cut,0.0,2610,1366.5134970180045,0.99,0.0025188916876574307,1.0460872098493215,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.001,1828,1366.4873303664322,0.99,0.0025188916876574307,1.046465104577823,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.003,1782,1366.4441634456991,0.99,0.0025188916876574307,1.046465104577823,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.01,1722,1366.2620641700519,0.99,0.0025188916876574307,1.0469663449792654,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.03,1640,1365.5074803932266,0.99,0.0025188916876574307,1.0476087882222038,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.1,1560,1363.3098755423016,0.99,0.0025188916876574307,1.050399623207111,1.0,0.007444168734491315,1.0,0.1443850267379679
200,0,erf_value_cut,0.3,1482,1356.016494880153,0.99,0.0025188916876574307,1.0551245862028356,1.0,0.004975124378109453,1.0,0.1443850267379679
200,1,erf_value_cut,0.0,2562,1376.7148224249017,0.99,0.005025125628140704,1.0510293659973329,1.0,0.007444168734491315,1.0,0.15522703273495247
200,1,erf_value_cut,0.001,1860,1376.6836138212525,0.99,0.0025188916876574307,1.0512735477190396,1.0,0.004975124378109453,1.0,0.15522703273495247
200,1,erf_value_cut,0.003,1808,1376.6335957323236,0.99,0.0025188916876574307,1.0515866446249935,1.0,0.004975124378109453,1.0,0.15522703273495247
200,1,erf_value_cut,0.01,1718,1376.3541855598112,0.99,0.0025188916876574307,1.0526983804272272,1.0,0.004975124378109453,1.0,0.15522703273495247
200,1,erf_value_cut,0.03,1640,1375.6798952048864,0.99,0.0025188916876574307,1.0533884073192934,1.0,0.004975124378109453,1.0,0.15522703273495247
200,1,erf_value_cut,0.1,1576,1373.9544509455454,0.99,0.0025188916876574307,1.054563736237566,1.0,0.004975124378109453,1.0,0.15522703273495247
200,1,erf_value_cut,0.3,1486,1365.6434474434127,0.99,0.0025188916876574307,1.0594332538408797,1.0,0.0024937655860349127,1.0,0.1543340380549683
200,2,erf_value_cut,0.0,2664,1390.2617095425594,0.99,0.01,1.0577075124185913,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.001,1940,1390.233780414008,0.99,0.01,1.0577273567346999,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.003,1844,1390.1417772856735,0.99,0.01,1.0586224658536383,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.01,1768,1389.8937759979713,0.99,0.01,1.0590269568413408,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.03,1694,1389.2039772366682,0.99,0.01,1.0590269568413406,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.1,1608,1386.763492781321,0.99,0.01,1.0590269568413406,1.0,0.012345679012345678,0.99,0.1391304347826087
200,2,erf_value_cut,0.3,1490,1375.8775407821317,0.99,0.01,1.0590269568413406,1.0,0.012345679012345678,0.99,0.1391304347826087
