T,method,n_sys,anc,qubits_1bqf,qubits_qsvt,cx_call,degree,cx_qsvt,sim_only
5,native,7,1,8,,4530.0,,,False
5,dilation,7,1,8,12.0,,12.0,,True
5,fable,7,8,15,27.0,16405.0,3797.0,62289785,False
5,sfable,7,8,15,27.0,16405.0,3797.0,62289785,False
5,lsfable,7,8,15,25.0,121.0,949.0,114829,False
5,camps,7,2,9,14.0,4530.0,16.0,72480,False
5,dictionary,7,3,10,15.0,16912.0,16.0,270592,False
5,hit_oracle,7,45,52,57.0,680.0,16.0,10880,False
5,szegedy,7,52,59,64.0,1367.0,20.0,27340,False
10,native,9,1,10,,13500.0,,,False
10,dilation,9,1,10,14.0,,12.0,,True
10,fable,9,10,19,33.0,262171.0,15188.0,3981853148,False
10,sfable,9,10,19,33.0,262171.0,15188.0,3981853148,False
10,lsfable,9,10,19,31.0,427.0,3797.0,1621319,False
10,camps,9,2,11,16.0,13500.0,16.0,216000,False
10,dictionary,9,3,12,17.0,54000.0,16.0,864000,False
10,hit_oracle,9,45,54,59.0,880.0,16.0,14080,False
10,szegedy,9,54,63,68.0,1769.0,20.0,35380,False
20,native,11,1,12,,35880.0,,,False
20,dilation,11,1,12,16.0,,12.0,,True
20,fable,11,12,23,39.0,4194337.0,60755.0,254826944435,False
20,sfable,11,12,23,39.0,4194337.0,60755.0,254826944435,False
20,lsfable,11,12,23,37.0,1633.0,15188.0,24802004,False
20,camps,11,2,13,18.0,35880.0,16.0,574080,False
20,dictionary,11,3,14,19.0,143520.0,16.0,2296320,False
20,hit_oracle,11,45,56,61.0,1280.0,16.0,20480,False
20,szegedy,11,56,67,72.0,2571.0,20.0,51420,False
50,native,14,1,15,,127920.0,,,False
50,dilation,14,1,15,19.0,,12.0,,True
50,fable,14,15,29,48.0,268435498.0,425613.0,114249637610274,False
50,sfable,14,15,29,48.0,268435498.0,425613.0,114249637610274,False
50,lsfable,14,15,29,46.0,10042.0,106403.0,1068498926,False
50,camps,14,3,17,22.0,127920.0,16.0,2046720,False
50,dictionary,14,4,18,23.0,511680.0,16.0,8186880,False
50,hit_oracle,14,45,59,64.0,2480.0,16.0,39680,False
50,szegedy,14,59,73,78.0,4974.0,20.0,99480,False
100,native,16,1,17,,302016.0,,,False
100,dilation,16,1,17,21.0,,12.0,,True
100,fable,16,17,33,54.0,4294967344.0,1944166.0,8350129481315104,False
100,sfable,16,17,33,54.0,4294967344.0,1944166.0,8350129481315104,False
100,lsfable,16,17,33,52.0,40048.0,486041.0,19464969968,False
100,camps,16,2,18,23.0,302016.0,16.0,4832256,False
100,dictionary,16,3,19,24.0,1208064.0,16.0,19329024,False
100,hit_oracle,16,45,61,66.0,4480.0,16.0,71680,False
100,szegedy,16,61,77,82.0,8976.0,20.0,179520,False
200,native,18,1,19,,748836.0,,,False
200,dilation,18,1,19,23.0,,12.0,,True
200,fable,18,19,37,60.0,68719476790.0,7776667.0,534408487410058930,False
200,sfable,18,19,37,60.0,68719476790.0,7776667.0,534408487410058930,False
200,lsfable,18,19,37,58.0,160054.0,1944166.0,311171544964,False
200,camps,18,2,20,25.0,748836.0,16.0,11981376,False
200,dictionary,18,3,21,26.0,2990880.0,16.0,47854080,False
200,hit_oracle,18,45,63,68.0,8480.0,16.0,135680,False
200,szegedy,18,63,81,86.0,16978.0,20.0,339560,False
400,native,20,1,21,,2352304.0,,,False
400,dilation,20,1,21,26.0,,20.0,,True
400,fable,20,21,41,66.0,1099511627836.0,29974206.0,32956988032151598216,False
400,sfable,20,21,41,66.0,1099511627836.0,29974206.0,32956988032151598216,False
400,lsfable,20,21,41,64.0,640060.0,7493551.0,4796322253060,False
400,camps,20,3,23,28.0,2352304.0,20.0,47046080,False
400,dictionary,20,4,24,29.0,14106240.0,20.0,282124800,False
400,hit_oracle,20,45,65,70.0,16480.0,20.0,329600,False
400,szegedy,20,65,85,90.0,32980.0,28.0,923440,False
700,native,21,1,22,,7023162.0,,,False
700,dilation,21,1,22,27.0,,20.0,,True
700,fable,21,22,43,70.0,4398046511167.0,90687654.0,398848520280620032218,False
700,sfable,21,22,43,70.0,4398046511167.0,90687654.0,398848520280620032218,False
700,lsfable,21,22,43,68.0,1960063.0,22671913.0,44438377810519,False
700,camps,21,3,24,29.0,7023162.0,20.0,140463240,False
700,dictionary,21,4,25,30.0,42130944.0,20.0,842618880,False
700,hit_oracle,21,45,66,71.0,28480.0,20.0,569600,False
700,szegedy,21,66,87,92.0,56981.0,28.0,1595468,False
1000,native,22,1,23,,18481668.0,,,False
1000,dilation,22,1,23,28.0,,20.0,,True
1000,fable,22,23,45,73.0,17592186044482.0,181375308.0,3190788162211224450456,False
1000,sfable,22,23,45,73.0,17592186044482.0,181375308.0,3190788162211224450456,False
1000,lsfable,22,23,45,71.0,4000066.0,45343827.0,181378300692582,False
1000,camps,22,3,25,30.0,18481668.0,20.0,369633360,False
1000,dictionary,22,4,26,31.0,110881536.0,20.0,2217630720,False
1000,hit_oracle,22,45,67,72.0,40480.0,20.0,809600,False
1000,szegedy,22,67,89,94.0,80982.0,28.0,2267496,False
