config,T,rep,eff,ghost,clone,t_ms
point 256,10,0,1.0,0.0,0.0,61.32340431213379
point 1024,10,0,0.9,0.0,0.0,142.0576572418213
locus 1024,10,0,1.0,0.0,0.0,152.7576446533203
locus 2048,10,0,1.0,0.0,0.0,518.7127590179443
point 256,10,1,0.8,0.1111111111111111,0.0,9.978055953979492
point 1024,10,1,1.0,0.0,0.0,146.6529369354248
locus 1024,10,1,1.0,0.0,0.0,154.07800674438477
locus 2048,10,1,1.0,0.0,0.0,529.2477607727051
point 256,10,2,1.0,0.0,0.0,10.749101638793945
point 1024,10,2,1.0,0.0,0.0,149.6596336364746
locus 1024,10,2,1.0,0.0,0.0,162.96052932739258
locus 2048,10,2,1.0,0.0,0.0,599.1003513336182
point 256,10,3,1.0,0.0,0.0,10.773897171020508
point 1024,10,3,1.0,0.0,0.0,151.6575813293457
locus 1024,10,3,1.0,0.0,0.0,149.65248107910156
locus 2048,10,3,1.0,0.0,0.0,526.1030197143555
point 256,10,4,1.0,0.0,0.0,9.582757949829102
point 1024,10,4,1.0,0.0,0.0,136.00707054138184
locus 1024,10,4,1.0,0.0,0.0,145.216703414917
locus 2048,10,4,1.0,0.0,0.0,511.03734970092773
point 256,10,5,1.0,0.0,0.0,12.739419937133789
point 1024,10,5,1.0,0.0,0.0,156.57854080200195
locus 1024,10,5,0.9,0.0,0.0,168.15900802612305
locus 2048,10,5,1.0,0.0,0.0,519.2241668701172
point 256,10,6,1.0,0.0,0.0,9.729146957397461
point 1024,10,6,1.0,0.0,0.0,139.82701301574707
locus 1024,10,6,1.0,0.0,0.0,141.97945594787598
locus 2048,10,6,1.0,0.0,0.0,601.2551784515381
point 256,10,7,1.0,0.0,0.0,10.39576530456543
point 1024,10,7,1.0,0.0,0.0,152.80556678771973
locus 1024,10,7,1.0,0.0,0.0,161.58127784729004
locus 2048,10,7,1.0,0.0,0.0,578.0172348022461
point 256,10,8,1.0,0.0,0.0,9.63902473449707
point 1024,10,8,0.8,0.0,0.0,141.068696975708
locus 1024,10,8,1.0,0.0,0.0,146.38304710388184
locus 2048,10,8,1.0,0.0,0.0,525.3536701202393
point 256,10,9,1.0,0.0,0.0,9.410619735717773
point 1024,10,9,1.0,0.0,0.0,139.16778564453125
locus 1024,10,9,1.0,0.0,0.0,143.80717277526855
locus 2048,10,9,0.9,0.0,0.0,519.5517539978027
point 256,20,0,1.0,0.0,0.0,13.232946395874023
point 1024,20,0,1.0,0.0,0.0,150.82097053527832
locus 1024,20,0,1.0,0.0,0.0,163.4671688079834
locus 2048,20,0,1.0,0.0,0.0,567.7742958068848
point 256,20,1,1.0,0.0,0.0,13.437986373901367
point 1024,20,1,1.0,0.0,0.0,149.68180656433105
locus 1024,20,1,1.0,0.0,0.0,171.62060737609863
locus 2048,20,1,1.0,0.0,0.0,586.9805812835693
point 256,20,2,1.0,0.0,0.0,13.82136344909668
point 1024,20,2,1.0,0.0,0.0,142.1225070953369
locus 1024,20,2,1.0,0.0,0.0,154.42895889282227
locus 2048,20,2,1.0,0.0,0.0,517.7063941955566
point 256,20,3,1.0,0.0,0.0,12.722253799438477
point 1024,20,3,0.8,0.0,0.0,135.91718673706055
locus 1024,20,3,1.0,0.0,0.0,158.47182273864746
locus 2048,20,3,1.0,0.0,0.0,518.3296203613281
point 256,20,4,1.0,0.0,0.0,12.64190673828125
point 1024,20,4,1.0,0.0,0.0,143.7993049621582
locus 1024,20,4,1.0,0.0,0.0,163.0539894104004
locus 2048,20,4,1.0,0.0,0.0,513.7746334075928
point 256,20,5,1.0,0.0,0.0,12.44974136352539
point 1024,20,5,0.85,0.0,0.0,134.14478302001953
locus 1024,20,5,0.95,0.05,0.0,152.43172645568848
locus 2048,20,5,1.0,0.0,0.0,533.4241390228271
point 256,20,6,1.0,0.0,0.0,12.923479080200195
point 1024,20,6,0.95,0.0,0.0,142.1988010406494
locus 1024,20,6,1.0,0.0,0.0,154.7565460205078
locus 2048,20,6,1.0,0.0,0.0,548.6674308776855
point 256,20,7,0.95,0.0,0.0,12.862443923950195
point 1024,20,7,1.0,0.0,0.0,148.60272407531738
locus 1024,20,7,1.0,0.0,0.0,160.2804660797119
locus 2048,20,7,1.0,0.0,0.0,535.6652736663818
point 256,20,8,1.0,0.0,0.0,12.9241943359375
point 1024,20,8,1.0,0.0,0.0,138.80443572998047
locus 1024,20,8,1.0,0.0,0.0,156.83293342590332
locus 2048,20,8,1.0,0.0,0.0,509.4277858734131
point 256,20,9,1.0,0.0,0.0,12.261152267456055
point 1024,20,9,1.0,0.0,0.0,137.02726364135742
locus 1024,20,9,1.0,0.0,0.0,150.07615089416504
locus 2048,20,9,1.0,0.0,0.0,502.8812885284424
point 256,50,0,0.94,0.0,0.0,20.524263381958008
point 1024,50,0,1.0,0.0,0.0,146.61073684692383
locus 1024,50,0,0.96,0.02040816326530612,0.0,182.52301216125488
locus 2048,50,0,0.96,0.02040816326530612,0.0,551.9580841064453
point 256,50,1,1.0,0.0,0.0,20.466327667236328
point 1024,50,1,0.96,0.0,0.0,147.48477935791016
locus 1024,50,1,0.96,0.0,0.0,183.69793891906738
locus 2048,50,1,0.98,0.0,0.0,540.2400493621826
point 256,50,2,1.0,0.0,0.0,20.151138305664062
point 1024,50,2,0.96,0.0,0.0,142.42315292358398
locus 1024,50,2,1.0,0.0,0.0,173.4466552734375
locus 2048,50,2,0.98,0.0,0.0,532.1409702301025
point 256,50,3,0.98,0.0,0.0,21.198749542236328
point 1024,50,3,1.0,0.0,0.0,151.21006965637207
locus 1024,50,3,1.0,0.0,0.0,189.4388198852539
locus 2048,50,3,1.0,0.0,0.0,548.529863357544
point 256,50,4,0.98,0.0,0.0,22.66836166381836
point 1024,50,4,1.0,0.0,0.0,143.51534843444824
locus 1024,50,4,1.0,0.0,0.0,172.55163192749023
locus 2048,50,4,1.0,0.0,0.0,520.7033157348633
point 256,50,5,1.0,0.0,0.0,21.477222442626953
point 1024,50,5,1.0,0.0,0.0,144.43063735961914
locus 1024,50,5,1.0,0.0,0.0,179.0018081665039
locus 2048,50,5,1.0,0.0,0.0,549.3729114532471
point 256,50,6,1.0,0.0,0.0,23.79012107849121
point 1024,50,6,0.74,0.0,0.0,165.05026817321777
locus 1024,50,6,0.98,0.0,0.0,196.83146476745605
locus 2048,50,6,1.0,0.0,0.0,562.0362758636475
point 256,50,7,1.0,0.0,0.0,20.958423614501953
point 1024,50,7,1.0,0.0,0.0,145.3709602355957
locus 1024,50,7,1.0,0.0,0.0,177.4606704711914
locus 2048,50,7,0.98,0.0,0.0,567.9600238800049
point 256,50,8,0.98,0.0,0.0,22.84526824951172
point 1024,50,8,1.0,0.0,0.0,169.79479789733887
locus 1024,50,8,1.0,0.0,0.0,207.9463005065918
locus 2048,50,8,1.0,0.0,0.0,659.9266529083252
point 256,50,9,1.0,0.0,0.0,24.522066116333008
point 1024,50,9,0.56,0.0,0.0,159.0404510498047
locus 1024,50,9,1.0,0.0,0.0,187.9103183746338
locus 2048,50,9,1.0,0.0,0.0,586.1256122589111
point 256,100,0,0.94,0.020833333333333332,0.0,38.48624229431152
point 1024,100,0,0.95,0.0,0.0,188.69304656982422
locus 1024,100,0,0.98,0.0,0.0,246.9925880432129
locus 2048,100,0,1.0,0.0,0.0,643.1913375854492
point 256,100,1,1.0,0.0,0.0,38.91777992248535
point 1024,100,1,1.0,0.0,0.0,173.5372543334961
locus 1024,100,1,0.98,0.0,0.0,232.29503631591797
locus 2048,100,1,1.0,0.0,0.0,633.7637901306152
point 256,100,2,0.95,0.010416666666666666,0.0,38.437604904174805
point 1024,100,2,0.97,0.0,0.0,186.20657920837402
locus 1024,100,2,0.98,0.0,0.0,239.5479679107666
locus 2048,100,2,0.94,0.030927835051546393,0.0,668.0653095245361
point 256,100,3,0.99,0.0,0.0,39.98231887817383
point 1024,100,3,0.97,0.0,0.0,179.4717311859131
locus 1024,100,3,1.0,0.0,0.0,239.53557014465332
locus 2048,100,3,0.99,0.0,0.0,623.2607364654541
point 256,100,4,0.99,0.0,0.0,60.48274040222168
point 1024,100,4,1.0,0.0,0.0,175.84657669067383
locus 1024,100,4,0.98,0.0,0.0,225.57497024536133
locus 2048,100,4,1.0,0.0,0.0,603.6257743835449
point 256,100,5,0.97,0.01020408163265306,0.0,36.51762008666992
point 1024,100,5,0.94,0.0,0.0,174.26466941833496
locus 1024,100,5,1.0,0.0,0.0,257.73072242736816
locus 2048,100,5,1.0,0.0,0.0,617.9368495941162
point 256,100,6,0.94,0.020833333333333332,0.0,38.31028938293457
point 1024,100,6,0.78,0.012658227848101266,0.0,181.43987655639648
locus 1024,100,6,0.95,0.0,0.0,216.8736457824707
locus 2048,100,6,0.97,0.0,0.0,597.2330570220947
point 256,100,7,0.99,0.0,0.0,42.61493682861328
point 1024,100,7,1.0,0.0,0.0,192.70586967468262
locus 1024,100,7,0.98,0.0,0.0,263.2303237915039
locus 2048,100,7,0.98,0.0,0.0,684.8595142364502
