T,rep,n_bins,eff,ghost,n_cand,t_ms
10,0,64,0.9,0.0,9,23.86188507080078
10,0,128,0.9,0.0,9,3.0918121337890625
10,0,256,1.0,0.0,10,6.488323211669922
10,0,512,1.0,0.0,10,24.994611740112305
10,0,1024,0.9,0.0,9,90.76666831970216
10,0,2048,0.6,0.0,6,459.37228202819824
10,1,64,0.8,0.1111111111111111,9,4.650592803955078
10,1,128,0.9,0.0,9,6.014108657836914
10,1,256,0.8,0.1111111111111111,9,12.343168258666992
10,1,512,1.0,0.0,10,45.35317420959473
10,1,1024,1.0,0.0,10,95.7636833190918
10,1,2048,0.2,0.0,2,364.6078109741211
10,2,64,1.0,0.0,10,2.6242733001708984
10,2,128,1.0,0.0,10,3.276348114013672
10,2,256,1.0,0.0,10,6.651401519775391
10,2,512,1.0,0.0,10,24.94335174560547
10,2,1024,1.0,0.0,10,92.7116870880127
10,2,2048,0.4,0.0,4,356.98509216308594
10,3,64,1.0,0.0,10,2.621889114379883
10,3,128,1.0,0.0,10,3.2994747161865234
10,3,256,1.0,0.0,10,6.605148315429688
10,3,512,1.0,0.0,10,25.27308464050293
10,3,1024,1.0,0.0,10,96.10795974731444
10,3,2048,0.9,0.0,9,379.0073394775391
10,4,64,1.0,0.0,10,2.581119537353516
10,4,128,1.0,0.0,10,3.246545791625977
10,4,256,1.0,0.0,10,6.536006927490234
10,4,512,1.0,0.0,10,24.12271499633789
10,4,1024,1.0,0.0,10,92.54813194274902
10,4,2048,0.6,0.0,6,361.9036674499512
10,5,64,0.8,0.1111111111111111,9,2.453804016113281
10,5,128,0.9,0.0,9,3.019094467163086
10,5,256,1.0,0.0,10,6.506919860839844
10,5,512,1.0,0.0,10,23.957252502441406
10,5,1024,1.0,0.0,10,88.66071701049805
10,5,2048,1.0,0.0,10,330.3465843200684
10,6,64,0.9,0.0,9,2.4263858795166016
10,6,128,1.0,0.0,10,3.2088756561279297
10,6,256,1.0,0.0,10,6.508111953735352
10,6,512,1.0,0.0,10,23.909330368041992
10,6,1024,1.0,0.0,10,89.79988098144531
10,6,2048,0.7,0.0,7,330.9760093688965
10,7,64,1.0,0.0,10,2.550840377807617
10,7,128,1.0,0.0,10,3.170251846313477
10,7,256,1.0,0.0,10,6.531953811645508
10,7,512,0.9,0.0,9,24.533510208129883
10,7,1024,1.0,0.0,10,90.01612663269043
10,7,2048,0.3,0.0,3,332.72576332092285
10,8,64,1.0,0.0,10,2.62451171875
10,8,128,1.0,0.0,10,3.329753875732422
10,8,256,1.0,0.0,10,6.857395172119141
10,8,512,0.9,0.0,9,24.77264404296875
10,8,1024,0.8,0.0,8,90.04735946655273
10,8,2048,0.3,0.0,3,346.116304397583
10,9,64,1.0,0.0,10,3.645658493041992
10,9,128,1.0,0.0,10,4.2781829833984375
10,9,256,1.0,0.0,10,7.978916168212891
10,9,512,1.0,0.0,10,28.35369110107422
10,9,1024,1.0,0.0,10,104.7203540802002
10,9,2048,0.4,0.0,4,354.65550422668457
20,0,64,0.95,0.0,19,4.317045211791992
20,0,128,1.0,0.0,20,5.035400390625
20,0,256,1.0,0.0,20,8.306026458740234
20,0,512,1.0,0.0,20,26.38530731201172
20,0,1024,1.0,0.0,20,92.28253364562988
20,0,2048,0.65,0.0,13,344.3677425384521
20,1,64,0.95,0.0,19,4.347562789916992
20,1,128,1.0,0.0,20,5.187273025512695
20,1,256,1.0,0.0,20,8.486509323120117
20,1,512,1.0,0.0,20,26.51762962341309
20,1,1024,1.0,0.0,20,94.80690956115724
20,1,2048,1.0,0.0,20,349.7793674468994
20,2,64,0.9,0.0,18,4.14729118347168
20,2,128,0.95,0.0,19,5.0716400146484375
20,2,256,1.0,0.0,20,8.765220642089844
20,2,512,1.0,0.0,20,27.26888656616211
20,2,1024,1.0,0.0,20,104.56657409667967
20,2,2048,1.0,0.0,20,354.433536529541
20,3,64,1.0,0.0,20,4.473209381103516
20,3,128,1.0,0.0,20,5.099058151245117
20,3,256,1.0,0.0,20,8.552074432373047
20,3,512,1.0,0.0,20,26.276111602783203
20,3,1024,0.8,0.0,16,92.4685001373291
20,3,2048,0.35,0.0,7,336.4853858947754
20,4,64,0.9,0.0,18,4.069328308105469
20,4,128,0.9,0.0,18,4.561662673950195
20,4,256,1.0,0.0,20,8.166313171386719
20,4,512,1.0,0.0,20,25.66099166870117
20,4,1024,1.0,0.0,20,91.00866317749023
20,4,2048,0.95,0.0,19,327.5272846221924
20,5,64,0.9,0.0,18,3.867387771606445
20,5,128,0.95,0.0,19,4.617214202880859
20,5,256,1.0,0.0,20,8.200883865356445
20,5,512,0.9,0.0,18,25.374650955200195
20,5,1024,0.85,0.0,17,89.98441696166992
20,5,2048,0.3,0.0,6,374.3498325347901
