n_true,n_cands,eff,ghost_rate,clone_rate,n_ghost,t_solve,n_hits,n_trk,rep
10,10,1.0,0.0,0.0,0,0.07392120361328125,50,10,0
10,9,0.8,0.1111111111111111,0.0,1,0.0058748722076416016,50,10,1
10,10,1.0,0.0,0.0,0,0.005576133728027344,50,10,2
10,10,1.0,0.0,0.0,0,0.005507230758666992,50,10,3
10,10,1.0,0.0,0.0,0,0.005520343780517578,50,10,4
10,10,1.0,0.0,0.0,0,0.005583047866821289,50,10,5
10,10,1.0,0.0,0.0,0,0.00555109977722168,50,10,6
10,10,1.0,0.0,0.0,0,0.005560398101806641,50,10,7
10,10,1.0,0.0,0.0,0,0.005561351776123047,50,10,8
10,10,1.0,0.0,0.0,0,0.005598306655883789,50,10,9
10,10,1.0,0.0,0.0,0,0.005606889724731445,50,10,10
10,10,1.0,0.0,0.0,0,0.005579233169555664,50,10,11
10,10,1.0,0.0,0.0,0,0.005598306655883789,50,10,12
10,10,1.0,0.0,0.0,0,0.005669116973876953,50,10,13
10,10,1.0,0.0,0.0,0,0.005619525909423828,50,10,14
10,10,1.0,0.0,0.0,0,0.005599260330200195,50,10,15
10,10,1.0,0.0,0.0,0,0.005612611770629883,50,10,16
10,10,1.0,0.0,0.0,0,0.00566411018371582,50,10,17
10,10,1.0,0.0,0.0,0,0.005806922912597656,50,10,18
10,10,1.0,0.0,0.0,0,0.005740642547607422,50,10,19
20,20,1.0,0.0,0.0,0,0.007658243179321289,100,20,0
20,20,1.0,0.0,0.0,0,0.007583141326904297,100,20,1
20,20,1.0,0.0,0.0,0,0.007627248764038086,100,20,2
20,20,1.0,0.0,0.0,0,0.007551431655883789,100,20,3
20,20,1.0,0.0,0.0,0,0.007744312286376953,100,20,4
20,20,1.0,0.0,0.0,0,0.007577657699584961,100,20,5
20,20,1.0,0.0,0.0,0,0.007668495178222656,100,20,6
20,19,0.95,0.0,0.0,0,0.007609844207763672,100,20,7
20,20,1.0,0.0,0.0,0,0.0077991485595703125,100,20,8
20,20,1.0,0.0,0.0,0,0.00767064094543457,100,20,9
20,20,1.0,0.0,0.0,0,0.007661581039428711,100,20,10
20,20,1.0,0.0,0.0,0,0.007639169692993164,100,20,11
20,20,1.0,0.0,0.0,0,0.007624626159667969,100,20,12
20,20,1.0,0.0,0.0,0,0.007729530334472656,100,20,13
20,20,1.0,0.0,0.0,0,0.0077114105224609375,100,20,14
20,20,1.0,0.0,0.0,0,0.007724285125732422,100,20,15
20,20,1.0,0.0,0.0,0,0.007674455642700195,100,20,16
20,20,1.0,0.0,0.0,0,0.007719993591308594,100,20,17
20,20,1.0,0.0,0.0,0,0.007699251174926758,100,20,18
20,20,1.0,0.0,0.0,0,0.007708311080932617,100,20,19
50,47,0.94,0.0,0.0,0,0.012896060943603516,250,50,0
50,50,1.0,0.0,0.0,0,0.013379096984863281,250,50,1
50,50,1.0,0.0,0.0,0,0.013347148895263672,250,50,2
50,49,0.98,0.0,0.0,0,0.013202428817749023,250,50,3
50,49,0.98,0.0,0.0,0,0.013184547424316406,250,50,4
50,50,1.0,0.0,0.0,0,0.013303995132446289,250,50,5
50,50,1.0,0.0,0.0,0,0.012797832489013672,250,50,6
50,50,1.0,0.0,0.0,0,0.013241052627563477,250,50,7
50,49,0.98,0.0,0.0,0,0.013004541397094727,250,50,8
50,50,1.0,0.0,0.0,0,0.012737512588500977,250,50,9
50,50,1.0,0.0,0.0,0,0.013061046600341797,250,50,10
50,50,1.0,0.0,0.0,0,0.012949705123901367,250,50,11
50,49,0.96,0.02040816326530612,0.0,1,0.012823104858398438,250,50,12
50,48,0.94,0.020833333333333332,0.0,1,0.012720823287963867,250,50,13
50,50,1.0,0.0,0.0,0,0.013099908828735352,250,50,14
50,50,1.0,0.0,0.0,0,0.0130157470703125,250,50,15
50,50,1.0,0.0,0.0,0,0.012998580932617188,250,50,16
50,50,1.0,0.0,0.0,0,0.01297903060913086,250,50,17
50,50,1.0,0.0,0.0,0,0.012841463088989258,250,50,18
50,50,1.0,0.0,0.0,0,0.012850522994995117,250,50,19
100,96,0.94,0.020833333333333332,0.0,2,0.02149796485900879,500,100,0
100,100,1.0,0.0,0.0,0,0.021938085556030273,500,100,1
100,96,0.95,0.010416666666666666,0.0,1,0.021077871322631836,500,100,2
100,99,0.99,0.0,0.0,0,0.021663904190063477,500,100,3
100,99,0.99,0.0,0.0,0,0.0220644474029541,500,100,4
100,98,0.97,0.01020408163265306,0.0,1,0.0216372013092041,500,100,5
100,96,0.94,0.020833333333333332,0.0,2,0.021584272384643555,500,100,6
100,99,0.99,0.0,0.0,0,0.022297382354736328,500,100,7
100,95,0.94,0.010526315789473684,0.0,1,0.0205838680267334,500,100,8
100,95,0.94,0.010526315789473684,0.0,1,0.019597291946411133,500,100,9
100,98,0.98,0.0,0.0,0,0.020977258682250977,500,100,10
100,98,0.97,0.01020408163265306,0.0,1,0.02099466323852539,500,100,11
100,98,0.98,0.0,0.0,0,0.021151065826416016,500,100,12
100,99,0.99,0.0,0.0,0,0.021266698837280273,500,100,13
100,98,0.98,0.0,0.0,0,0.02118515968322754,500,100,14
100,100,1.0,0.0,0.0,0,0.021159648895263672,500,100,15
100,97,0.97,0.0,0.0,0,0.02097630500793457,500,100,16
100,99,0.99,0.0,0.0,0,0.02100396156311035,500,100,17
100,100,1.0,0.0,0.0,0,0.021359682083129883,500,100,18
100,100,1.0,0.0,0.0,0,0.021494150161743164,500,100,19
200,193,0.965,0.0,0.0,0,0.038857460021972656,1000,200,0
200,197,0.985,0.0,0.0,0,0.039398908615112305,1000,200,1
200,198,0.985,0.005050505050505051,0.0,1,0.03855466842651367,1000,200,2
200,187,0.925,0.0106951871657754,0.0,2,0.03656578063964844,1000,200,3
200,189,0.925,0.021164021164021163,0.0,4,0.03668951988220215,1000,200,4
200,190,0.93,0.021052631578947368,0.0,4,0.03569650650024414,1000,200,5
200,191,0.945,0.010471204188481676,0.0,2,0.03702974319458008,1000,200,6
200,193,0.96,0.0051813471502590676,0.0,1,0.037509918212890625,1000,200,7
200,183,0.91,0.00546448087431694,0.0,1,0.03520345687866211,1000,200,8
200,191,0.95,0.005235602094240838,0.0,1,0.03550386428833008,1000,200,9
200,197,0.985,0.0,0.0,0,0.03833818435668945,1000,200,10
200,195,0.97,0.005128205128205128,0.0,1,0.03770637512207031,1000,200,11
200,193,0.96,0.0051813471502590676,0.0,1,0.037232160568237305,1000,200,12
200,190,0.95,0.0,0.0,0,0.036691904067993164,1000,200,13
200,193,0.955,0.010362694300518135,0.0,2,0.038053035736083984,1000,200,14
200,192,0.955,0.005208333333333333,0.0,1,0.03805708885192871,1000,200,15
200,194,0.96,0.010309278350515464,0.0,2,0.038327693939208984,1000,200,16
200,185,0.9,0.02702702702702703,0.0,5,0.03677725791931152,1000,200,17
200,190,0.95,0.0,0.0,0,0.0373075008392334,1000,200,18
200,191,0.94,0.015706806282722512,0.0,3,0.037583112716674805,1000,200,19
400,361,0.88,0.024930747922437674,0.0,9,0.06795883178710938,2000,400,0
400,358,0.8575,0.04189944134078212,0.0,15,0.06705141067504883,2000,400,1
400,366,0.885,0.03278688524590164,0.0,12,0.06724429130554199,2000,400,2
400,357,0.855,0.04201680672268908,0.0,15,0.06632280349731445,2000,400,3
400,362,0.895,0.011049723756906077,0.0,4,0.0689702033996582,2000,400,4
400,358,0.88,0.01675977653631285,0.0,6,0.06973838806152344,2000,400,5
400,367,0.8825,0.03814713896457766,0.0,14,0.06789350509643555,2000,400,6
400,366,0.9075,0.00819672131147541,0.0,3,0.06806182861328125,2000,400,7
400,377,0.94,0.002652519893899204,0.0,1,0.07044720649719238,2000,400,8
400,379,0.9475,0.0,0.0,0,0.07119536399841309,2000,400,9
400,363,0.8875,0.02203856749311295,0.0,8,0.068115234375,2000,400,10
400,377,0.9375,0.005305039787798408,0.0,2,0.07152676582336426,2000,400,11
400,368,0.92,0.0,0.0,0,0.07004332542419434,2000,400,12
400,379,0.9475,0.0,0.0,0,0.07201313972473145,2000,400,13
400,373,0.92,0.013404825737265416,0.0,5,0.07085943222045898,2000,400,14
400,366,0.91,0.00546448087431694,0.0,2,0.06956338882446289,2000,400,15
400,359,0.8575,0.04456824512534819,0.0,16,0.06775426864624023,2000,400,16
400,368,0.8975,0.024456521739130436,0.0,9,0.06930804252624512,2000,400,17
400,368,0.9125,0.008152173913043478,0.0,3,0.07066702842712402,2000,400,18
400,372,0.905,0.026881720430107527,0.0,10,0.06992125511169434,2000,400,19
700,590,0.8242857142857143,0.022033898305084745,0.0,13,0.10917115211486816,3500,700,0
700,575,0.7528571428571429,0.08347826086956522,0.0,48,0.10508871078491211,3500,700,1
700,605,0.8357142857142857,0.03305785123966942,0.0,20,0.11189055442810059,3500,700,2
700,590,0.8085714285714286,0.04067796610169491,0.0,24,0.1114654541015625,3500,700,3
700,581,0.8028571428571428,0.03270223752151463,0.0,19,0.10839605331420898,3500,700,4
700,577,0.7628571428571429,0.07452339688041594,0.0,43,0.10590100288391113,3500,700,5
700,623,0.89,0.0,0.0,0,0.11605715751647949,3500,700,6
700,585,0.82,0.018803418803418803,0.0,11,0.11013555526733398,3500,700,7
700,603,0.8442857142857143,0.01990049751243781,0.0,12,0.11288952827453613,3500,700,8
700,582,0.7914285714285715,0.048109965635738834,0.0,28,0.1092061996459961,3500,700,9
700,561,0.7385714285714285,0.0784313725490196,0.0,44,0.10374832153320312,3500,700,10
700,584,0.8042857142857143,0.03595890410958904,0.0,21,0.10941743850708008,3500,700,11
700,614,0.8628571428571429,0.016286644951140065,0.0,10,0.11578679084777832,3500,700,12
700,589,0.8128571428571428,0.03395585738539898,0.0,20,0.10985183715820312,3500,700,13
700,584,0.7871428571428571,0.05650684931506849,0.0,33,0.10822820663452148,3500,700,14
700,624,0.8871428571428571,0.004807692307692308,0.0,3,0.11493515968322754,3500,700,15
700,616,0.87,0.011363636363636364,0.0,7,0.1164546012878418,3500,700,16
700,582,0.7728571428571429,0.070446735395189,0.0,41,0.10776042938232422,3500,700,17
700,577,0.7714285714285715,0.06412478336221837,0.0,37,0.10520219802856445,3500,700,18
700,610,0.86,0.013114754098360656,0.0,8,0.11339640617370605,3500,700,19
1000,775,0.712,0.08129032258064516,0.0,63,0.14215922355651855,5000,1000,0
1000,824,0.822,0.0024271844660194173,0.0,2,0.1558237075805664,5000,1000,1
1000,826,0.821,0.006053268765133172,0.0,5,0.15482187271118164,5000,1000,2
1000,806,0.795,0.013647642679900745,0.0,11,0.15150213241577148,5000,1000,3
1000,822,0.817,0.006082725060827251,0.0,5,0.15582871437072754,5000,1000,4
1000,771,0.71,0.07911802853437094,0.0,61,0.14503836631774902,5000,1000,5
1000,799,0.78,0.023779724655819776,0.0,19,0.15190839767456055,5000,1000,6
1000,828,0.826,0.0024154589371980675,0.0,2,0.15210413932800293,5000,1000,7
1000,815,0.779,0.044171779141104296,0.0,36,0.1529090404510498,5000,1000,8
1000,837,0.832,0.005973715651135006,0.0,5,0.15726494789123535,5000,1000,9
1000,816,0.807,0.011029411764705883,0.0,9,0.154008150100708,5000,1000,10
1000,826,0.818,0.009685230024213076,0.0,8,0.1552584171295166,5000,1000,11
1000,753,0.675,0.10358565737051793,0.0,78,0.13910341262817383,5000,1000,12
1000,794,0.766,0.03526448362720403,0.0,28,0.15180230140686035,5000,1000,13
1000,781,0.706,0.09603072983354674,0.0,75,0.14464092254638672,5000,1000,14
1000,832,0.829,0.003605769230769231,0.0,3,0.15663790702819824,5000,1000,15
1000,747,0.705,0.05622489959839357,0.0,42,0.13978862762451172,5000,1000,16
1000,811,0.797,0.01726263871763255,0.0,14,0.15133094787597656,5000,1000,17
1000,758,0.708,0.06596306068601583,0.0,50,0.14209890365600586,5000,1000,18
1000,790,0.73,0.0759493670886076,0.0,60,0.14601469039916992,5000,1000,19
