metric,p_multi_scatter,slope_vs_hit_res
m_reconstruction_efficiency,0.0,-7.9999999999983435
m_reconstruction_efficiency,1e-05,-84.66666666666619
m_reconstruction_efficiency,2e-05,-3.6666666666651357
m_reconstruction_efficiency,3e-05,16.000000000001943
m_reconstruction_efficiency,4e-05,-20.999999999998145
m_reconstruction_efficiency,5e-05,12.999999999998915
m_reconstruction_efficiency,6e-05,-15.99999999999981
m_reconstruction_efficiency,7e-05,-24.33333333333459
m_reconstruction_efficiency,7.999999999999999e-05,-3.6666666666675147
m_reconstruction_efficiency,8.999999999999999e-05,6.666666666667985
m_ghost_rate,0.0,0.0
m_ghost_rate,1e-05,0.0
m_ghost_rate,2e-05,0.0
m_ghost_rate,3e-05,0.0
m_ghost_rate,4e-05,0.0
m_ghost_rate,5e-05,0.0
m_ghost_rate,6e-05,0.0
m_ghost_rate,7e-05,0.0
m_ghost_rate,7.999999999999999e-05,0.0
m_ghost_rate,8.999999999999999e-05,0.0
m_clone_fraction_total,0.0,0.0
m_clone_fraction_total,1e-05,0.0
m_clone_fraction_total,2e-05,0.0
m_clone_fraction_total,3e-05,0.0
m_clone_fraction_total,4e-05,0.0
m_clone_fraction_total,5e-05,0.0
m_clone_fraction_total,6e-05,0.0
m_clone_fraction_total,7e-05,0.0
m_clone_fraction_total,7.999999999999999e-05,0.0
m_clone_fraction_total,8.999999999999999e-05,0.0
m_hit_efficiency_weighted,0.0,-0.3333333333326548
m_hit_efficiency_weighted,1e-05,-59.04621428181996
m_hit_efficiency_weighted,2e-05,-1.8391877493634121
m_hit_efficiency_weighted,3e-05,58.46893977984055
m_hit_efficiency_weighted,4e-05,-45.30218007547116
m_hit_efficiency_weighted,5e-05,49.8230796025591
m_hit_efficiency_weighted,6e-05,-6.87241551204111
m_hit_efficiency_weighted,7e-05,6.485276348285038
m_hit_efficiency_weighted,7.999999999999999e-05,15.74131276031893
m_hit_efficiency_weighted,8.999999999999999e-05,-6.690501518966617
m_hit_efficiency_mean,0.0,-0.3333333333326548
m_hit_efficiency_mean,1e-05,-59.04621428181996
m_hit_efficiency_mean,2e-05,-1.8391877493634121
m_hit_efficiency_mean,3e-05,58.46893977984055
m_hit_efficiency_mean,4e-05,-45.30218007547116
m_hit_efficiency_mean,5e-05,49.8230796025591
m_hit_efficiency_mean,6e-05,-6.87241551204111
m_hit_efficiency_mean,7e-05,6.485276348285038
m_hit_efficiency_mean,7.999999999999999e-05,15.74131276031893
m_hit_efficiency_mean,8.999999999999999e-05,-6.690501518966617
m_purity_primary_only,0.0,-2.989498894333741
m_purity_primary_only,1e-05,0.1401512946119895
m_purity_primary_only,2e-05,-0.8091546764608537
m_purity_primary_only,3e-05,62.86389042670105
m_purity_primary_only,4e-05,-71.66076665809561
m_purity_primary_only,5e-05,66.96622817584671
m_purity_primary_only,6e-05,-3.490513567389307
m_purity_primary_only,7e-05,-3.532668484464611
m_purity_primary_only,7.999999999999999e-05,2.1779613467125625
m_purity_primary_only,8.999999999999999e-05,1.683945697992708
m_purity_all_matched,0.0,-2.989498894333741
m_purity_all_matched,1e-05,0.1401512946119895
m_purity_all_matched,2e-05,-0.8091546764608537
m_purity_all_matched,3e-05,62.86389042670105
m_purity_all_matched,4e-05,-71.66076665809561
m_purity_all_matched,5e-05,66.96622817584671
m_purity_all_matched,6e-05,-3.490513567389307
m_purity_all_matched,7e-05,-3.532668484464611
m_purity_all_matched,7.999999999999999e-05,2.1779613467125625
m_purity_all_matched,8.999999999999999e-05,1.683945697992708
