config,beta,eps_B,gamma,rep,n_seg,n_true,B_nnz,lam_lo,lam_hi,s_prime,degree,tau_abs,P_anc_comb,P_anc_1bqf,cls_eff_wp,cls_far_wp,cls_eff_abs,cls_far_abs,bqf_eff_wp,bqf_far_wp,comb_eff_wp,comb_far_wp,comb_eff_tau,comb_far_tau,comb_gate_eff,comb_gate_far,comb_gate_best_tau,comb_gate_best_eff,comb_gate_best_far,cls_gate_best_eff,cls_gate_best_far,circ_eff_wp,circ_far_wp,cos_emu_circ
beta0,0.0,0.006312668537322595,3.0,0,157609,788,0,0.6327818341300515,7.367218165866501,4.0,40,0.35,0.0023712214760796078,0.002050106197269508,0.9949238578680203,0.6496872207327972,0.9898477157360406,0.21212121212121213,0.9949238578680203,0.6495306213679034,0.9923857868020305,0.9950380080965494,0.950507614213198,0.19548872180451127,0.9251269035532995,0.018842530282637954,0.011894633848483294,0.9517766497461929,0.05422446406052964,0.9416243654822335,0.040103492884864166,0.9949238578680203,0.6496872207327972,0.9862177456779507
beta0,0.0,0.006312668537322595,3.0,1,156611,783,0,0.9324217837611074,7.067578216238896,4.0,40,0.35,0.00352475813110889,0.0020724847619956934,0.9974457215836526,0.6666666666666666,0.9846743295019157,0.19267015706806281,0.9974457215836526,0.6666666666666666,0.9974457215836526,0.9950130261544748,0.8416347381864623,0.17625,0.8378033205619413,0.007564296520423601,0.004260784495485984,0.9399744572158365,0.06361323155216285,0.9527458492975734,0.0324254215304799,,,
beta0,0.0,0.006312668537322595,3.0,2,157212,786,0,0.8361882257492769,7.163811774246958,4.0,40,0.35,0.00227887329356637,0.001953659935791513,0.9936386768447837,0.6272076372315036,0.9885496183206107,0.19814241486068113,0.9910941475826972,0.6269157088122606,0.9910941475826972,0.9950090017362779,0.8753180661577609,0.16606060606060605,0.8689567430025446,0.01443001443001443,0.000846489466308644,0.9491094147582697,0.05569620253164557,0.9312977099236641,0.043137254901960784,,,
b0.5-g3,0.5,0.006312668537322595,3.0,0,157609,788,18362,1.4705355689895254,8.330583109017,4.0,40,0.35,0.012899820811959613,0.0047646605818953865,0.9911167512690355,0.6228874939642685,0.9568527918781726,0.1313364055299539,0.9911167512690355,0.7252901864227929,0.9911167512690355,0.994991213780896,0.950507614213198,0.9574576848801545,0.934010152284264,0.06480304955527319,0.0037365328256546457,0.9352791878172588,0.07061790668348046,0.9416243654822335,0.06431273644388398,,,
b0.5-gstar,0.5,0.006312668537322595,3.4305831090170913,0,157609,788,18362,1.901118680932341,8.761166218034182,4.430583109017091,40,0.32570392550921956,0.014471579691626973,0.003924919861260635,0.9911167512690355,0.6341920374707259,0.5177664974619289,0.16393442622950818,0.9911167512690355,0.7251935256861365,0.9911167512690355,0.9949921772807715,0.9314720812182741,0.5739988392338944,0.9175126903553299,0.0163265306122449,0.010922734990367172,0.9263959390862944,0.07944514501891552,0.9479695431472082,0.058007566204287514,0.9936548223350253,0.9598749615660551,0.9446277858090663
b0.5-gstar,0.5,0.006312668537322595,3.1298852615220825,1,156611,783,18406,1.9384717621915417,8.159770523044164,4.129885261522082,40,0.34213747759942537,0.013001116226812146,0.004541061562974393,0.9923371647509579,0.645367412140575,0.9501915708812261,0.08374384236453201,0.9936143039591315,0.7410981697171382,0.9987228607918263,0.994989684644857,0.929757343550447,0.48,0.9272030651340997,0.009549795361527967,0.0033869073320691367,0.9323116219667944,0.07124681933842239,0.9578544061302682,0.04580152671755725,,,
b0.5-gstar,0.5,0.006312668537322595,3.253595522667459,2,157212,786,24624,2.0052187501080354,8.407191045334917,4.253595522667458,40,0.3350952258321198,0.016330669102761132,0.005050435968907484,0.9910941475826972,0.6234896085065249,0.5432569974554707,0.13211382113821138,0.9923664122137404,0.7541758588086984,0.9910941475826972,0.9949792790528303,0.9376590330788804,0.9678474827676468,0.926208651399491,0.06905370843989769,0.004418772920764686,0.9287531806615776,0.07477820025348543,0.9427480916030534,0.0620253164556962,,,
b1-gstar,1.0,0.006312668537322595,4.412198397571521,0,157609,788,18362,2.99798483530736,10.724396795143042,5.412198397571521,40,0.2847678016476086,0.03752227267063493,0.007140173590585766,0.9911167512690355,0.6392609699769053,0.07614213197969544,0.03225806451612903,0.9911167512690355,0.9596361569073337,0.9911167512690355,0.9944424282532431,0.9073604060913706,0.11400247831474597,0.9010152284263959,0.009762900976290097,0.0021026594572625176,0.9530456852791879,0.05296343001261034,0.9454314720812182,0.0605296343001261,0.9923857868020305,0.9599262068258686,0.9846352176814462
b1-gstar,1.0,0.006312668537322595,4.111041390720601,1,156611,783,18406,2.589704580048876,10.122082781441202,5.111041390720601,40,0.2956548428301832,0.02616598247470278,0.008032049042277969,0.9910600255427842,0.6509221772379667,0.4789272030651341,0.0,0.9923371647509579,0.9603288062902073,1.0,0.9950003511886139,0.9067688378033205,0.05585106382978723,0.9054916985951469,0.005610098176718092,0.00170472565263431,0.9655172413793104,0.03816793893129771,0.9604086845466155,0.043256997455470736,,,
b1-gstar,1.0,0.006312668537322595,4.248592619195085,2,157212,786,24624,2.6583622664475914,10.39718523839017,5.248592619195085,40,0.29052726560312814,0.030949041928587023,0.009806832090121618,0.9910941475826972,0.9941887788975837,0.4592875318066158,0.010958904109589041,0.9910941475826972,0.9689727964312741,0.9910941475826972,0.994214114885842,0.8727735368956743,0.07171853856562922,0.8651399491094147,0.0072992700729927005,0.0011324450493558403,0.955470737913486,0.049367088607594936,0.950381679389313,0.05443037974683544,,,
