setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
occ_a0.05,moderate,200,0,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.02871410736579276,0.9910828025477707,0.030978934324659233,0.9961783439490446,0.3203463203463203,1.0,0.49171974522292994,0.49554140127388535,1.0000000000000002,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,0,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.011435832274459974,0.9910828025477707,0.015113350125944584,0.9961783439490446,0.4070996978851964,1.0,0.9707006369426752,0.9859872611464968,0.12684467401044933,mu=0.003
occ_a0.05,moderate,200,0,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.011435832274459974,0.9910828025477707,0.013871374527112233,0.9961783439490446,0.40933032355154253,1.0,0.9707006369426752,0.9859872611464968,0.1268508644449409,mu=0.003
occ_a0.05,moderate,200,0,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.01643489254108723,0.9910828025477707,0.020050125313283207,0.9961783439490446,0.9448813368908862,1.0,0.9707006369426752,0.9847133757961783,0.12511627584175178,mu=0.003
occ_a0.05,moderate,200,0,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.01643489254108723,0.9910828025477707,0.020050125313283207,0.9961783439490446,0.9848235862735621,1.0,0.9707006369426752,0.9834394904458599,0.12509588793919776,mu=0.003
occ_a0.05,moderate,200,0,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.30473637176050045,0.9910828025477707,0.30550621669627,0.9961783439490446,0.6367422489588154,1.0,0.0,0.4764331210191083,0.7381639830021282,
occ_a0.05,moderate,200,0,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.995006065896822,0.9910828025477707,0.9950192351787216,0.9961783439490446,0.9950003502939284,1.0,0.0,0.4764331210191083,0.9430539109973439,
occ_a0.05,moderate,200,0,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.9929890329731726,0.9910828025477707,0.9949830952121278,0.9961783439490446,0.994976321515423,1.0,0.0012738853503184713,0.0012738853503184713,0.9985573651463049,
occ_a0.05,moderate,200,0,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0182996652787986,43.700993799370394,0.9946408029151828,0.9910828025477707,0.9949952960903151,0.9961783439490446,0.9949887006371053,1.0,0.0012738853503184713,0.0012738853503184713,0.9927802980693804,
occ_a0.05,moderate,200,1,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.986886251000562,0.990990990990991,0.9886561826735648,0.9961389961389961,0.9900164465231023,1.0,0.001287001287001287,0.49034749034749037,1.0000000000000002,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,1,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.391304347826087,0.990990990990991,0.41274658573596357,0.9961389961389961,0.4344978165938865,1.0,0.9652509652509652,0.9742599742599742,0.1277700458551682,mu=0.00646
occ_a0.05,moderate,200,1,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.3974960876369327,0.990990990990991,0.4167294649585531,0.9961389961389961,0.4406047516198704,1.0,0.963963963963964,0.9742599742599742,0.12722594582694532,mu=0.003
occ_a0.05,moderate,200,1,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.3112701252236136,0.990990990990991,0.37327935222672065,0.9961389961389961,0.5385985748218527,1.0,0.9665379665379665,0.9845559845559846,0.12691179966032937,mu=0.00646
occ_a0.05,moderate,200,1,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.29357798165137616,0.990990990990991,0.38958990536277605,0.9961389961389961,0.39391575663026523,1.0,0.9652509652509652,0.9832689832689833,0.1266049186537343,mu=0.003
occ_a0.05,moderate,200,1,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.8070831816673212,43.60038118543308,0.9929500737037749,0.990990990990991,0.9950180226570546,0.9961389961389961,0.99499990347304,1.0,0.4851994851994852,0.49034749034749037,0.7433876434950178,
