config,regime,setout,family,degree,rep,n_true,eff,tau,L1,L2,L3,twin_frac,n_probes
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,0,785,0.9643312101910828,0.09890115261077881,0.035668789808917196,0.0,0.0,0.04076433121019108,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,0,785,0.9643312101910828,0.09890108555555344,0.035668789808917196,0.0,0.0,0.04076433121019108,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,0,785,0.9643312101910828,0.09890107810497284,0.035668789808917196,0.0,0.0,0.04076433121019108,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,0,785,0.9643312101910828,0.09890110045671463,0.035668789808917196,0.0,0.0,0.04076433121019108,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,0,785,0.9643312101910828,0.09890110790729523,0.035668789808917196,0.0,0.0,0.04076433121019108,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,0,785,0.9414012738853503,0.10486801713705063,0.03694267515923567,0.0,0.02165605095541401,0.04076433121019108,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,0,785,0.9414012738853503,0.10637079924345016,0.03694267515923567,0.0,0.02165605095541401,0.04076433121019108,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,0,785,0.9605095541401274,0.022121522575616837,0.035668789808917196,0.0,0.003821656050955414,0.04076433121019108,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,0,785,0.9605095541401274,0.018984001129865646,0.035668789808917196,0.0,0.003821656050955414,0.04076433121019108,5
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,1,777,0.972972972972973,0.2280099093914032,0.02702702702702703,0.0,0.0,0.03474903474903475,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,1,777,0.972972972972973,0.2280091792345047,0.02702702702702703,0.0,0.0,0.03474903474903475,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,1,777,0.972972972972973,0.22800911962985992,0.02702702702702703,0.0,0.0,0.03474903474903475,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,1,777,0.972972972972973,0.22800908982753754,0.02702702702702703,0.0,0.0,0.03474903474903475,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,1,777,0.972972972972973,0.22800906002521515,0.02702702702702703,0.0,0.0,0.03474903474903475,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,1,777,0.9665379665379665,0.05826934799551964,0.02702702702702703,0.0,0.006435006435006435,0.03474903474903475,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,1,777,0.9665379665379665,0.0650753527879715,0.02702702702702703,0.0,0.006435006435006435,0.03474903474903475,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,1,777,0.9562419562419563,0.07879636436700821,0.032175032175032175,0.0,0.011583011583011582,0.03474903474903475,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,1,777,0.954954954954955,0.08604986220598221,0.032175032175032175,0.001287001287001287,0.011583011583011582,0.03474903474903475,5
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,2,793,0.9823455233291298,0.0011965259909629822,0.017654476670870115,0.0,0.0,0.025220680958385876,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,2,793,0.9823455233291298,0.001196497119963169,0.017654476670870115,0.0,0.0,0.025220680958385876,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,2,793,0.9823455233291298,0.0011964926961809397,0.017654476670870115,0.0,0.0,0.025220680958385876,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,2,793,0.9823455233291298,0.0011964475270360708,0.017654476670870115,0.0,0.0,0.025220680958385876,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,2,793,0.9823455233291298,0.0011964282020926476,0.017654476670870115,0.0,0.0,0.025220680958385876,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,2,793,0.9558638083228247,0.10486801713705063,0.02395964691046658,0.0,0.0201765447667087,0.025220680958385876,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,2,793,0.9558638083228247,0.10637079924345016,0.02395964691046658,0.0,0.0201765447667087,0.025220680958385876,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,2,793,0.9810844892812106,0.022121522575616837,0.018915510718789406,0.0,0.0,0.025220680958385876,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,2,793,0.9810844892812106,0.018984001129865646,0.018915510718789406,0.0,0.0,0.025220680958385876,5
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,3,784,0.9770408163265306,0.15379807353019714,0.02295918367346939,0.0,0.0,0.030612244897959183,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,3,784,0.9770408163265306,0.0011727483943104744,0.02295918367346939,0.0,0.0,0.030612244897959183,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,3,784,0.9770408163265306,0.001172614865936339,0.02295918367346939,0.0,0.0,0.030612244897959183,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,3,784,0.9770408163265306,0.0011722220806404948,0.02295918367346939,0.0,0.0,0.030612244897959183,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,3,784,0.9770408163265306,0.22800908982753754,0.02295918367346939,0.0,0.0,0.030612244897959183,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,3,784,0.9719387755102041,0.08370382338762283,0.02295918367346939,0.0,0.00510204081632653,0.030612244897959183,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,3,784,0.9719387755102041,0.08421363681554794,0.02295918367346939,0.0,0.00510204081632653,0.030612244897959183,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,3,784,0.9744897959183674,0.07810018956661224,0.025510204081632654,0.0,0.0,0.030612244897959183,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,3,784,0.9744897959183674,0.07996311783790588,0.025510204081632654,0.0,0.0,0.030612244897959183,5
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,4,784,0.9655612244897959,0.0012817967217415571,0.03443877551020408,0.0,0.0,0.04336734693877551,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,4,784,0.9655612244897959,0.0012819647090509534,0.03443877551020408,0.0,0.0,0.04336734693877551,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,4,784,0.9655612244897959,0.0012819375842809677,0.03443877551020408,0.0,0.0,0.04336734693877551,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,4,784,0.9655612244897959,0.0012818529503419995,0.03443877551020408,0.0,0.0,0.04336734693877551,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,4,784,0.9655612244897959,0.0012818644754588604,0.03443877551020408,0.0,0.0,0.04336734693877551,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,4,784,0.9247448979591837,0.14141930639743805,0.036989795918367346,0.01020408163265306,0.02806122448979592,0.04336734693877551,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,4,784,0.9349489795918368,0.11298228800296783,0.036989795918367346,0.0,0.02806122448979592,0.04336734693877551,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,4,784,0.9566326530612245,0.10383331775665283,0.04336734693877551,0.0,0.0,0.04336734693877551,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,4,784,0.9566326530612245,0.10092130303382874,0.04336734693877551,0.0,0.0,0.04336734693877551,5
moderate/base/fitted_moment_d32,moderate,base,fitted_moment,32.0,5,791,0.9810366624525917,0.002294751349836588,0.018963337547408345,0.0,0.0,0.03666245259165613,5
moderate/base/fitted_moment_d40,moderate,base,fitted_moment,40.0,5,791,0.9810366624525917,0.002294565550982952,0.018963337547408345,0.0,0.0,0.03666245259165613,5
moderate/base/fitted_moment_d44,moderate,base,fitted_moment,44.0,5,791,0.9810366624525917,0.00229451572522521,0.018963337547408345,0.0,0.0,0.03666245259165613,5
moderate/base/fitted_moment_d80,moderate,base,fitted_moment,80.0,5,791,0.9810366624525917,0.0022942707873880863,0.018963337547408345,0.0,0.0,0.03666245259165613,5
moderate/base/fitted_moment_d160,moderate,base,fitted_moment,160.0,5,791,0.9810366624525917,0.002294087316840887,0.018963337547408345,0.0,0.0,0.03666245259165613,5
moderate/base/comb_prod_d40,moderate,base,comb_prod,40.0,5,791,0.9671302149178256,0.08370382338762283,0.018963337547408345,0.0,0.01390644753476612,0.03666245259165613,5
moderate/base/comb_prod_d44,moderate,base,comb_prod,44.0,5,791,0.9671302149178256,0.08421363681554794,0.018963337547408345,0.0,0.01390644753476612,0.03666245259165613,5
moderate/base/normalized_half_comb_d40,moderate,base,normalized_half_comb,40.0,5,791,0.9620733249051833,0.10393522679805756,0.03666245259165613,0.0,0.0012642225031605564,0.03666245259165613,5
moderate/base/normalized_half_comb_d44,moderate,base,normalized_half_comb,44.0,5,791,0.9620733249051833,0.1013040542602539,0.03666245259165613,0.0,0.0012642225031605564,0.03666245259165613,5
