setout,regime,T,rep,family,degree,gamma,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes
base,clean,400,0,classical_invA,,3.0,0.0004247940677551889,640000,1600,2.152240934977426,5.8477590650225775,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.5,1.0,1.0,reference only (tau_abs 0.350)
base,clean,400,0,onebqf_cos,1.0,3.0,0.0004247940677551889,640000,1600,2.152240934977426,5.8477590650225775,0.00125,0.99875,0.00125,0.99875,0.00125,0.99875,0.00125,0.99875,0.0012484394506866417,1.0,0.5,1.0,1.0,
base,clean,400,0,comb_prod,40.0,3.0,0.0004247940677551889,640000,1600,2.152240934977426,5.8477590650225775,0.0,0.995,0.0,0.995,0.0,0.995,0.0,0.995,0.0012484394506866417,1.0,0.9975,1.0,1.0,
base,clean,400,1,classical_invA,,3.0,0.0004247940677551889,640000,1600,2.1522409349774265,5.847759065022573,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.0012484394506866417,1.0,0.5,1.0,1.0,reference only (tau_abs 0.350)
base,clean,400,1,onebqf_cos,1.0,3.0,0.0004247940677551889,640000,1600,2.1522409349774265,5.847759065022573,0.00125,0.99875,0.00125,0.99875,0.00125,0.99875,0.00125,0.99875,0.0012484394506866417,1.0,0.5,1.0,1.0,
base,clean,400,1,comb_prod,40.0,3.0,0.0004247940677551889,640000,1600,2.1522409349774265,5.847759065022573,0.0,0.995,0.0,0.995,0.0,0.995,0.0,0.995,0.0012484394506866417,1.0,0.9975,1.0,1.0,
base,clean,400,2,classical_invA,,3.0,0.0004247940677551889,640000,1600,2.3819660112501055,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,reference only (tau_abs 0.350)
base,clean,400,2,onebqf_cos,1.0,3.0,0.0004247940677551889,640000,1600,2.3819660112501055,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
base,clean,400,2,comb_prod,40.0,3.0,0.0004247940677551889,640000,1600,2.3819660112501055,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,
base,clean,400,3,classical_invA,,3.0,0.0004247940677551889,640000,1600,2.381966011250105,5.618033988749896,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,reference only (tau_abs 0.350)
