setout,regime,T,rep,family,degree,gamma,eps,eff_fixed_tau,far_fixed_tau,notes
base,clean,200,0,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,1,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,2,classical_invA,,3.0,0.0004247940677551889,1.0,0.008674101610904586,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,3,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,4,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,5,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,6,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,7,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,8,classical_invA,,3.0,0.0004247940677551889,1.0,0.0024937655860349127,fixed-tau 0.350 recomputed from 06 cache
base,clean,200,9,classical_invA,,3.0,0.0004247940677551889,1.0,0.0,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,0,classical_invA,,3.0,0.0031777035588293387,0.9847133757961783,0.02644836272040302,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,1,classical_invA,,3.0,0.0031777035588293387,0.9742599742599742,0.01303780964797914,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,2,classical_invA,,3.0,0.0031777035588293387,0.9924337957124842,0.028395061728395062,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,3,classical_invA,,3.0,0.0031777035588293387,0.9821428571428571,0.01282051282051282,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,4,classical_invA,,3.0,0.0031777035588293387,0.9872448979591837,0.03970223325062035,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,5,classical_invA,,3.0,0.0031777035588293387,0.9949431099873578,0.018703241895261846,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,6,classical_invA,,3.0,0.0031777035588293387,0.9859335038363172,0.022813688212927757,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,7,classical_invA,,3.0,0.0031777035588293387,0.9949622166246851,0.023485784919653894,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,8,classical_invA,,3.0,0.0031777035588293387,0.9846938775510204,0.01905972045743329,fixed-tau 0.350 recomputed from 06 cache
base,moderate,200,9,classical_invA,,3.0,0.0031777035588293387,0.9847133757961783,0.020278833967046894,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,0,classical_invA,,3.0,0.006312668537322595,0.9898477157360406,0.21212121212121213,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,1,classical_invA,,3.0,0.006312668537322595,0.9846743295019157,0.19267015706806281,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,2,classical_invA,,3.0,0.006312668537322595,0.9885496183206107,0.19814241486068113,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,3,classical_invA,,3.0,0.006312668537322595,0.9898477157360406,0.2176529588766299,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,4,classical_invA,,3.0,0.006312668537322595,0.9924050632911392,0.234375,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,5,classical_invA,,3.0,0.006312668537322595,0.9923469387755102,0.17584745762711865,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,6,classical_invA,,3.0,0.006312668537322595,0.9859872611464968,0.12641083521444696,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,7,classical_invA,,3.0,0.006312668537322595,0.9974811083123426,0.21739130434782608,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,8,classical_invA,,3.0,0.006312668537322595,0.9847133757961783,0.1871713985278654,fixed-tau 0.350 recomputed from 06 cache
base,heavy,200,9,classical_invA,,3.0,0.006312668537322595,0.9898477157360406,0.12162162162162163,fixed-tau 0.350 recomputed from 06 cache
