regime,T,setout,family,best_d_eff,eff_at_far1pct,best_d_far,far_at_eff99,n_reps
moderate,200,base,fitted,160.0,0.9782918602223497,80.0,0.3136790745319131,10.0
moderate,200,base,comb_prod,12.0,0.9674939880410764,36.0,0.3136790745319131,10.0
moderate,200,base,normalized_half_comb,32.0,0.9670739142293315,40.0,0.3134317389089579,10.0
moderate,200,occ_a0.05,fitted,80.0,0.9904961765672209,80.0,0.01018220185151565,10.0
moderate,200,occ_a0.05,comb_prod,40.0,0.48730704502081534,40.0,0.32446478055644246,10.0
moderate,200,occ_a0.05,normalized_half_comb,40.0,0.0,40.0,0.9938219860861099,10.0
moderate,200,occ_a0.10,fitted,160.0,0.9904674066625496,160.0,0.00951479076479075,10.0
moderate,200,occ_a0.10,comb_prod,44.0,0.3713490560624318,40.0,0.6609117870466309,10.0
moderate,200,occ_a0.10,normalized_half_comb,40.0,0.0,40.0,0.9934673412226867,10.0
moderate,200,fork_b0.5_mod,fitted,32.0,0.9802181243585775,44.0,0.3075636517002792,10.0
moderate,200,fork_b0.5_mod,comb_prod,40.0,0.9581113418818856,40.0,0.9317632172118371,10.0
moderate,200,fork_b0.5_mod,normalized_half_comb,40.0,0.9661565713241819,40.0,0.3326766453885098,10.0
moderate,200,fork_b1.0_mod,fitted,32.0,0.979565739339214,32.0,0.3160995184836211,10.0
moderate,200,fork_b1.0_mod,comb_prod,40.0,0.9687141160812152,40.0,0.9948803306990344,10.0
moderate,200,fork_b1.0_mod,normalized_half_comb,44.0,0.9583642489340087,44.0,0.8008434213565566,10.0
moderate,200,occ0.05_fork0.5,fitted,80.0,0.9867416059930205,80.0,0.01635456273764255,10.0
moderate,200,occ0.05_fork0.5,comb_prod,44.0,0.49199071520500093,44.0,0.32475374845385707,10.0
moderate,200,occ0.05_fork0.5,normalized_half_comb,40.0,0.0012746977772,40.0,0.9949269234908048,10.0
moderate,200,erf,fitted,160.0,0.9853413817756402,160.0,0.055908769730637395,10.0
moderate,200,erf,comb_prod,40.0,0.0,40.0,0.995044601768734,10.0
moderate,200,erf,normalized_half_comb,40.0,0.9506515444015444,40.0,0.7491032852813497,10.0
moderate,200,eps_s2.12,fitted,32.0,0.9732313466787987,32.0,0.1968223168876697,10.0
moderate,200,eps_s2.12,comb_prod,40.0,0.9732313466787987,40.0,0.1980159130244828,10.0
moderate,200,eps_s2.12,normalized_half_comb,40.0,0.9506572899430041,40.0,0.19841218215315393,10.0
moderate,200,gamma2,fitted,32.0,0.9745068568828804,32.0,0.3136790745319131,10.0
moderate,200,gamma2,comb_prod,40.0,0.9661549402369645,44.0,0.3250576855143593,10.0
moderate,200,gamma1,fitted,44.0,0.9751446119849213,80.0,0.31269245258933376,10.0
moderate,200,gamma1,comb_prod,44.0,0.9682931968499884,44.0,0.31285023854294547,10.0
moderate,200,eps_s1.5,fitted,32.0,0.8663253033530112,32.0,0.9950000953790463,10.0
moderate,200,eps_s1.5,comb_prod,40.0,0.8641758066536828,40.0,0.9950004139782576,10.0
moderate,200,eps_s1.5,normalized_half_comb,40.0,0.7707069314212172,40.0,0.9950004139782576,10.0
moderate,200,(reference),classical,,0.49203334199922005,,0.3136790745319131,
moderate,200,(reference),1bqf,,0.49075783179513843,,0.3136790745319131,
heavy,200,base,fitted,160.0,0.928294199117467,84.0,0.6331263083669377,10.0
heavy,200,base,comb_prod,44.0,0.40888494719019586,40.0,0.9950255406289166,10.0
heavy,200,base,normalized_half_comb,40.0,0.0050802657742858,44.0,0.6405193827465059,10.0
heavy,200,occ_a0.05,fitted,160.0,0.9348796174353333,160.0,0.35583958783279435,10.0
heavy,200,occ_a0.05,comb_prod,40.0,0.0,44.0,0.9778023576476351,10.0
heavy,200,occ_a0.05,normalized_half_comb,40.0,0.0,40.0,0.9948938175946831,10.0
heavy,200,occ_a0.10,fitted,160.0,0.8937702182613254,160.0,0.30423482739733043,10.0
heavy,200,occ_a0.10,comb_prod,40.0,0.0,40.0,0.9855173712519674,10.0
heavy,200,occ_a0.10,normalized_half_comb,40.0,0.0,40.0,0.9948859984714845,10.0
heavy,200,fork_b0.5,fitted,160.0,0.9382237627875578,160.0,0.6533357124341752,10.0
heavy,200,fork_b0.5,comb_prod,40.0,0.8662765325931749,40.0,0.9949898031357316,10.0
heavy,200,fork_b0.5,normalized_half_comb,40.0,0.19542344021075625,44.0,0.8308064184328244,10.0
heavy,200,occ0.05_fork0.5,fitted,160.0,0.9204340286219024,160.0,0.22481355952219273,10.0
heavy,200,occ0.05_fork0.5,comb_prod,40.0,0.0012674291589025,44.0,0.8552997263324524,10.0
heavy,200,occ0.05_fork0.5,normalized_half_comb,40.0,0.0,44.0,0.9949681848982814,10.0
heavy,200,erf,fitted,160.0,0.8791523354089683,84.0,0.7461511136409154,10.0
heavy,200,erf,comb_prod,40.0,0.0,40.0,0.9950438341380042,10.0
heavy,200,erf,normalized_half_comb,40.0,0.0,44.0,0.8999822445613632,10.0
heavy,200,(reference),classical,,0.00126985406756425,,0.6332984909613104,
heavy,200,(reference),1bqf,,0.0044585987261146,,0.6332145883243276,
