regime,T,setout,series,eff,far
clean,200,base,classical_fixed_tau,1.0,0.0
clean,400,base,classical_fixed_tau,1.0,0.0012
clean,700,base,classical_fixed_tau,1.0,0.0014
clean,1000,base,classical_fixed_tau,1.0,0.0007
clean,200,base,1bqf_wp99,1.0,0.0
clean,400,base,1bqf_wp99,1.0,0.1012373453318335
clean,700,base,1bqf_wp99,0.9992857142857144,0.3895450568678915
clean,1000,base,1bqf_wp99,0.997,0.6751800916830386
clean,200,base,fitted_d40_wp99,1.0,0.0
clean,400,base,fitted_d40_wp99,0.99875,0.0
clean,700,base,fitted_d40_wp99,0.9989285714285714,0.0
clean,1000,base,fitted_d40_wp99,0.9985,0.0
clean,200,occ_a0.05,fitted_d40_wp99,0.99,0.0
clean,400,occ_a0.05,fitted_d40_wp99,0.990625,0.0
clean,700,occ_a0.05,fitted_d40_wp99,0.99,0.0
clean,1000,occ_a0.05,fitted_d40_wp99,0.99,0.0007570022710068
clean,200,fork_b0.5,fitted_d40_wp99,1.0,0.0
clean,400,fork_b0.5,fitted_d40_wp99,0.9975,0.0
clean,700,fork_b0.5,fitted_d40_wp99,0.9985714285714286,0.0
clean,1000,fork_b0.5,fitted_d40_wp99,0.99825,0.0
clean,200,occ0.05_fork0.5,fitted_d40_wp99,0.99,0.0
clean,400,occ0.05_fork0.5,fitted_d40_wp99,0.991875,0.0
clean,700,occ0.05_fork0.5,fitted_d40_wp99,0.99,0.0007209805335255
clean,1000,occ0.05_fork0.5,fitted_d40_wp99,0.99,0.0
moderate,200,base,classical_fixed_tau,0.9853066878980892,0.02155
moderate,400,base,classical_fixed_tau,0.9847,0.1036
moderate,700,base,classical_fixed_tau,0.9847,0.364
moderate,1000,base,classical_fixed_tau,0.9857,0.582
moderate,200,base,1bqf_wp99,0.9949526633060215,0.3136790745319131
moderate,400,base,1bqf_wp99,0.9974489785542557,0.6644159550492369
moderate,700,base,1bqf_wp99,0.9902155644837853,0.9836072489327055
moderate,1000,base,1bqf_wp99,0.9920329413945035,0.9557563120861573
moderate,200,base,fitted_d40_wp99,0.9949431099873578,0.3304647160068847
moderate,400,base,fitted_d40_wp99,0.9974473516273132,0.6579525483304042
moderate,700,base,fitted_d40_wp99,0.9948886454910552,0.846062591797537
moderate,1000,base,fitted_d40_wp99,0.9959246051961284,0.92003367003367
moderate,200,occ_a0.05,fitted_d40_wp99,0.9910771155595997,0.01830571865389795
moderate,400,occ_a0.05,fitted_d40_wp99,0.990427568602425,0.6284414651663873
moderate,700,occ_a0.05,fitted_d40_wp99,0.9901818181818182,0.9871386737200076
