regime,setout,family,degree,eff_f010,far_e990,eff_e990
clean,base,classical_invA,,1.0,0.0,1.0
clean,base,comb_prod,4.0,1.0,0.0,1.0
clean,base,comb_prod,8.0,1.0,0.0,1.0
clean,base,comb_prod,12.0,1.0,0.0,1.0
clean,base,comb_prod,16.0,1.0,0.0,1.0
clean,base,comb_prod,20.0,1.0,0.0,1.0
clean,base,comb_prod,24.0,1.0,0.0,1.0
clean,base,comb_prod,28.0,1.0,0.0,1.0
clean,base,comb_prod,32.0,1.0,0.0,1.0
clean,base,comb_prod,36.0,1.0,0.0,1.0
clean,base,comb_prod,40.0,1.0,0.0,1.0
clean,base,comb_prod,44.0,1.0,0.0,1.0
clean,base,comb_prod,48.0,1.0,0.0,1.0
clean,base,comb_prod,56.0,1.0,0.0,1.0
clean,base,comb_prod,64.0,1.0,0.0,1.0
clean,base,comb_prod,80.0,1.0,0.0,1.0
clean,base,comb_prod,120.0,1.0,0.0,1.0
clean,base,fitted_moment,4.0,1.0,0.0,1.0
clean,base,fitted_moment,8.0,1.0,0.0,1.0
clean,base,fitted_moment,12.0,1.0,0.0,1.0
clean,base,fitted_moment,16.0,1.0,0.0,1.0
clean,base,fitted_moment,20.0,1.0,0.0,1.0
clean,base,fitted_moment,24.0,1.0,0.0,1.0
clean,base,fitted_moment,28.0,1.0,0.0,1.0
clean,base,fitted_moment,32.0,1.0,0.0,0.99875
clean,base,fitted_moment,36.0,1.0,0.0,1.0
clean,base,fitted_moment,40.0,1.0,0.0,1.0
clean,base,fitted_moment,44.0,1.0,0.0,0.99875
clean,base,fitted_moment,48.0,1.0,0.0,0.9975
clean,base,fitted_moment,56.0,1.0,0.0,0.99875
clean,base,fitted_moment,64.0,1.0,0.0,1.0
clean,base,fitted_moment,80.0,1.0,0.0,1.0
clean,base,fitted_moment,84.0,1.0,0.0,1.0
clean,base,fitted_moment,96.0,1.0,0.0,1.0
clean,base,fitted_moment,120.0,1.0,0.0,1.0
clean,base,fitted_moment,160.0,1.0,0.0,0.99875
clean,base,onebqf_cos,1.0,1.0,0.0,1.0
clean,fork_b0.5,classical_invA,,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,4.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,8.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,12.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,16.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,20.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,24.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,28.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,32.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,36.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,40.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,44.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,48.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,56.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,64.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,80.0,1.0,0.0,1.0
clean,fork_b0.5,comb_prod,120.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,4.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,8.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,12.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,16.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,20.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,24.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,28.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,32.0,1.0,0.0,0.99875
clean,fork_b0.5,fitted_moment,36.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,40.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,44.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,48.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,56.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,64.0,1.0,0.0,1.0
clean,fork_b0.5,fitted_moment,80.0,1.0,0.0,0.9975
