T,rep,d,hw,AUC,eff_fix,far_fix,far_eff99
400,0,40,0.12,0.9999894315867794,0.9775,0.0,0.011278195488721804
400,0,40,0.18,0.9999967790570176,0.9775,0.0,0.011278195488721804
400,0,40,0.24,0.9987469337406015,0.9775,0.0,0.011278195488721804
400,0,40,0.3,0.999989573543233,0.9775,0.0,0.011278195488721804
400,0,60,0.12,0.9999661977208647,0.9775,0.0,0.44607843137254904
400,0,60,0.18,0.9987493685385338,0.9775,0.0,0.011278195488721804
400,0,60,0.24,0.9987469288455514,0.9775,0.0,0.011278195488721804
400,0,60,0.3,0.999989568648183,0.9775,0.0,0.011278195488721804
400,1,40,0.12,0.997497694431391,0.9575,0.0,0.01431238332296204
400,1,40,0.18,0.9999940074796366,0.9575,0.0,0.014375
400,1,40,0.24,0.9993571242559524,0.9575,0.0,0.014339152119700748
400,1,40,0.3,0.9993655662593985,0.9575,0.0,0.01431238332296204
400,1,60,0.12,0.9999315642622181,0.9575,0.0,0.4419753086419753
400,1,60,0.18,0.994360861137218,0.9575,0.0,0.442090395480226
400,1,60,0.24,0.9993667068060776,0.9575,0.0,0.01431238332296204
400,1,60,0.3,0.9981180343436716,0.9575,0.0,0.01431238332296204
400,2,40,0.12,0.999372146185777,0.97,0.000643915003219575,0.013758599124452783
400,2,40,0.18,0.9999970991932957,0.97,0.000643915003219575,0.01435705368289638
400,2,40,0.24,0.9999835379464286,0.97,0.000643915003219575,0.014934660858743
400,2,40,0.3,0.9999896332628446,0.97,0.000643915003219575,0.0136986301369863
400,2,60,0.12,0.9999559621710526,0.97,0.0,0.42805495300072305
400,2,60,0.18,0.9949894413768797,0.97,0.000643915003219575,0.01675977653631285
400,2,60,0.24,0.9999926212014411,0.97,0.000643915003219575,0.013758599124452783
400,2,60,0.3,0.9987427200814536,0.97,0.000643915003219575,0.0136986301369863
700,0,40,0.12,0.9999850628448804,0.9214285714285714,0.000774593338497289,0.08551307847082495
700,0,40,0.18,0.9996337121543897,0.9214285714285714,0.000774593338497289,0.07023525400613706
700,0,40,0.24,0.9978366129821027,0.9214285714285714,0.0030911901081916537,0.07023525400613706
700,0,40,0.3,0.9999798827041546,0.9214285714285714,0.0030911901081916537,0.07023525400613706
700,0,60,0.12,0.9980304708256693,0.9214285714285714,0.0,0.6917777275807545
700,0,60,0.18,0.9946277225482467,0.9214285714285714,0.000774593338497289,0.08551307847082495
700,0,60,0.24,0.9992671228577268,0.9214285714285714,0.000774593338497289,0.07023525400613706
700,0,60,0.3,0.9999803529458994,0.9214285714285714,0.0030911901081916537,0.07023525400613706
700,1,40,0.12,0.9999917374675192,0.9557142857142857,0.0,0.06982208794897617
700,1,40,0.18,0.9999956512218622,0.9557142857142857,0.0,0.07013422818791946
700,1,40,0.24,0.9985559846792794,0.9557142857142857,0.0,0.07013422818791946
700,1,40,0.3,0.9999795151966366,0.9557142857142857,0.0,0.07011070110701106
700,1,60,0.12,0.9999083711059531,0.9557142857142857,0.0,0.6880992667794699
700,1,60,0.18,0.9978469871317626,0.9557142857142857,0.0,0.0697986577181208
700,1,60,0.24,0.9999811436162448,0.9557142857142857,0.0,0.0697986577181208
700,1,60,0.3,0.9992663502525474,0.9557142857142857,0.0,0.06982208794897617
700,2,40,0.12,0.9999904708986599,0.9571428571428572,0.0003729951510630362,0.08545034642032333
700,2,40,0.18,0.9999943114799568,0.9571428571428572,0.0003729951510630362,0.08671282558522915
700,2,40,0.24,0.9992631735204811,0.9571428571428572,0.0003729951510630362,0.08665568369028007
700,2,40,0.3,0.9999688844851246,0.9571428571428572,0.0014903129657228018,0.08545034642032333
700,2,60,0.12,0.9998983341727249,0.9571428571428572,0.0,0.695934780213727
700,2,60,0.18,0.9985466499153309,0.9571428571428572,0.0003729951510630362,0.08671282558522915
700,2,60,0.24,0.9999751388645587,0.9571428571428572,0.0003729951510630362,0.08671282558522915
700,2,60,0.3,0.9964092490000293,0.9571428571428572,0.0003729951510630362,0.08545034642032333
1000,0,40,0.12,0.9992168731231231,0.912,0.010845986984815618,0.21451292246520876
1000,0,40,0.18,0.9997216184309309,0.912,0.010845986984815618,0.21572900158478606
1000,0,40,0.24,0.9986869655905906,0.912,0.010845986984815618,0.21490880253766853
1000,0,40,0.3,0.9997017061436436,0.912,0.010845986984815618,0.21522257551669316
1000,0,60,0.12,0.9991763061811811,0.912,0.005994550408719346,0.832458294521128
1000,0,60,0.18,0.9931929157282282,0.912,0.005994550408719346,0.8325571549534293
1000,0,60,0.24,0.9999574880505505,0.912,0.005994550408719346,0.21567460317460319
1000,0,60,0.3,0.9992046850600601,0.912,0.010845986984815618,0.21491053677932406
1000,1,40,0.12,0.9984602583208209,0.908,0.010893246187363835,0.2218510512870898
1000,1,40,0.18,0.999963891016016,0.908,0.010893246187363835,0.22156631247540337
1000,1,40,0.24,0.995687586524024,0.908,0.010893246187363835,0.8283708230399168
1000,1,40,0.3,0.9986568427802803,0.908,0.010893246187363835,0.8284513389375162
1000,1,60,0.12,0.9989356173673674,0.908,0.0043859649122807015,0.8285949553610124
1000,1,60,0.18,0.9956942211586587,0.908,0.0043859649122807015,0.8285095320623916
1000,1,60,0.24,0.9994285071946947,0.908,0.010893246187363835,0.8284636726200798
1000,1,60,0.3,0.9959223323323323,0.908,0.010893246187363835,0.8283918508885999
1000,2,40,0.12,0.9999497463088088,0.942,0.008421052631578947,0.19134163773739024
1000,2,40,0.18,0.9999747999874875,0.942,0.008421052631578947,0.19315403422982885
1000,2,40,0.24,0.9952087777152152,0.942,0.008421052631578947,0.8237336419478323
1000,2,40,0.3,0.9999222967342343,0.942,0.008421052631578947,0.8237493323838347
1000,2,60,0.12,0.9970598249499499,0.942,0.005279831045406547,0.8236472945891784
1000,2,60,0.18,0.9942308570445445,0.942,0.005279831045406547,0.19038854805725972
1000,2,60,0.24,0.9989424460085085,0.942,0.005279831045406547,0.8237703093701313
1000,2,60,0.3,0.9986784550800801,0.942,0.008421052631578947,0.823746772326596
