solver,n_trk,eff_fixed,far_fixed,eff_wp99,far_wp99
classical 1/λ,10,100.0,0.0,100.0,0.0
classical 1/λ,20,100.0,0.0,100.0,0.0
classical 1/λ,30,100.0,0.0,100.0,0.0
classical 1/λ,50,100.0,0.2,100.0,0.2
classical 1/λ,75,100.0,0.0,100.0,0.0
classical 1/λ,100,100.0,0.22,100.0,0.17
classical 1/λ,150,100.0,0.41,100.0,0.35
classical 1/λ,200,100.0,0.76,100.0,0.65
classical 1/λ,300,100.0,1.35,100.0,1.02
classical 1/λ,400,100.0,2.25,100.0,1.49
classical 1/λ,550,100.0,5.49,100.0,2.92
classical 1/λ,700,100.0,9.64,100.0,4.92
classical 1/λ,1000,100.0,20.48,100.0,10.02
1BQF (cos),10,75.0,0.0,100.0,0.0
1BQF (cos),20,75.0,0.0,100.0,0.24
1BQF (cos),30,75.0,0.0,100.0,0.16
1BQF (cos),50,74.9,0.13,100.0,1.37
1BQF (cos),75,75.0,0.0,100.0,2.14
1BQF (cos),100,74.95,0.07,99.9,5.12
1BQF (cos),150,75.07,0.35,100.0,10.15
1BQF (cos),200,74.97,0.33,99.9,15.69
1BQF (cos),300,74.83,0.95,99.72,29.89
1BQF (cos),400,74.71,1.73,99.48,43.9
1BQF (cos),550,74.39,5.47,100.0,59.59
1BQF (cos),700,74.45,8.05,99.5,69.48
1BQF (cos),1000,74.29,18.8,100.0,82.61
QSVT (deg 40),10,100.0,0.0,100.0,0.0
QSVT (deg 40),20,100.0,0.0,100.0,0.0
QSVT (deg 40),30,100.0,0.0,100.0,0.0
QSVT (deg 40),50,99.2,0.0,100.0,0.2
QSVT (deg 40),75,100.0,0.0,100.0,0.0
QSVT (deg 40),100,99.6,0.0,99.7,0.0
QSVT (deg 40),150,99.33,0.0,99.77,0.13
QSVT (deg 40),200,98.9,0.0,99.4,0.31
QSVT (deg 40),300,98.0,0.0,99.12,0.76
QSVT (deg 40),400,97.22,0.02,99.07,1.44
QSVT (deg 40),550,95.27,0.06,99.4,5.16
QSVT (deg 40),700,94.29,0.17,99.24,9.06
QSVT (deg 40),1000,92.14,0.93,99.19,20.67
