noise,T,n_seg,n_true,epsilon,C_pairs,Ball_pairs,cohit_deg_max,cohit_deg_mean,lam_min_Bfork,lam_max_Bfork,lam_min_M,lam_max_M,Bfork_pairs_r0.5,Bfork_pairs_r1,CBf_overlap,fork_deg_max,Bfork_pairs_wtrue,Bfork_pairs_r2,Bfork_pairs_r4,CBa_overlap
clean,10,400,40,0.0004247940677551889,30,3600,18,18.0,,,,,0,0,0,0,0,0,0,0
clean,20,1600,80,0.0004247940677551889,60,30400,38,38.0,,,,,0,0,0,0,0,0,0,0
clean,50,10000,200,0.0004247940677551889,150,490000,98,98.0,0.0,0.0,-1.2277524060036815e-14,100.00000000000003,0,0,0,0,0,9,173,0
clean,100,40000,400,0.0004247940677551889,301,3960000,198,198.0,0.0,0.0,-2.756928986333725e-14,200.0000000000001,0,0,0,0,0,0,0,0
clean,200,160000,800,0.0004247940677551889,605,31840000,398,398.0,0.0,0.0,-8.411163773677416e-14,400.0,0,0,0,0,0,0,0,0
moderate,10,400,40,0.0031777035588293387,31,3600,18,18.0,,,,,0,0,0,0,0,0,13,0
moderate,20,1540,77,0.0031777035588293387,58,28690,38,37.25974025974026,,,,,0,0,0,0,0,0,0,0
moderate,50,9900,198,0.0031777035588293387,149,482650,98,97.5050505050505,0.0,0.0,-1.5701203824435165e-15,100.00000000000004,0,0,0,0,0,66,346,0
moderate,100,39800,398,0.0031777035588293387,320,3930300,198,197.50251256281408,0.0,0.0,-2.2996612639697245e-14,200.00000000000003,0,0,0,0,0,510,3001,0
moderate,200,157012,785,0.0031777035588293387,765,30951065,395,394.2509489720531,-2.0,2.000000000000001,-6.809372951930463e-15,397.0,400,2048,0,2,12,9827,35524,0
heavy,10,342,34,0.006312668537322595,23,2845,18,16.637426900584796,,,,,0,0,0,0,0,0,10,0
heavy,20,1560,78,0.006312668537322595,57,29260,38,37.51282051282051,,,,,0,0,0,0,0,0,62,0
heavy,50,9950,199,0.006312668537322595,164,486325,98,97.7537688442211,-1.0000000000000009,1.0000000000000002,-5.554102727321178e-15,99.99999999999999,0,12,0,1,0,446,1977,0
heavy,100,39006,390,0.006312668537322595,402,3813083,197,195.512639081167,-2.4142135623730954,2.414213562373094,-1.1961654673440605e-14,199.0,130,946,0,3,10,5352,18541,0
heavy,200,157609,788,0.006312668537322595,1386,31127976,396,395.00251889168766,-2.4142135623730954,3.0000000000000018,-6.9060864624113474e-15,397.99999999999994,3281,9181,0,3,62,35020,123784,0
