noise,T,rep,solver,selector,eff,far,tau,n_act,kappa
heavy,200,0,classical,filter-greedy@basewp,0.9416243654822335,0.040103492884864166,0.3333333340290553,773.0,
heavy,200,0,classical,composed-greedy,0.9416243654822335,0.040103492884864166,0.249999999899858,,
heavy,200,0,classical,filter-strict@basewp,0.9390862944162437,0.05972045743329098,0.3333333340290553,787.0,
heavy,200,0,classical,composed-strict,0.9390862944162437,0.05972045743329098,0.249999999899858,,
heavy,200,0,classical,filter-anyrole@basewp,0.4517766497461929,0.01928374655647383,0.3333333340290553,363.0,
heavy,200,0,classical,composed-margin0.5,0.9936548223350253,0.6353050768514206,0.249999999899858,,0.5
heavy,200,0,classical,composed-margin0.6,0.9936548223350253,0.6051437216338881,0.249999999899858,,0.6
heavy,200,0,classical,composed-margin0.7,0.9936548223350253,0.5826226012793176,0.249999999899858,,0.7
heavy,200,0,classical,composed-margin0.8,0.9873096446700508,0.4029163468917882,0.249999999899858,,0.8
heavy,200,0,classical,composed-margin0.9,0.9606598984771574,0.3382867132867133,0.249999999899858,,0.9
heavy,200,0,classical,composed-margin0.95,0.9467005076142132,0.07558859975216853,0.249999999899858,,0.95
heavy,200,0,classical,composed-margin-best,0.9936548223350253,0.5826226012793176,0.249999999899858,,0.7
heavy,200,0,classical,base@wp99,0.9949238578680203,0.6496872207327972,0.3333333340290553,2238.0,
heavy,200,0,classical,inmatrix-occ@wp99,0.9911167512690355,0.2103134479271992,0.012141202056590996,989.0,
heavy,200,0,1bqf_emu,base@wp99,0.9949238578680203,0.6495306213679034,0.0007071717062258619,2237.0,
heavy,200,0,1bqf_emu,composed-greedy,0.9213197969543148,0.05345501955671447,1.1959441397923374e-19,,
heavy,200,0,1bqf_emu,composed-margin-best,0.9949238578680203,0.6081959020489756,1.1959441397923374e-19,,0.5
heavy,100,0,classical,base@wp99,1.0,0.9900015382248885,0.24999999895230235,39006.0,
heavy,100,0,classical,inmatrix-occ@wp99,0.9923076923076923,0.6526032315978456,0.01799926246300057,1114.0,
heavy,100,0,classical,composed-greedy,0.9692307692307692,0.013054830287206266,0.24999999995230235,,
heavy,100,0,1bqf_emu,base@wp99,0.9897435897435898,0.35126050420168065,1e-06,595.0,
heavy,100,0,1bqf_emu,composed-greedy,0.9538461538461539,0.018469656992084433,2.391888279584674e-19,,
heavy,100,0,classical,composed-margin-best,0.9897435897435898,0.3501683501683502,0.24999999995230235,,0.5
heavy,100,0,1bqf_emu,composed-margin-best,0.9897435897435898,0.3298611111111111,2.391888279584674e-19,,0.5
heavy,100,1,classical,base@wp99,1.0,0.9900023130895166,0.2499999990053162,38909.0,
heavy,100,1,classical,inmatrix-occ@wp99,0.9922879177377892,0.5495915985997666,0.018156631852227285,857.0,
heavy,100,1,classical,composed-greedy,0.9845758354755784,0.0026041666666666665,0.2500000000053162,,
heavy,100,1,1bqf_emu,base@wp99,0.9897172236503856,0.42278860569715143,1e-06,667.0,
heavy,100,1,1bqf_emu,composed-greedy,0.974293059125964,0.013020833333333334,2.3918882795846747e-19,,
heavy,100,1,classical,composed-margin-best,0.9897172236503856,0.42278860569715143,0.2500000000053162,,0.5
heavy,100,1,1bqf_emu,composed-margin-best,0.9897172236503856,0.40494590417310666,2.3918882795846747e-19,,0.5
heavy,100,2,classical,base@wp99,0.9948586118251928,0.3304498269896194,0.3333334390627341,578.0,
heavy,100,2,classical,inmatrix-occ@wp99,0.9922879177377892,0.04218362282878412,0.02383282462675681,403.0,
heavy,100,2,classical,composed-greedy,0.9922879177377892,0.002583979328165375,0.24999999979594184,,
heavy,100,2,1bqf_emu,base@wp99,0.9948586118251928,0.3304498269896194,0.001414344412451724,578.0,
heavy,100,2,1bqf_emu,composed-greedy,0.9922879177377892,0.002583979328165375,2.391888279584674e-19,,
heavy,100,2,classical,composed-margin-best,0.9948586118251928,0.15317286652078774,0.24999999979594184,,0.9
heavy,100,2,1bqf_emu,composed-margin-best,0.9948586118251928,0.15502183406113537,2.391888279584674e-19,,0.6
clean,200,0,classical,base@wp99,1.0,0.0,0.36363636263636373,800.0,
clean,200,0,classical,inmatrix-occ@wp99,0.99,0.0,0.013074758119002558,792.0,
clean,200,0,classical,composed-greedy,1.0,0.0,0.25000000000000006,,
clean,200,0,classical,composed-margin-best,1.0,0.0,0.3333333333333332,,0.5
clean,200,0,classical,filter-anyrole@basewp,0.25,0.0,,200.0,
moderate,200,0,classical,base@wp99,0.9974522292993631,0.3070796460176991,0.3333336695549463,1130.0,
moderate,200,0,classical,inmatrix-occ@wp99,0.9910828025477707,0.0275,0.012112979773840188,800.0,
moderate,200,0,classical,composed-greedy,0.9974522292993631,0.0,0.24999999957507535,,
moderate,200,0,classical,composed-margin-best,0.9949044585987261,0.0163727959697733,0.24999999957507535,,0.95
moderate,200,0,classical,filter-anyrole@basewp,0.4968152866242038,0.0025575447570332483,,391.0,
heavy,400,0,classical,base@wp99,0.9910025706940874,0.8760848601735777,0.33333337046180855,12444.0,
heavy,400,0,classical,inmatrix-occ@wp99,0.9903598971722365,0.7779538904899136,0.006085014110771916,6940.0,
heavy,400,0,classical,composed-greedy,0.8457583547557841,0.11796246648793565,0.24999999986842567,,
heavy,400,0,classical,composed-margin-best,0.9910025706940874,0.8628479943075692,0.24999999986842567,,0.5
heavy,400,0,classical,filter-anyrole@basewp,0.35347043701799485,0.09390444810543658,,607.0,
