pair,T,label,kernel,theta_d,ratio,epsilon,n_seg,n_true,A_nnz,exact,lam_min,lam_max,P_anc_emu,P_anc_store,cos_emu_store,cos_QC,q_eff_abs,q_far_abs,q_tau_wp99,q_eff_wp99,q_far_wp99,c_eff_abs,c_far_abs,exploded,fpass_true,fpass_false,line_mass_true,line_mass_false,t_spectral,q_eff_wp99_store,q_far_wp99_store
clean,10,step,step,0.0,0.0,0.0004247940677551889,400,40,460,True,2.381966011250104,5.618033988749895,0.02630447294895701,0.022391535339945333,0.9835609112981167,0.47343751804693485,0.5,0.0,0.276933997683655,1.0,0.0,1.0,0.0,False,0.33669725374664966,3.749399456654644e-33,0.0,1.0,0.019947052001953125,1.0,0.0
clean,10,step2x,erf,1e-06,0.0023540818384881618,0.0004247940677551889,400,40,460,True,0.76393202250022,7.23606797749979,0.0684362885264107,0.022391535339945333,0.9794496746378559,0.8618689510239115,1.0,0.0,0.9890976424602878,1.0,0.0,1.0,0.0,False,0.8759844931380572,3.749399456654644e-33,0.0,1.0,0.017800569534301758,1.0,0.0
clean,10,r=0.1,erf,4.247940677551889e-05,0.1,0.0004247940677551889,400,40,460,True,0.7639320225002475,7.236067977499761,0.06843617707720377,,,0.8618671856931993,1.0,0.0,0.9890601477227443,0.975,0.0,1.0,0.0,False,0.8759830665882088,4.377706956072113e-31,5.465970879166731e-31,1.0,0.01900792121887207,,
clean,10,r=1/3,erf,0.00014159802258506297,0.3333333333333333,0.0004247940677551889,400,40,460,True,0.7928721941480132,7.207127805851987,0.06674768912339793,0.022391535339975066,0.9807730735301093,0.8355716191472015,1.0,0.0,0.8046816450403461,0.975,0.0,1.0,0.0,False,0.854370420779494,7.200954708261003e-32,6.388722438530363e-32,1.0,0.01977252960205078,1.0,0.0
clean,10,r=1,erf,0.0004247940677551889,1.0,0.0004247940677551889,400,40,462,True,1.4562938564898071,6.543706143510191,0.05039675794545599,,,0.6426271943820957,1.0,0.0,0.3918623048430868,0.975,0.0,1.0,0.0,False,0.6450785017014484,4.3182756218739146e-14,5.262059684301106e-31,1.0,0.01927781105041504,,
clean,10,r=3,erf,0.0012743822032655668,3.0,0.0004247940677551889,400,40,466,True,2.0445925208922846,5.955407479107716,0.035021659616591955,,,0.5266249162399574,0.5,0.0,0.3011729238951494,0.975,0.0,1.0,0.0,False,0.44813802661812024,1.546597484536214e-05,1.9052346808261127e-14,0.9944444444444425,0.019162893295288086,,
clean,50,step,step,0.0,0.0,0.0004247940677551889,10000,200,10300,True,2.381966011250104,5.618033988749895,0.004110073898274532,0.003498677396832678,0.9835609117999775,0.22530172595436476,0.5,0.0,0.27693399768365506,1.0,0.0,1.0,0.0,False,0.33669725374664966,3.749399456654643e-33,0.0,0.9999999999999998,66.7820303440094,1.0,0.0
clean,50,step2x,erf,1e-06,0.0023540818384881618,0.0004247940677551889,10000,200,10300,True,0.76393202250022,7.23606797749979,0.010693170082251681,0.003498677396832678,0.9794496737466104,0.5887685805234146,1.0,0.0,0.989097642460288,1.0,0.0,1.0,0.0,False,0.8759844931380572,3.749399456654643e-33,0.0,0.9999999999999998,92.46990299224854,1.0,0.0
clean,50,r=0.1,erf,4.247940677551889e-05,0.1,0.0004247940677551889,10000,200,10300,True,0.76393202250022,7.23606797749979,0.010691420280435425,,,0.5884940365386078,1.0,0.0,0.988394021799667,0.99,0.0,1.0,0.0,False,0.87584114937327,3.9931783329854735e-33,1.0503879682371355e-32,0.9999999999999998,91.36863803863525,,
clean,50,r=1/3,erf,0.00014159802258506297,0.3333333333333333,0.0004247940677551889,10000,200,10308,True,0.7763046400080569,7.223695359991953,0.010430121002106692,0.003615960897557979,0.9695194534160606,0.5468347021404645,1.0,0.0,0.7830142927969299,0.99,0.0,1.0,0.0,False,0.8544353602269962,1.098606274499095e-09,6.424993223963549e-13,0.9999999999999869,81.99798440933228,1.0,0.024390243902439025
clean,50,r=1,erf,0.0004247940677551889,1.0,0.0004247940677551889,10000,200,10328,True,1.368102784856966,6.631897215143034,0.007907751368386791,,,0.34041354272131785,0.995,0.0,0.38041770226019894,0.99,0.0,1.0,0.0,False,0.6463136825846406,4.570371480211444e-06,8.744256733049542e-05,0.9997941338251565,88.81066751480103,,
