pair,sigma_scatt,sigma_res,theta_d,n_trk,solver,n_true,n_false,auc,youden_J,tau_J,eer,tau_EER,tau_wp99,eff_abs,far_abs,eff_J,far_J,eff_EER,far_EER,eff_wp99,far_wp99,n_solves,n_excluded,excluded_frac
clean,0.0001,0.0,1e-06,10,classical,800,7200,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,10,quantum,800,7200,1.0,1.0,0.0004999999999999449,0.0,0.0004999999999999449,0.558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,20,classical,1600,30400,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,20,quantum,1600,30400,1.0,1.0,0.0004999999999999449,0.0,0.0004999999999999449,0.558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,50,classical,4000,196000,0.9998750000000001,0.99975,0.25049999999999994,0.00012499999999998623,0.25049999999999994,1.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99925,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,50,quantum,4000,196000,0.9998750000000001,0.99975,0.0004999999999999449,0.00012499999999998623,0.0004999999999999449,0.5555000000000001,0.99975,0.0,0.99975,0.0,0.99975,0.0,0.99975,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,100,classical,8000,792000,1.0,1.0,0.5005,0.0,0.5005,1.0,1.0,0.002742458239840439,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-06,100,quantum,8000,792000,0.9999930555555556,0.9999722222222223,0.0004999999999999449,1.3888888888868856e-05,0.0004999999999999449,0.5569999999999999,1.0,0.002742458239840439,1.0,0.002742458239840439,1.0,0.002742458239840439,1.0,0.002742458239840439,20,0,0.0
clean,0.0001,0.0,1e-06,200,classical,15194,3024796,0.9998673721338427,0.9998230767824412,0.4990000000000001,8.879220958685208e-05,0.25049999999999994,1.0,0.9998683690930631,0.009066597090861652,0.9998683690930631,0.008937308369756671,0.9998683690930631,0.009066597090861652,0.9996051072791892,0.00019748535316963992,20,1,0.05
clean,0.0001,0.0,1e-06,200,quantum,15200,3024800,0.9999870192809616,0.9999504099444592,0.0004999999999999449,5.768976461251185e-05,0.5295000000000001,0.556,1.0,0.009771986970684038,1.0,0.009771986970684038,0.9999342105263158,0.00977262362368884,0.9998026315789473,0.00977389717860168,20,1,0.05
clean,0.0001,0.0,1e-06,400,classical,30397,12129598,0.9998840798264618,0.9997886857212942,0.4990000000000001,0.00010672889787283202,0.25049999999999994,0.9995,0.9998684080665855,0.031329678735339116,0.9998684080665855,0.030835459183673468,0.9998684080665855,0.03163831007455553,0.9996052241997565,0.0003290014805066623,20,1,0.05
clean,0.0001,0.0,1e-06,400,quantum,32000,12768000,0.999963127988428,0.9998845551378446,0.22799999999999998,8.897243107774955e-05,0.5245,0.5535000000000001,0.99996875,0.03250287234685856,0.99996875,0.03250287234685856,0.99990625,0.03250483792936623,0.99965625,0.032483440704110335,20,0,0.0
clean,0.0001,0.0,1e-06,700,classical,55984,39143990,0.9998206102730426,0.9996954220785135,0.5,0.00018428620987398503,0.25049999999999994,0.9995,0.9997856530437268,0.0962637646526948,0.9997856530437268,0.05935735412745362,0.9997856530437268,0.0973568352981019,0.9995534438410975,0.0006250669714612279,20,0,0.0
clean,0.0001,0.0,1e-06,700,quantum,56000,39144000,0.999924648891638,0.9997713570406703,0.0004999999999999449,0.00015896433680773203,0.5150000000000001,0.5455000000000001,0.9999285714285714,0.09901850362027353,0.9999285714285714,0.09901850362027353,0.9998392857142857,0.09902647035159708,0.9995535714285714,0.09902296907946626,20,0,0.0
clean,0.0001,0.0,1e-06,1000,classical,79992,79919997,0.9997801859304501,0.9996233859196139,0.5035000000000001,0.00023385885168231146,0.25049999999999994,0.9995,0.9997374737473748,0.17700754340286712,0.9996249624962497,0.0015732694036559784,0.9997499749974997,0.17867926466057307,0.9994124412441244,0.0011744274666100275,20,0,0.0
clean,0.0001,0.0,1e-06,1000,quantum,80000,79920000,0.9999191657072698,0.9997283908908909,0.0004999999999999449,0.0002108045545545778,0.5085,0.5369999999999999,0.99995,0.18126643945674312,0.99995,0.18126643945674312,0.9998,0.18128870464199806,0.99925,0.1813620071684588,20,0,0.0
clean,0.0001,0.0,1e-05,10,classical,800,7200,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-05,10,quantum,800,7200,1.0,1.0,0.0004999999999999449,0.0,0.0004999999999999449,0.558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20,0,0.0
clean,0.0001,0.0,1e-05,20,classical,1600,30400,1.0,1.0,0.25049999999999994,0.0,0.25049999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9975,0.0,20,0,0.0
