angle,n_tracks,σ_res,σ_scatt,k,theta_d,ε,Eff,Ghost,score
0.2,10,0.0,5e-05,1,0.001,7.3824115301167e-05,1.0,0.0,1.0
0.2,10,0.0,0.0001,1,0.001,0.0001430034964607,1.0,0.0,1.0
0.2,10,0.0,0.0004,1,0.01,0.0005660830327787,1.0,0.0,1.0
0.2,10,0.01,5e-05,1,0.01,0.0010523204394088,1.0,0.0,1.0
0.2,10,0.01,0.0001,1,0.01,0.0010594235730799,1.0,0.0,1.0
0.2,10,0.01,0.0004,1,0.01,0.0011926350268198,1.0,0.0,1.0
0.2,10,0.05,5e-05,1,0.01,0.0052491539513659,1.0,0.0,1.0
0.2,10,0.05,0.0001,1,0.01,0.0052505825586444,1.0,0.0,1.0
0.2,10,0.05,0.0004,1,0.01,0.0052790735176866,0.8666666666666667,0.0,0.8666666666666667
0.2,50,0.0,5e-05,1,0.001,7.3824115301167e-05,1.0,0.0,1.0
0.2,50,0.0,0.0001,1,0.001,0.0001430034964607,1.0,0.0,1.0
0.2,50,0.0,0.0004,1,0.001,0.0005660830327787,1.0,0.0,1.0
0.2,50,0.01,5e-05,1,0.01,0.0010523204394088,0.8666666666666667,0.0069444444444444,0.8606481481481482
0.2,50,0.01,0.0001,1,0.01,0.0010594235730799,0.9466666666666668,0.0,0.9466666666666668
0.2,50,0.01,0.0004,3,0.01,0.0035774012785535,0.9866666666666668,0.0068027210884353,0.9799546485260774
0.2,50,0.05,5e-05,2,0.01,0.0104982195104276,0.4066666666666667,0.1376262626262626,0.35069865319865323
0.2,50,0.05,0.0001,1,0.001,0.0052505825586444,0.3866666666666666,0.0707070707070707,0.35932659932659927
0.2,50,0.05,0.0004,1,0.01,0.0052790735176866,0.64,0.0978260869565217,0.5773913043478262
0.2,100,0.0,5e-05,2,0.001,0.0001430034964607,1.0,0.0,1.0
0.2,100,0.0,0.0001,2,0.001,0.0002836370920736,0.9933333333333332,0.0,0.9933333333333332
0.2,100,0.0,0.0004,3,0.01,0.0016971888521905,0.9633333333333334,0.017219387755102,0.9467453231292517
0.2,100,0.01,5e-05,1,0.001,0.0010523204394088,0.8933333333333334,0.0256516195643512,0.870417886522513
0.2,100,0.01,0.0001,2,0.01,0.0021185283616919,0.99,0.0034013605442176,0.9866326530612246
0.2,100,0.01,0.0004,1,0.01,0.0011926350268198,0.96,0.0212765957446808,0.9395744680851065
0.2,100,0.05,5e-05,1,0.01,0.0052491539513659,0.65,0.0572008547008546,0.6128194444444446
0.2,100,0.05,0.0001,1,0.01,0.0052505825586444,0.5733333333333334,0.0853867559849415,0.5243782599019668
0.2,100,0.05,0.0004,1,0.01,0.0052790735176866,0.48,0.0852358168147641,0.4390868079289132
0.1,10,0.0,5e-05,1,0.0001,7.3824115301167e-05,1.0,0.0,1.0
0.1,10,0.0,0.0001,1,0.001,0.0001430034964607,1.0,0.0,1.0
0.1,10,0.0,0.0004,1,0.001,0.0005660830327787,1.0,0.0,1.0
0.1,10,0.01,5e-05,1,0.01,0.0010523204394088,1.0,0.0,1.0
0.1,10,0.01,0.0001,1,0.01,0.0010594235730799,1.0,0.0,1.0
0.1,10,0.01,0.0004,1,0.01,0.0011926350268198,1.0,0.0,1.0
0.1,10,0.05,5e-05,2,0.01,0.0104982195104276,0.7333333333333334,0.0,0.7333333333333334
0.1,10,0.05,0.0001,1,0.01,0.0052505825586444,0.9,0.0416666666666666,0.8625
0.1,10,0.05,0.0004,1,0.01,0.0052790735176866,0.9,0.0416666666666666,0.8625
0.1,50,0.0,5e-05,1,0.0001,7.3824115301167e-05,1.0,0.0,1.0
0.1,50,0.0,0.0001,1,0.001,0.0001430034964607,1.0,0.0,1.0
0.1,50,0.0,0.0004,1,0.001,0.0005660830327787,1.0,0.0,1.0
0.1,50,0.01,5e-05,1,0.001,0.0010523204394088,0.96,0.0069444444444444,0.9533333333333334
0.1,50,0.01,0.0001,1,0.001,0.0010594235730799,0.9133333333333332,0.0077519379844961,0.9062532299741601
0.1,50,0.01,0.0004,1,0.001,0.0011926350268198,0.8666666666666667,0.0374108893653673,0.8342438958833484
0.1,50,0.05,5e-05,1,0.01,0.0052491539513659,0.4333333333333333,0.3910569105691057,0.2638753387533875
