tag,sigma_res,sigma_scatt,n_trk,rep,n_seg,repro_ok,type,count,act_C,act_Q,act_Q_wp,tau_Q_wp,have_q
eps2_sr0.01_ss0.0001,0.01,0.0001,50,0,10000,True,isolated,9790,2,10.0,10.0,0.7724265797410264,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,0,10000,True,pair,10,0,0.0,0.0,0.7724265797410264,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,0,10000,True,chain>=3,0,0,0.0,0.0,0.7724265797410264,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,0,10000,True,hub,0,0,0.0,0.0,0.7724265797410264,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,0,10000,True,TRUE,200,200,200.0,198.0,0.7724265797410264,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,1,10000,True,isolated,9786,0,6.0,6.0,0.7811481209439679,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,1,10000,True,pair,14,0,0.0,0.0,0.7811481209439679,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,1,10000,True,chain>=3,0,0,0.0,0.0,0.7811481209439679,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,1,10000,True,hub,0,0,0.0,0.0,0.7811481209439679,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,1,10000,True,TRUE,200,200,200.0,200.0,0.7811481209439679,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,2,10000,True,isolated,9796,5,6.0,5.0,0.7698071641747601,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,2,10000,True,pair,4,0,0.0,0.0,0.7698071641747601,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,2,10000,True,chain>=3,0,0,0.0,0.0,0.7698071641747601,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,2,10000,True,hub,0,0,0.0,0.0,0.7698071641747601,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,2,10000,True,TRUE,200,200,200.0,200.0,0.7698071641747601,True
eps2_sr0.01_ss0.0001,0.01,0.0001,50,3,10000,True,isolated,9792,0,0.0,0.0,0.7869348403172103,True
