sigma_res,sigma_scatt,pct_coupled,fp_C,fp_C_iso_pct,fp_C_hub_pct,fp_Q_wp,fp_Q_wp_iso_pct,fp_Q_fixedtau
0.0,0.0,0.0,0.0,0.0,0.0,6.2,100.0,6.2
0.0,0.0,0.04,3.8,100.0,0.0,60.6,100.0,61.0
0.0,0.0,0.1,7.4,100.0,0.0,182.8,99.89,183.4
0.01,0.0,0.24,22.6,100.0,0.0,403.0,99.75,404.2
0.01,0.0,0.28,25.2,100.0,0.0,416.8,99.38,417.2
0.01,0.0,0.35,30.6,100.0,0.0,568.6,99.54,569.0
0.02,0.0,0.94,157.2,98.98,0.0,1476.6,98.88,1477.6
0.02,0.0,0.92,216.0,99.17,0.0,1552.2,99.01,1553.6
0.02,0.0,1.0,233.4,98.8,0.0,1717.4,98.75,1718.6
0.05,0.0,5.21,3760.8,93.41,1.58,8235.0,93.98,8238.0
0.05,0.0,5.2,3612.0,93.33,1.55,0.0,0.0,0.0
0.05,0.0,5.25,3856.6,92.99,1.81,8581.0,93.64,8591.5
