status,n_trk,rep,seed,tag,sigma_res,sigma_scatt,phi_max,hit_ineff,convolution,erf_sigma,epsilon,gamma,delta,tau_default,n_seg,n_pad,A_nnz,n_qubits,quantum_metrics_default,cos_QC,P_anc,t_gen,t_angles,t_classical,t_q,t_total,sol_Q,angle_n_true,angle_n_false,angle_true_accepted,angle_false_accepted,angle_segment_efficiency,angle_segment_false_rate,cls_default_n_true_all,cls_default_n_false_all,cls_default_n_true_active,cls_default_n_false_active,cls_default_n_active,cls_default_segment_efficiency,cls_default_segment_purity,cls_default_segment_false_rate,file,q_default_n_true_all,q_default_n_false_all,q_default_n_true_active,q_default_n_false_active,q_default_n_active,q_default_segment_efficiency,q_default_segment_purity,q_default_segment_false_rate
ok,2.0,0.0,200200.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0006144046783447266,0.27025651931762695,0.0030138492584228516,0.0,0.27414369583129883,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r000.pkl,,,,,,,,
ok,2.0,1.0,200201.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005967617034912109,0.6385970115661621,0.003580331802368164,0.0,0.6431505680084229,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r001.pkl,,,,,,,,
ok,2.0,2.0,200202.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005769729614257812,0.32245874404907227,0.003286600112915039,0.0,0.3266780376434326,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r002.pkl,,,,,,,,
ok,2.0,3.0,200203.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004849433898925781,0.26409482955932617,0.002319812774658203,0.0,0.2671949863433838,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r003.pkl,,,,,,,,
ok,2.0,4.0,200204.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0007190704345703125,0.2206578254699707,0.002300262451171875,0.0,0.22411203384399414,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r004.pkl,,,,,,,,
ok,2.0,5.0,200205.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,14.0,16.0,24.0,,,,,0.0005459785461425781,0.2735579013824463,0.0025489330291748047,0.0,0.27697157859802246,,5.0,15.0,5.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,14.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r005.pkl,,,,,,,,
ok,2.0,6.0,200206.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004894733428955078,0.2494487762451172,0.0021822452545166016,0.0,0.25243449211120605,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r006.pkl,,,,,,,,
ok,2.0,7.0,200207.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005509853363037109,0.22392582893371582,0.0022840499877929688,0.0,0.22709417343139648,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r007.pkl,,,,,,,,
ok,2.0,8.0,200208.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005249977111816406,0.260587215423584,0.0022668838500976562,0.0,0.2639129161834717,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r008.pkl,,,,,,,,
ok,2.0,9.0,200209.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005512237548828125,0.21230149269104004,0.002220630645751953,0.0,0.2154226303100586,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r009.pkl,,,,,,,,
