solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
classical,0.01,0.0001,10,20,20,0.0,100000.0,100.0,0.0,0.6775067750677506,0.5624788218104593,99.32249322493224,0.5624788218104595,
classical,0.01,0.0001,20,20,20,0.0,200000.0,100.0,0.0,0.9553870633483195,0.41888100622017016,99.04461293665169,0.41888100622017027,
classical,0.01,0.0001,50,20,20,0.0,500000.0,99.975,0.025,3.095930710179731,0.5168143579689304,96.90406928982027,0.5168143579689305,
classical,0.01,0.0001,100,20,20,0.0,1000000.0,99.9375,0.05089656694037221,9.317293681790089,0.8035525794294641,90.68270631820991,0.8035525794294645,
classical,0.01,0.0001,200,20,20,0.0,2000000.0,99.99375,0.00625,34.93308104558807,0.8525566820592005,65.06691895441193,0.8525566820592002,
classical,0.01,0.0001,400,20,20,0.0,4000000.0,99.9125,0.04334872365024447,75.77834009832617,0.28225136548076807,24.221659901673842,0.2822513654807685,
classical,0.01,0.0001,700,20,20,0.0,7000000.0,99.8,0.05223264491115366,93.05973994929582,0.08890729460996281,6.940260050704185,0.08890729460996366,
classical,0.01,0.0001,1000,20,8,0.6,10000000.0,99.303125,0.10973156166299639,96.90632047691341,0.04780625014807869,3.0936795230865934,0.04780625014808009,
classical,0.01,0.0003,10,20,20,0.0,100000.0,100.0,0.0,2.9832748678378125,1.1379375374884497,97.0167251321622,1.1379375374884493,
classical,0.01,0.0003,20,20,20,0.0,200000.0,100.0,0.0,10.05708556485559,1.5520421518766294,89.9429144351444,1.5520421518766296,
classical,0.01,0.0003,50,20,20,0.0,500000.0,99.975,0.025,35.333610057815264,1.7099343474653468,64.66638994218474,1.7099343474653468,
classical,0.01,0.0003,100,20,20,0.0,1000000.0,99.3125,0.27795955309701936,74.30726210827422,0.40248913654854407,25.69273789172579,0.40248913654854424,
classical,0.01,0.0003,200,20,9,0.55,2000000.0,96.33333333333333,0.8299410119600871,92.7442484061398,0.12895296513761967,7.255751593860179,0.12895296513761828,
classical,0.01,0.0003,400,20,0,1.0,4000000.0,,,,,,,
classical,0.01,0.0003,700,20,0,1.0,7000000.0,,,,,,,
classical,0.01,0.0003,1000,20,0,1.0,10000000.0,,,,,,,
classical,0.02,0.0001,10,20,20,0.0,25000.0,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.02,0.0001,20,20,20,0.0,50000.0,100.0,0.0,0.061728395061728,0.061728395061728,99.93827160493827,0.06172839506172778,
classical,0.02,0.0001,50,20,20,0.0,125000.0,100.0,0.0,0.750250835475294,0.3082024830971546,99.2497491645247,0.30820248309715415,
classical,0.02,0.0001,100,20,20,0.0,250000.0,99.95,0.049999999999999996,1.234800146585989,0.24822079183772866,98.76519985341402,0.2482207918377289,
classical,0.02,0.0001,200,20,20,0.0,500000.0,99.96875,0.03125,5.579663259862646,0.5268633111279798,94.42033674013736,0.5268633111279812,
classical,0.02,0.0001,400,20,20,0.0,1000000.0,99.984375,0.012724141735093052,21.716102944672695,0.6851538092459437,78.2838970553273,0.6851538092459435,
classical,0.02,0.0001,700,20,20,0.0,1750000.0,99.97500000000001,0.007816023641462428,56.342270416357564,0.68532822889092,43.657729583642436,0.6853282288909202,
classical,0.02,0.0001,1000,20,19,0.050000000000000044,2500000.0,99.98815789473684,0.006990077829170574,77.68658269600064,0.3730478233987759,22.31341730399937,0.37304782339877623,
classical,0.02,0.0003,10,20,20,0.0,25000.0,99.5,0.5,0.80338266384778,0.558218768295248,99.19661733615223,0.5582187682952477,
classical,0.02,0.0003,20,20,20,0.0,50000.0,100.0,0.0,1.967602674785035,0.5164887097760518,98.03239732521497,0.5164887097760519,
classical,0.02,0.0003,50,20,20,0.0,125000.0,100.0,0.0,7.403557418211437,0.965664090968849,92.59644258178857,0.9656640909688492,
classical,0.02,0.0003,100,20,20,0.0,250000.0,99.975,0.025,25.41838318611871,0.9507501506398863,74.5816168138813,0.9507501506398863,
classical,0.02,0.0003,200,20,20,0.0,500000.0,99.98125,0.010239725273864067,66.31316073335253,0.6111032691859289,33.68683926664746,0.6111032691859289,
classical,0.02,0.0003,400,20,18,0.09999999999999998,1000000.0,99.54861111111111,0.12392877959149963,91.60581993973418,0.1073786045627809,8.394180060265823,0.10737860456278067,
classical,0.02,0.0003,700,20,3,0.85,1750000.0,,,,,,,
classical,0.02,0.0003,1000,20,0,1.0,2500000.0,,,,,,,
classical,0.05,0.0001,10,20,20,0.0,3999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.05,0.0001,20,20,20,0.0,7999.999999999998,100.0,0.0,0.3488372093023255,0.34883720930232553,99.65116279069767,0.34883720930232587,
classical,0.05,0.0001,50,20,20,0.0,19999.999999999996,100.0,0.0,0.099009900990099,0.06814328728828567,99.9009900990099,0.06814328728828646,
classical,0.05,0.0001,100,20,20,0.0,39999.99999999999,99.9375,0.05089656694037221,0.28447738000210154,0.11067299047036543,99.71552261999791,0.11067299047036559,
classical,0.05,0.0001,200,20,20,0.0,79999.99999999999,99.99375,0.00625,0.465259020352715,0.08351552385307295,99.5347409796473,0.08351552385307282,
classical,0.05,0.0001,400,20,20,0.0,159999.99999999997,99.959375,0.02041661072316002,1.5001937481151468,0.1111867213669578,98.49980625188485,0.11118672136695824,
classical,0.05,0.0001,700,20,20,0.0,279999.99999999994,99.9875,0.007453309734175115,5.155494000954182,0.259397237072537,94.84450599904582,0.259397237072537,
classical,0.05,0.0001,1000,20,20,0.0,399999.99999999994,99.995,0.0022941573387048352,10.625043361159152,0.34193974685452,89.37495663884084,0.3419397468545204,
classical,0.05,0.0003,10,20,20,0.0,3999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.05,0.0003,20,20,20,0.0,7999.999999999998,100.0,0.0,0.24245128662799295,0.18787461376810882,99.757548713372,0.18787461376810863,
classical,0.05,0.0003,50,20,20,0.0,19999.999999999996,100.0,0.0,0.6830246296986434,0.2492384743542529,99.31697537030135,0.2492384743542526,
classical,0.05,0.0003,100,20,20,0.0,39999.99999999999,100.0,0.0,2.922135556167761,0.36226746417088396,97.07786444383223,0.36226746417088446,
classical,0.05,0.0003,200,20,20,0.0,79999.99999999999,99.99375,0.0062499999999999995,8.682433551610043,0.6231060810035662,91.31756644838995,0.6231060810035662,
classical,0.05,0.0003,400,20,20,0.0,159999.99999999997,99.9875,0.005735393346764044,35.09835164301187,0.6759750969565845,64.90164835698813,0.6759750969565848,
classical,0.05,0.0003,700,20,19,0.050000000000000044,279999.99999999994,99.98496240601504,0.008335923994767593,71.47542606317013,0.40454040473102326,28.52457393682987,0.40454040473102354,
classical,0.05,0.0003,1000,20,20,0.0,399999.99999999994,99.88125,0.04356162452869434,86.62258689156587,0.2073436597697068,13.377413108434132,0.20734365976970714,
classical,0.1,0.0001,10,20,20,0.0,999.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,
classical,0.1,0.0001,20,20,20,0.0,1999.9999999999995,99.9375,0.0625,0.0,0.0,100.0,0.0,
classical,0.1,0.0001,50,20,20,0.0,4999.999999999999,100.0,0.0,0.09925619427614349,0.05799948863015083,99.90074380572386,0.057999488630151315,
classical,0.1,0.0001,100,20,20,0.0,9999.999999999998,100.0,0.0,0.0373444498207215,0.027232678469135324,99.96265555017928,0.027232678469134967,
classical,0.1,0.0001,200,20,20,0.0,19999.999999999996,100.0,0.0,0.216870452592164,0.08554865883485968,99.78312954740784,0.08554865883485917,
classical,0.1,0.0001,400,20,20,0.0,39999.99999999999,99.99375,0.004301545010073032,0.264413297805077,0.05207803742227833,99.73558670219491,0.05207803742227842,
classical,0.1,0.0001,700,20,20,0.0,69999.99999999999,99.99285714285715,0.007142857142856938,0.6251453531457709,0.0827377191185836,99.37485464685423,0.08273771911858385,
