study,arm,phi_max,n_trk,solver,n_solves,eff,eff_sem,far,far_sem,excluded_frac,far_valid,eff_valid
Noisy_Density,fixed,0.01,10,classical,20,0.9555801516908327,0.01367381310468436,0.08169175659942898,0.01744487966079429,0.0,0.08169175659942898,0.9555801516908327
Noisy_Density,fixed,0.01,10,quantum,3,1.0,0.0,0.661314337055577,0.23882044650953776,,,
Noisy_Density,fixed,0.01,20,classical,20,0.9611378642519787,0.0075673021952137225,0.23464033097922746,0.011764556380058529,0.0,0.23464033097922746,0.9611378642519787
Noisy_Density,fixed,0.01,20,quantum,3,1.0,0.0,0.7631268178275007,0.18690692137913426,,,
Noisy_Density,fixed,0.01,50,classical,20,0.9491452805623105,0.006840096199692563,0.6708030545302035,0.007816244291419713,0.1,0.6680216811907356,0.9535022384100493
Noisy_Density,fixed,0.01,50,quantum,3,0.9982993197278912,0.00170068027210879,0.9128043975439382,0.06719765332785561,,,
Noisy_Density,fixed,0.01,100,classical,20,0.9216202428142782,0.010041388653398414,0.897516267547401,0.0022205942693970847,0.4,0.8977166544075382,0.9321666222841496
Noisy_Density,fixed,0.01,100,quantum,3,0.9974747474747474,0.0025252525252525233,0.9691150351769173,0.020885859241396784,,,
Noisy_Density,fixed,0.01,200,classical,20,0.6983323677945369,0.011431687534099797,0.9743800133004303,0.00046854681725716236,1.0,,
Noisy_Density,fixed,0.01,200,quantum,3,0.994081530020191,0.002959279611393653,0.9811851084090351,0.006908841308618743,,,
Noisy_Density,fixed,0.01,400,classical,20,0.41365401531826185,0.00630051558856489,0.9938227220188667,0.00010220253351109378,1.0,,
Noisy_Density,fixed,0.01,400,quantum,3,0.9903905834029777,3.0338173712142567e-05,0.9905284575503952,9.238396839508501e-05,,,
Noisy_Density,fixed,0.01,700,classical,20,0.42780111329038295,0.0033198879897560914,0.9968608102530926,3.813720228125497e-05,1.0,,
Noisy_Density,fixed,0.01,700,quantum,5,0.9901451916229455,1.3562137326850397e-05,0.9957514761264774,3.1708392607985844e-05,,,
Noisy_Density,fixed,0.01,1000,classical,20,0.423689810811147,0.0023560068608730928,0.9977834076545211,1.6018012131471857e-05,1.0,,
Noisy_Density,fixed,0.01,1000,quantum,5,0.9901027959478317,2.7740079235762823e-05,0.9972924522829881,2.0892981002978825e-05,,,
Noisy_Density,fixed,0.02,10,classical,20,0.9611858974358976,0.01038447833420606,0.01752755999382879,0.008492776550938332,0.0,0.01752755999382879,0.9611858974358976
Noisy_Density,fixed,0.02,10,quantum,3,1.0,0.0,0.3561362756484707,0.27200646752876856,,,
Noisy_Density,fixed,0.02,20,classical,20,0.937087755951097,0.010795831514985473,0.05179231042599249,0.008502226304699918,0.0,0.05179231042599249,0.937087755951097
Noisy_Density,fixed,0.02,20,quantum,3,1.0,0.0,0.6678160919540229,0.2821839080459771,,,
