param,value,event,algorithm,n_seg,ran,efficiency,ghost,purity,fidelity,time_s
sigma_res,1e-05,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0005358299240469933
sigma_res,1e-05,0,HHL (full),18,True,0.0,0.0,0.0,,17.631051384843886
sigma_res,1e-05,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6819330243402566,0.2457474572584033
sigma_res,1e-05,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0001403139904141426
sigma_res,1e-05,1,HHL (full),18,True,0.0,0.0,0.0,,17.91752218781039
sigma_res,1e-05,1,OneBitHHL,18,True,1.0,0.0,1.0,0.6854787155554248,0.27833175705745816
sigma_res,1e-05,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00039888080209493637
sigma_res,1e-05,2,HHL (full),18,True,0.0,0.0,0.0,,18.668873184826225
sigma_res,1e-05,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6845784278523409,0.2669289209879935
sigma_res,1e-05,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00036179181188344955
sigma_res,1e-05,3,HHL (full),18,True,0.0,0.0,0.0,,17.126970371697098
sigma_res,1e-05,3,OneBitHHL,18,True,1.0,0.0,1.0,0.6847781374651963,0.26868663309141994
sigma_res,1e-05,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0003463928587734699
sigma_res,1e-05,4,HHL (full),18,True,0.0,0.0,0.0,,13.202827920205891
sigma_res,1e-05,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6854313739634886,0.23081729421392083
sigma_res,5e-05,0,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0002012588083744049
sigma_res,5e-05,0,HHL (full),18,True,0.0,0.0,0.0,,17.16183671215549
sigma_res,5e-05,0,OneBitHHL,18,True,1.0,0.0,1.0,0.6853382375772072,0.2289113630540669
sigma_res,5e-05,1,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0003273659385740757
sigma_res,5e-05,1,HHL (full),18,True,0.0,1.0,0.0,0.4138299395901504,16.86293231882155
sigma_res,5e-05,1,OneBitHHL,18,True,1.0,0.0,1.0,0.6852095435736888,0.23737154388800263
sigma_res,5e-05,2,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.0002558720298111439
sigma_res,5e-05,2,HHL (full),18,True,0.0,0.0,0.0,,16.460214769933373
sigma_res,5e-05,2,OneBitHHL,18,True,1.0,0.0,1.0,0.6836118840190323,0.238907378166914
sigma_res,5e-05,3,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.000289886724203825
sigma_res,5e-05,3,HHL (full),18,True,0.0,1.0,0.0,0.41382993958978853,16.930432172026485
sigma_res,5e-05,3,OneBitHHL,18,True,1.0,0.0,1.0,0.685093691354181,0.23159323632717133
sigma_res,5e-05,4,Classical (solve_direct),18,True,0.0,1.0,0.0,1.0,0.00011783232912421227
sigma_res,5e-05,4,HHL (full),18,True,0.0,0.0,0.0,,16.634297878015786
sigma_res,5e-05,4,OneBitHHL,18,True,1.0,0.0,1.0,0.6845216607039148,0.2385897897183895
