who,n_trk,eff_m,eff_e,fr_m,fr_e,ntm,ntse,nfm,nfse,tam,tase,fam,fase,n_reps
C,2,100.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,60
C,4,100.0,0.0,0.0,0.0,16.0,0.0,48.0,0.0,16.0,0.0,0.0,0.0,60
C,6,100.0,0.0,0.0,0.0,24.0,0.0,120.0,0.0,24.0,0.0,0.0,0.0,60
C,8,100.0,0.0,0.0,0.0,32.0,0.0,224.0,0.0,32.0,0.0,0.0,0.0,60
C,10,100.0,0.0,0.1956441491325212,0.1396667729328214,40.0,0.0,360.0,0.0,40.0,0.0,0.08333333333333333,0.05962058315690873,60
C,15,100.0,0.0,0.10416666666666667,0.10416666666666663,60.0,0.0,840.0,0.0,60.0,0.0,0.06666666666666667,0.06666666666666667,60
C,20,100.0,0.0,0.04065040650406504,0.04065040650406504,80.0,0.0,1520.0,0.0,80.0,0.0,0.03333333333333333,0.03333333333333333,60
C,30,100.0,0.0,0.10563762174356305,0.09265926247880117,120.0,0.0,3480.0,0.0,120.0,0.0,0.13333333333333333,0.11757115087422923,60
C,40,100.0,0.0,0.12209716097731929,0.06720769180894723,160.0,0.0,6240.0,0.0,160.0,0.0,0.2,0.11097920607389007,60
C,50,100.0,0.0,0.17178208866515163,0.06951266244256185,200.0,0.0,9800.0,0.0,200.0,0.0,0.35,0.14226775106941938,60
Q,2,75.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,60
Q,4,75.41666666666667,0.2029676251864395,0.0,0.0,16.0,0.0,48.0,0.0,12.066666666666666,0.03247482002983031,0.0,0.0,60
Q,6,80.41666666666667,0.580028302013118,0.0,0.0,24.0,0.0,120.0,0.0,19.3,0.13920679248314835,0.0,0.0,60
Q,8,86.82291666666667,0.6729966849976979,0.0,0.0,32.0,0.0,224.0,0.0,27.783333333333335,0.21535893919926333,0.0,0.0,60
Q,10,88.70833333333333,0.5128699115169068,0.20451770451770454,0.14537040796536913,40.0,0.0,360.0,0.0,35.483333333333334,0.2051479646067627,0.08333333333333333,0.05962058315690873,60
Q,15,77.5,0.578843360424125,0.2976572760332109,0.15094113378200547,60.0,0.0,840.0,0.0,46.5,0.34730601625447505,0.15,0.07820370329491788,60
Q,20,58.791666666666664,0.6878476693250162,0.07311320754716982,0.051774318211517414,80.0,0.0,1520.0,0.0,47.03333333333333,0.550278135460013,0.03333333333333333,0.023369624723103315,60
Q,30,39.77777777777778,0.47491477853582376,0.3605236674150618,0.18018878427730256,120.0,0.0,3480.0,0.0,47.733333333333334,0.5698977342429884,0.18333333333333332,0.09355401674414741,60
Q,40,24.145833333333332,0.43386979233905126,0.3248849745811595,0.1401310321291267,160.0,0.0,6240.0,0.0,38.63333333333333,0.6941916677424819,0.13333333333333333,0.06044405671748913,60
Q,50,13.116666666666667,0.2739558159214964,0.4746824558609456,0.17255335087429738,200.0,0.0,9800.0,0.0,26.233333333333334,0.5479116318429929,0.13333333333333333,0.05023485333552975,60
