who,n_trk,eff_m,eff_e,fr_m,fr_e,ntm,ntse,nfm,nfse,tam,tase,fam,fase,n_reps
C,2,93.75,2.0903835508897664,0.0,0.0,7.733333333333333,0.08526020878174409,7.733333333333333,0.08526020878174409,7.5,0.1672306840711813,0.0,0.0,60
C,4,96.66666666666667,1.0448397997570291,0.0,0.0,15.666666666666666,0.097037084956597,47.0,0.29111125486979095,15.466666666666667,0.1671743679611247,0.0,0.0,60
C,6,95.90277777777779,0.877432871640444,0.0,0.0,23.45,0.1074222882953015,117.25,0.5371114414765076,23.016666666666666,0.21058388919370646,0.0,0.0,60
C,8,95.67708333333333,0.8373787313472955,0.05747126436781609,0.0574712643678161,31.166666666666668,0.14684375544176556,218.08333333333334,1.075744825839358,30.616666666666667,0.26796119403113455,0.016666666666666666,0.016666666666666666,60
C,10,98.0,0.5139302421392525,0.0,0.0,39.46666666666667,0.11514340522356604,355.21666666666664,1.0278856766287074,39.2,0.205572096855701,0.0,0.0,60
Q,2,71.04166666666667,1.34496821558787,0.0,0.0,7.733333333333333,0.08526020878174409,7.733333333333333,0.08526020878174409,5.683333333333334,0.1075974572470296,0.0,0.0,60
Q,4,73.95833333333333,0.4736774133332426,0.0,0.0,15.666666666666666,0.097037084956597,47.0,0.29111125486979095,11.833333333333334,0.07578838613331881,0.0,0.0,60
Q,6,75.55555555555556,0.6377517924849324,0.0,0.0,23.45,0.1074222882953015,117.25,0.5371114414765076,18.133333333333333,0.15306043019638377,0.0,0.0,60
Q,8,83.38541666666667,0.6453761252964325,0.06666666666666667,0.06666666666666667,31.166666666666668,0.14684375544176556,218.08333333333334,1.075744825839358,26.683333333333334,0.20652036009485839,0.016666666666666666,0.016666666666666666,60
Q,10,90.16666666666667,0.6505828185300303,0.0,0.0,39.46666666666667,0.11514340522356604,355.21666666666664,1.0278856766287074,36.06666666666667,0.26023312741201216,0.0,0.0,60
