shots,n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
8192,10,0,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4471118813240282,0.925,0.002322673797607422,1.4250373840332031,0.022216796875,400
8192,10,0,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.4471118813240282,0.925,0.002322673797607422,1.4250373840332031,0.022216796875,400
8192,10,1,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4377955706113136,0.925,0.0007355213165283203,1.3348116874694824,0.0191650390625,400
8192,10,1,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.4377955706113136,0.925,0.0007355213165283203,1.3348116874694824,0.0191650390625,400
8192,10,2,C,0.0,40,40,360,40,40,0,100.0,0.0,0.43624680043952696,0.85,0.002185821533203125,1.2317438125610352,0.02197265625,400
8192,10,2,Q,0.0,40,40,360,34,34,0,85.0,0.0,0.43624680043952696,0.85,0.002185821533203125,1.2317438125610352,0.02197265625,400
8192,10,3,C,0.0,40,40,360,40,40,0,100.0,0.0,0.43658293796080017,0.875,0.0021746158599853516,1.2333958148956299,0.0220947265625,400
8192,10,3,Q,0.0,40,40,360,35,35,0,87.5,0.0,0.43658293796080017,0.875,0.0021746158599853516,1.2333958148956299,0.0220947265625,400
8192,10,4,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4448468809305602,0.9,0.0019741058349609375,1.3682663440704346,0.0220947265625,400
8192,10,4,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.4448468809305602,0.9,0.0019741058349609375,1.3682663440704346,0.0220947265625,400
8192,10,5,C,0.0,40,40,360,40,40,0,100.0,0.0,0.44152540750266284,0.9,0.0007145404815673828,1.3668169975280762,0.0242919921875,400
8192,10,5,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.44152540750266284,0.9,0.0007145404815673828,1.3668169975280762,0.0242919921875,400
8192,10,6,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4305636891488568,0.8,0.001068115234375,1.3684966564178467,0.018310546875,400
8192,10,6,Q,0.0,40,40,360,32,32,0,80.0,0.0,0.4305636891488568,0.8,0.001068115234375,1.3684966564178467,0.018310546875,400
8192,10,7,C,0.0,40,40,360,40,40,0,100.0,0.0,0.42219615582888714,0.775,0.001552581787109375,1.4200975894927979,0.0230712890625,400
8192,10,7,Q,0.0,40,40,360,31,31,0,77.5,0.0,0.42219615582888714,0.775,0.001552581787109375,1.4200975894927979,0.0230712890625,400
8192,10,8,C,0.0,40,40,360,40,40,0,100.0,0.0,0.43284999661873463,0.8,0.001379251480102539,1.4186489582061768,0.017333984375,400
8192,10,8,Q,0.0,40,40,360,32,32,0,80.0,0.0,0.43284999661873463,0.8,0.001379251480102539,1.4186489582061768,0.017333984375,400
8192,10,9,C,0.0,40,40,360,40,40,0,100.0,0.0,0.44252988672703675,0.9,0.00039839744567871094,0.6606879234313965,0.0206298828125,400
8192,10,9,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.44252988672703675,0.9,0.00039839744567871094,0.6606879234313965,0.0206298828125,400
8192,10,10,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4517676505921437,0.95,0.0006015300750732422,0.878056526184082,0.0223388671875,400
8192,10,10,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.4517676505921437,0.95,0.0006015300750732422,0.878056526184082,0.0223388671875,400
8192,10,11,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4556174802250239,0.95,0.0007636547088623047,1.2909271717071533,0.0240478515625,400
8192,10,11,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.4556174802250239,0.95,0.0007636547088623047,1.2909271717071533,0.0240478515625,400
8192,10,12,C,0.0,40,40,360,40,40,0,100.0,0.0,0.45263200897270367,0.95,0.0006439685821533203,1.3515136241912842,0.0225830078125,400
8192,10,12,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.45263200897270367,0.95,0.0006439685821533203,1.3515136241912842,0.0225830078125,400
8192,10,13,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4431436011156665,0.875,0.0007572174072265625,1.2772772312164307,0.0224609375,400
8192,10,13,Q,0.0,40,40,360,35,35,0,87.5,0.0,0.4431436011156665,0.875,0.0007572174072265625,1.2772772312164307,0.0224609375,400
8192,10,14,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4338714510846966,0.85,0.0007793903350830078,1.3370764255523682,0.0191650390625,400
8192,10,14,Q,0.0,40,40,360,34,34,0,85.0,0.0,0.4338714510846966,0.85,0.0007793903350830078,1.3370764255523682,0.0191650390625,400
8192,10,15,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4283095806523403,0.825,0.0007472038269042969,1.2446391582489014,0.0216064453125,400
8192,10,15,Q,0.0,40,40,360,33,33,0,82.5,0.0,0.4283095806523403,0.825,0.0007472038269042969,1.2446391582489014,0.0216064453125,400
8192,10,16,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4453310160659144,0.9,0.000766754150390625,1.3262650966644287,0.0263671875,400
8192,10,16,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.4453310160659144,0.9,0.000766754150390625,1.3262650966644287,0.0263671875,400
8192,10,17,C,0.0,40,40,360,40,40,0,100.0,0.0,0.44135245580064303,0.9,0.0009341239929199219,1.3509056568145752,0.0240478515625,400
8192,10,17,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.44135245580064303,0.9,0.0009341239929199219,1.3509056568145752,0.0240478515625,400
8192,10,18,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4408168275871608,0.875,0.0007426738739013672,0.6558222770690918,0.021728515625,400
8192,10,18,Q,0.0,40,40,360,35,35,0,87.5,0.0,0.4408168275871608,0.875,0.0007426738739013672,0.6558222770690918,0.021728515625,400
8192,10,19,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4468233437580771,0.9,0.0005507469177246094,0.9034476280212402,0.0230712890625,400
8192,10,19,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.4468233437580771,0.9,0.0005507469177246094,0.9034476280212402,0.0230712890625,400
8192,10,20,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4495907025987081,0.9,0.0005900859832763672,1.258772611618042,0.0205078125,400
8192,10,20,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.4495907025987081,0.9,0.0005900859832763672,1.258772611618042,0.0205078125,400
8192,10,21,C,0.0,40,40,360,40,40,0,100.0,0.0,0.45366403419148,0.925,0.0007565021514892578,1.2559869289398193,0.022705078125,400
8192,10,21,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.45366403419148,0.925,0.0007565021514892578,1.2559869289398193,0.022705078125,400
8192,10,22,C,0.0,40,40,360,40,40,0,100.0,0.0,0.43570836851016165,0.85,0.0007555484771728516,1.2765209674835205,0.0225830078125,400
8192,10,22,Q,0.0,40,40,360,34,34,0,85.0,0.0,0.43570836851016165,0.85,0.0007555484771728516,1.2765209674835205,0.0225830078125,400
8192,10,23,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4303609599406281,0.825,0.0005743503570556641,1.3066134452819824,0.020751953125,400
8192,10,23,Q,0.0,40,40,360,33,33,0,82.5,0.0,0.4303609599406281,0.825,0.0005743503570556641,1.3066134452819824,0.020751953125,400
8192,10,24,C,0.0,40,40,360,40,40,0,100.0,0.0,0.45377921769132223,0.925,0.0008406639099121094,1.2515590190887451,0.023193359375,400
8192,10,24,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.45377921769132223,0.925,0.0008406639099121094,1.2515590190887451,0.023193359375,400
8192,10,25,C,0.0,40,40,360,40,40,0,100.0,0.0,0.4337507744826717,0.825,0.0009222030639648438,1.2904164791107178,0.0225830078125,400
8192,10,25,Q,0.0,40,40,360,33,33,0,82.5,0.0,0.4337507744826717,0.825,0.0009222030639648438,1.2904164791107178,0.0225830078125,400
8192,10,26,C,0.0,40,40,360,40,40,0,100.0,0.0,0.44123391046982763,0.875,0.0005784034729003906,1.1015710830688477,0.022705078125,400
8192,10,26,Q,0.0,40,40,360,35,35,0,87.5,0.0,0.44123391046982763,0.875,0.0005784034729003906,1.1015710830688477,0.022705078125,400
