shots,n_trk,rep,who,drop_rate,n_true_all,n_true_clean,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct,cos,jaccard,t_classical,t_quantum,success_prob,n_seg
8192,10,0,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5504626010140756,0.95,0.005003690719604492,1.595818281173706,0.0340576171875,400
8192,10,0,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5504626010140756,0.95,0.005003690719604492,1.595818281173706,0.0340576171875,400
8192,10,1,C,0.0,40,40,360,40,40,0,100.0,0.0,0.562742243362337,1.0,0.0009150505065917969,0.8457770347595215,0.0333251953125,400
8192,10,1,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.562742243362337,1.0,0.0009150505065917969,0.8457770347595215,0.0333251953125,400
8192,10,2,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5520480977409576,0.975,0.0007617473602294922,0.9102222919464111,0.0283203125,400
8192,10,2,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5520480977409576,0.975,0.0007617473602294922,0.9102222919464111,0.0283203125,400
8192,10,3,C,0.0,40,40,360,40,40,0,100.0,0.0,0.548884094640877,0.975,0.0009038448333740234,0.8362858295440674,0.031982421875,400
8192,10,3,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.548884094640877,0.975,0.0009038448333740234,0.8362858295440674,0.031982421875,400
8192,10,4,C,0.0,40,40,360,41,40,1,100.0,2.4390243902439024,0.5764416539213948,1.0,0.0005133152008056641,1.3117213249206543,0.0322265625,400
8192,10,4,Q,0.0,40,40,360,41,40,1,100.0,2.4390243902439024,0.5764416539213948,1.0,0.0005133152008056641,1.3117213249206543,0.0322265625,400
8192,10,5,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5482557147884767,0.95,0.0014598369598388672,0.7860124111175537,0.03125,400
8192,10,5,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5482557147884767,0.95,0.0014598369598388672,0.7860124111175537,0.03125,400
8192,10,6,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5462367759721471,0.95,0.0005970001220703125,0.6949565410614014,0.0323486328125,400
8192,10,6,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5462367759721471,0.95,0.0005970001220703125,0.6949565410614014,0.0323486328125,400
8192,10,7,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5388848297220061,0.9,0.0011394023895263672,0.8029434680938721,0.029052734375,400
8192,10,7,Q,0.0,40,40,360,36,36,0,90.0,0.0,0.5388848297220061,0.9,0.0011394023895263672,0.8029434680938721,0.029052734375,400
8192,10,8,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5590917195398863,1.0,0.0013082027435302734,0.8176262378692627,0.033447265625,400
8192,10,8,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5590917195398863,1.0,0.0013082027435302734,0.8176262378692627,0.033447265625,400
8192,10,9,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5462832132923682,0.95,0.00043272972106933594,0.9864399433135986,0.0323486328125,400
8192,10,9,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5462832132923682,0.95,0.00043272972106933594,0.9864399433135986,0.0323486328125,400
8192,10,10,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5522074672633216,0.975,0.0042345523834228516,0.8859784603118896,0.031494140625,400
8192,10,10,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5522074672633216,0.975,0.0042345523834228516,0.8859784603118896,0.031494140625,400
8192,10,11,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5448984260992435,0.975,0.002099752426147461,1.9970118999481201,0.03173828125,400
8192,10,11,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5448984260992435,0.975,0.002099752426147461,1.9970118999481201,0.03173828125,400
8192,10,12,C,0.0,40,40,360,40,40,0,100.0,0.0,0.540208225640774,0.925,0.0036203861236572266,1.3905577659606934,0.0302734375,400
8192,10,12,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.540208225640774,0.925,0.0036203861236572266,1.3905577659606934,0.0302734375,400
8192,10,13,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5588017512800869,1.0,0.004670143127441406,0.9121651649475098,0.0343017578125,400
8192,10,13,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5588017512800869,1.0,0.004670143127441406,0.9121651649475098,0.0343017578125,400
8192,10,14,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5549832521989565,0.95,0.00930166244506836,1.8022823333740234,0.0302734375,400
8192,10,14,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5549832521989565,0.95,0.00930166244506836,1.8022823333740234,0.0302734375,400
8192,10,15,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5362599433514562,0.95,0.0007245540618896484,0.9322865009307861,0.0306396484375,400
8192,10,15,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5362599433514562,0.95,0.0007245540618896484,0.9322865009307861,0.0306396484375,400
8192,10,16,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5522829029924592,0.975,0.002536773681640625,0.8930132389068604,0.02880859375,400
8192,10,16,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5522829029924592,0.975,0.002536773681640625,0.8930132389068604,0.02880859375,400
8192,10,17,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5506199741919182,0.975,0.0032033920288085938,0.9764645099639893,0.0272216796875,400
8192,10,17,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5506199741919182,0.975,0.0032033920288085938,0.9764645099639893,0.0272216796875,400
8192,10,18,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5448393806911246,0.925,0.0006690025329589844,0.7404532432556152,0.0299072265625,400
8192,10,18,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.5448393806911246,0.925,0.0006690025329589844,0.7404532432556152,0.0299072265625,400
8192,10,19,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5535538878229931,0.975,0.0006301403045654297,0.9011423587799072,0.0335693359375,400
8192,10,19,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5535538878229931,0.975,0.0006301403045654297,0.9011423587799072,0.0335693359375,400
8192,10,20,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5460066098341674,0.95,0.0007092952728271484,1.053905725479126,0.0330810546875,400
8192,10,20,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5460066098341674,0.95,0.0007092952728271484,1.053905725479126,0.0330810546875,400
8192,10,21,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5578854288638502,1.0,0.0014917850494384766,1.1501729488372803,0.03173828125,400
8192,10,21,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5578854288638502,1.0,0.0014917850494384766,1.1501729488372803,0.03173828125,400
8192,10,22,C,0.0,40,40,360,40,40,0,100.0,0.0,0.542178145412154,0.95,0.0007841587066650391,0.9276301860809326,0.0296630859375,400
8192,10,22,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.542178145412154,0.95,0.0007841587066650391,0.9276301860809326,0.0296630859375,400
8192,10,23,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5569861929988813,1.0,0.0005214214324951172,0.8548047542572021,0.032470703125,400
8192,10,23,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5569861929988813,1.0,0.0005214214324951172,0.8548047542572021,0.032470703125,400
8192,10,24,C,0.0,40,40,360,40,40,0,100.0,0.0,0.559109418225751,1.0,0.0006973743438720703,0.828948974609375,0.032958984375,400
8192,10,24,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.559109418225751,1.0,0.0006973743438720703,0.828948974609375,0.032958984375,400
8192,10,25,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5547390371249475,0.975,0.0005085468292236328,0.7227177619934082,0.0299072265625,400
8192,10,25,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5547390371249475,0.975,0.0005085468292236328,0.7227177619934082,0.0299072265625,400
8192,10,26,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5558158833532756,0.975,0.0008695125579833984,0.790069580078125,0.0318603515625,400
8192,10,26,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5558158833532756,0.975,0.0008695125579833984,0.790069580078125,0.0318603515625,400
8192,10,27,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5559948465029116,1.0,0.0008585453033447266,1.0595049858093262,0.0306396484375,400
8192,10,27,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5559948465029116,1.0,0.0008585453033447266,1.0595049858093262,0.0306396484375,400
8192,10,28,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5464106567005226,0.95,0.0005359649658203125,0.7284841537475586,0.0323486328125,400
8192,10,28,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5464106567005226,0.95,0.0005359649658203125,0.7284841537475586,0.0323486328125,400
8192,10,29,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5574757932980435,1.0,0.0005216598510742188,0.7350990772247314,0.0330810546875,400
8192,10,29,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5574757932980435,1.0,0.0005216598510742188,0.7350990772247314,0.0330810546875,400
8192,10,30,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5567045589910828,0.975,0.0006263256072998047,0.8218550682067871,0.03515625,400
8192,10,30,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5567045589910828,0.975,0.0006263256072998047,0.8218550682067871,0.03515625,400
8192,10,31,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5579799935918272,1.0,0.0003867149353027344,0.7243232727050781,0.032470703125,400
8192,10,31,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5579799935918272,1.0,0.0003867149353027344,0.7243232727050781,0.032470703125,400
8192,10,32,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5449118064633983,1.0,0.0005974769592285156,0.7185478210449219,0.0301513671875,400
8192,10,32,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5449118064633983,1.0,0.0005974769592285156,0.7185478210449219,0.0301513671875,400
8192,10,33,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5448068791247804,0.95,0.00043129920959472656,0.7190070152282715,0.032470703125,400
8192,10,33,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5448068791247804,0.95,0.00043129920959472656,0.7190070152282715,0.032470703125,400
8192,10,34,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5517335574489091,1.0,0.0004913806915283203,0.6848461627960205,0.0338134765625,400
8192,10,34,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5517335574489091,1.0,0.0004913806915283203,0.6848461627960205,0.0338134765625,400
8192,10,35,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5551114441332112,0.975,0.002874612808227539,0.7329459190368652,0.03125,400
8192,10,35,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5551114441332112,0.975,0.002874612808227539,0.7329459190368652,0.03125,400
8192,10,36,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5438564587093899,0.95,0.0005414485931396484,1.0356805324554443,0.0291748046875,400
8192,10,36,Q,0.0,40,40,360,38,38,0,95.0,0.0,0.5438564587093899,0.95,0.0005414485931396484,1.0356805324554443,0.0291748046875,400
8192,10,37,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5557581672643659,1.0,0.006460428237915039,1.4841527938842773,0.0347900390625,400
8192,10,37,Q,0.0,40,40,360,40,40,0,100.0,0.0,0.5557581672643659,1.0,0.006460428237915039,1.4841527938842773,0.0347900390625,400
8192,10,38,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5425309899148093,0.925,0.00042128562927246094,0.7675657272338867,0.031982421875,400
8192,10,38,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.5425309899148093,0.925,0.00042128562927246094,0.7675657272338867,0.031982421875,400
8192,10,39,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5442192831590292,0.925,0.0006780624389648438,0.8237199783325195,0.031494140625,400
8192,10,39,Q,0.0,40,40,360,37,37,0,92.5,0.0,0.5442192831590292,0.925,0.0006780624389648438,0.8237199783325195,0.031494140625,400
8192,10,40,C,0.0,40,40,360,40,40,0,100.0,0.0,0.5472252495390013,0.975,0.001794576644897461,1.01047945022583,0.03125,400
8192,10,40,Q,0.0,40,40,360,39,39,0,97.5,0.0,0.5472252495390013,0.975,0.001794576644897461,1.01047945022583,0.03125,400
