event,n_hits,n_seg,n_true,n_active,eff,n_iso,fp_iso,far_iso,n_pair,fp_pair,far_pair,n_chain,fp_chain,far_chain,n_hub,fp_hub,far_hub,far,pur
velo_event_0.json,2090,84678,1521,1424,0.8875739644970414,82762,0,0.0,321,0,0.0,47,47,0.03300561797752809,27,27,0.018960674157303372,0.05196629213483146,0.9480337078651685
velo_event_1.json,1156,26821,838,744,0.8711217183770883,25939,0,0.0,30,0,0.0,3,3,0.004032258064516129,11,11,0.01478494623655914,0.01881720430107527,0.9811827956989247
velo_event_10.json,3348,210851,2481,2308,0.8653768641676743,207341,0,0.0,868,0,0.0,77,77,0.033362218370883885,84,84,0.036395147313691506,0.06975736568457538,0.9302426343154246
velo_event_100.json,2265,97691,1674,1515,0.8626045400238949,95545,0,0.0,401,0,0.0,38,38,0.025082508250825083,33,33,0.02178217821782178,0.04686468646864687,0.9531353135313532
velo_event_101.json,2210,94159,1633,1452,0.8665033680342927,92236,0,0.0,253,0,0.0,19,19,0.013085399449035813,18,18,0.012396694214876033,0.025482093663911846,0.9745179063360881
velo_event_102.json,3130,185548,2322,2232,0.8746770025839793,182221,0,0.0,804,0,0.0,105,105,0.04704301075268817,96,96,0.043010752688172046,0.09005376344086022,0.9099462365591398
velo_event_103.json,2571,132722,1897,1788,0.882445967316816,130046,0,0.0,665,0,0.0,75,75,0.04194630872483222,39,39,0.02181208053691275,0.06375838926174497,0.9362416107382551
velo_event_104.json,2930,160141,2116,2042,0.8719281663516069,157098,0,0.0,730,0,0.0,117,117,0.05729676787463271,80,80,0.039177277179236046,0.09647404505386875,0.9035259549461312
velo_event_105.json,2349,107844,1680,1559,0.8517857142857143,105584,0,0.0,452,0,0.0,58,58,0.03720333547145606,70,70,0.04490057729313662,0.08210391276459268,0.9178960872354073
velo_event_106.json,1369,36388,982,882,0.8706720977596741,35317,0,0.0,62,0,0.0,9,9,0.01020408163265306,18,18,0.02040816326530612,0.030612244897959183,0.9693877551020408
velo_event_107.json,1638,52147,1205,1065,0.84149377593361,50739,0,0.0,152,0,0.0,20,20,0.018779342723004695,31,31,0.02910798122065728,0.04788732394366197,0.952112676056338
velo_event_108.json,2406,110140,1684,1490,0.833729216152019,108010,0,0.0,360,0,0.0,57,57,0.03825503355704698,29,29,0.019463087248322148,0.05771812080536913,0.9422818791946309
velo_event_109.json,2784,143996,2002,1817,0.8666333666333667,141392,0,0.0,520,0,0.0,52,52,0.028618602091359385,30,30,0.01651073197578426,0.045129334067143645,0.9548706659328563
velo_event_11.json,878,15706,621,551,0.8631239935587761,15039,0,0.0,31,0,0.0,10,10,0.018148820326678767,5,5,0.009074410163339383,0.02722323049001815,0.9727767695099818
velo_event_110.json,1789,61970,1273,1098,0.8303220738413197,60481,0,0.0,175,0,0.0,24,24,0.02185792349726776,17,17,0.015482695810564663,0.037340619307832425,0.9626593806921676
velo_event_111.json,1134,24364,811,735,0.8840937114673243,23490,0,0.0,45,0,0.0,4,4,0.005442176870748299,14,14,0.01904761904761905,0.024489795918367346,0.9755102040816327
velo_event_112.json,846,14251,624,554,0.8653846153846154,13596,0,0.0,17,0,0.0,10,10,0.018050541516245487,4,4,0.007220216606498195,0.02527075812274368,0.9747292418772563
velo_event_113.json,2429,111719,1740,1598,0.8764367816091954,109512,0,0.0,394,0,0.0,37,37,0.023153942428035045,36,36,0.02252816020025031,0.045682102628285357,0.9543178973717147
velo_event_114.json,4132,326971,2989,2694,0.8564737370357979,322503,0,0.0,1345,0,0.0,92,92,0.03414996288047513,42,42,0.015590200445434299,0.04974016332590943,0.9502598366740905
velo_event_115.json,2728,142696,1961,1890,0.8827129015808262,139956,0,0.0,620,0,0.0,111,111,0.05873015873015873,48,48,0.025396825396825397,0.08412698412698413,0.9158730158730158
velo_event_116.json,1877,65711,1329,1245,0.8607975921745673,64112,0,0.0,169,0,0.0,53,53,0.04257028112449799,48,48,0.03855421686746988,0.08112449799196787,0.9188755020080321
velo_event_117.json,1266,32009,908,777,0.8414096916299559,31036,0,0.0,52,0,0.0,10,10,0.01287001287001287,3,3,0.003861003861003861,0.01673101673101673,0.9832689832689833
velo_event_118.json,1450,40148,1030,933,0.8718446601941747,39024,0,0.0,59,0,0.0,16,16,0.01714898177920686,19,19,0.020364415862808145,0.03751339764201501,0.962486602357985
velo_event_119.json,2923,161310,2100,1964,0.8480952380952381,158117,0,0.0,910,0,0.0,100,100,0.05091649694501019,83,83,0.04226069246435845,0.09317718940936863,0.9068228105906314
velo_event_12.json,3020,174583,2170,1957,0.8276497695852535,171615,0,0.0,637,0,0.0,86,86,0.04394481349003577,75,75,0.03832396525293817,0.08226877874297393,0.9177312212570261
velo_event_120.json,2985,166106,2138,1941,0.8456501403180543,163233,0,0.0,602,0,0.0,76,76,0.03915507470376095,57,57,0.02936630602782071,0.06852138073158166,0.9314786192684184
velo_event_121.json,2731,144463,1955,1748,0.8439897698209718,141767,0,0.0,643,0,0.0,69,69,0.039473684210526314,29,29,0.016590389016018305,0.05606407322654462,0.9439359267734554
velo_event_122.json,3043,179011,2257,2151,0.8825875055383252,175761,0,0.0,834,0,0.0,90,90,0.04184100418410042,69,69,0.03207810320781032,0.07391910739191074,0.9260808926080892
velo_event_123.json,2547,122614,1840,1707,0.8652173913043478,120058,0,0.0,601,0,0.0,71,71,0.04159343878148799,44,44,0.025776215582893967,0.06736965436438196,0.9326303456356181
velo_event_124.json,1790,60418,1302,1247,0.9185867895545314,58942,0,0.0,123,0,0.0,25,25,0.020048115477145148,26,26,0.020850040096230954,0.0408981555733761,0.9591018444266239
velo_event_125.json,2050,86145,1569,1503,0.8903760356915232,84126,0,0.0,344,0,0.0,51,51,0.033932135728542916,55,55,0.036593479707252165,0.07052561543579508,0.929474384564205
velo_event_126.json,1175,28099,832,760,0.8930288461538461,27198,0,0.0,52,0,0.0,6,6,0.007894736842105263,11,11,0.014473684210526316,0.02236842105263158,0.9776315789473684
velo_event_127.json,2265,101128,1610,1512,0.8565217391304348,98953,0,0.0,432,0,0.0,98,98,0.06481481481481481,35,35,0.023148148148148147,0.08796296296296297,0.912037037037037
velo_event_128.json,3898,284383,2799,2661,0.8767416934619507,280046,0,0.0,1331,0,0.0,128,128,0.048102217211574594,79,79,0.029688087185268695,0.0777903043968433,0.9222096956031567
velo_event_129.json,1243,31169,889,810,0.8931383577052868,30175,0,0.0,89,0,0.0,12,12,0.014814814814814815,4,4,0.0049382716049382715,0.019753086419753086,0.980246913580247
velo_event_13.json,2020,78133,1502,1380,0.892809587217044,76413,0,0.0,179,0,0.0,19,19,0.013768115942028985,20,20,0.014492753623188406,0.02826086956521739,0.9717391304347827
velo_event_130.json,2799,152320,2063,1925,0.8739699466795928,149559,0,0.0,576,0,0.0,75,75,0.03896103896103896,47,47,0.024415584415584415,0.06337662337662338,0.9366233766233766
velo_event_131.json,1690,53212,1223,1104,0.8544562551103843,51806,0,0.0,124,0,0.0,22,22,0.019927536231884056,37,37,0.03351449275362319,0.05344202898550725,0.9465579710144928
velo_event_132.json,3953,292603,2838,2706,0.8604651162790697,288021,0,0.0,1480,0,0.0,185,185,0.06836659275683665,79,79,0.029194382852919438,0.0975609756097561,0.9024390243902439
velo_event_133.json,3062,184191,2279,2155,0.8854760860026327,180881,0,0.0,894,0,0.0,87,87,0.04037122969837587,50,50,0.02320185614849188,0.06357308584686774,0.9364269141531323
velo_event_134.json,2813,148561,2108,1996,0.8823529411764706,145664,0,0.0,653,0,0.0,58,58,0.02905811623246493,78,78,0.03907815631262525,0.06813627254509018,0.9318637274549099
velo_event_135.json,2090,90880,1507,1450,0.8964830789648308,88893,0,0.0,381,0,0.0,46,46,0.031724137931034485,53,53,0.036551724137931035,0.06827586206896552,0.9317241379310345
