solver,gamma,hit_ineff,n_trk,eff_fix_pct,far_fix_pct,n_true,n_false_all,eff_wp_pct,eff_wp_sem,far_wp_pct,far_wp_sem
classical,1.0,0.0,10,100.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
classical,1.0,0.0,20,100.0,0.61,80.0,1520.0,100.0,0.0,0.0,0.0
classical,1.0,0.0,30,100.0,0.164,120.0,3480.0,100.0,0.0,0.0,0.0
classical,1.0,0.0,50,100.0,1.512,200.0,9800.0,100.0,0.0,0.197,0.115
classical,1.0,0.0,75,100.0,2.142,300.0,22200.0,100.0,0.0,0.0,0.0
classical,1.0,0.0,100,100.0,4.575,400.0,39600.0,100.0,0.0,0.069,0.039
classical,1.0,0.0,150,99.833,10.318,600.0,89400.0,99.917,0.083,1.322,1.274
classical,1.0,0.0,200,99.556,15.598,800.0,159200.0,99.785,0.095,1.099,0.788
classical,1.0,0.0,300,99.524,30.176,1200.0,358800.0,99.714,0.135,0.639,0.2
classical,1.0,0.0,400,99.66,43.459,1600.0,638400.0,99.792,0.098,0.812,0.157
classical,1.0,0.0,550,99.273,59.993,2200.0,1207800.0,99.636,0.0,3.223,0.0
classical,1.0,0.0,700,98.731,70.209,2800.0,1957200.0,99.438,0.081,4.448,0.216
classical,1.0,0.0,1000,98.516,82.773,4000.0,3996000.0,99.329,0.075,9.692,0.398
classical,1.0,0.01,10,99.737,0.0,39.1,351.9,100.0,0.0,4.5,4.5
classical,1.0,0.01,20,99.349,0.0,78.1,1484.2,100.0,0.0,23.751,9.437
classical,1.0,0.01,30,99.048,0.175,117.2,3399.0,100.0,0.0,38.667,15.786
classical,1.0,0.01,50,99.376,0.891,196.5,9630.6,100.0,0.0,41.473,11.363
classical,1.0,0.01,75,99.394,2.86,294.3,21782.9,99.622,0.12,23.753,14.171
classical,1.0,0.01,100,99.266,5.059,390.4,38645.5,99.758,0.063,33.066,9.907
classical,1.0,0.01,150,99.317,9.218,586.8,87436.9,99.617,0.1,20.355,11.289
classical,1.0,0.01,200,99.162,15.431,784.6,156145.2,99.564,0.086,36.261,11.219
classical,1.0,0.01,300,99.28,31.278,1172.3,350474.7,99.45,0.122,31.312,0.768
classical,1.0,0.01,400,98.957,43.464,1567.4,625433.8,99.446,0.072,43.432,0.573
classical,1.0,0.01,700,98.479,69.725,2744.7,1918632.3,99.209,0.073,61.318,8.258
classical,1.0,0.01,1000,98.051,82.641,3923.2,3919306.9,99.297,0.034,82.483,0.124
classical,2.0,0.0,10,100.0,0.0,40.0,360.0,100.0,0.0,0.0,0.0
classical,2.0,0.0,20,100.0,0.61,80.0,1520.0,100.0,0.0,0.0,0.0
classical,2.0,0.0,30,100.0,0.164,120.0,3480.0,100.0,0.0,0.0,0.0
classical,2.0,0.0,50,100.0,1.512,200.0,9800.0,100.0,0.0,0.197,0.115
classical,2.0,0.0,75,100.0,2.142,300.0,22200.0,100.0,0.0,0.0,0.0
classical,2.0,0.0,100,100.0,4.737,400.0,39600.0,100.0,0.0,0.173,0.08
classical,2.0,0.0,150,99.867,10.112,600.0,89400.0,100.0,0.0,0.346,0.169
classical,2.0,0.0,200,99.85,15.581,800.0,159200.0,100.0,0.0,0.648,0.143
classical,2.0,0.0,300,99.8,30.042,1200.0,358800.0,100.0,0.0,1.017,0.249
classical,2.0,0.0,400,99.925,42.994,1600.0,638400.0,100.0,0.0,1.481,0.115
classical,2.0,0.0,550,99.855,59.509,2200.0,1207800.0,100.0,0.0,2.921,0.467
classical,2.0,0.0,700,99.843,69.948,2800.0,1957200.0,100.0,0.0,4.92,0.203
classical,2.0,0.0,1000,99.841,82.573,4000.0,3996000.0,99.999,0.001,9.95,0.359
classical,2.0,0.01,10,99.737,0.0,39.1,351.9,100.0,0.0,4.5,4.5
classical,2.0,0.01,20,99.349,0.0,78.1,1484.2,100.0,0.0,23.751,9.437
classical,2.0,0.01,30,99.048,0.175,117.2,3399.0,100.0,0.0,38.667,15.786
classical,2.0,0.01,50,99.304,1.049,196.4,9622.0,100.0,0.0,44.299,11.144
classical,2.0,0.01,75,99.455,2.932,294.5,21795.0,99.66,0.113,21.736,12.834
classical,2.0,0.01,100,99.368,5.123,390.4,38645.5,99.758,0.063,33.089,9.904
classical,2.0,0.01,150,99.452,9.443,586.4,87385.8,99.693,0.094,27.208,12.025
classical,2.0,0.01,200,99.274,15.655,785.2,156259.0,99.529,0.056,21.168,6.157
classical,2.0,0.01,300,99.573,30.794,1172.9,350680.3,99.573,0.102,30.794,0.659
classical,2.0,0.01,400,99.333,43.696,1567.0,625261.8,99.441,0.053,41.71,2.033
classical,2.0,0.01,550,99.406,58.308,2157.0,1184304.6,99.48,0.12,58.303,0.533
