sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0005,50,sol_676f2b5bf67bf17d,ev_001a4985702d,hm_af8fc4d5852f,11.100394248962402,False
0.02,0.0001,1000,sol_217529b1c0cd7f54,ev_0027917a71bd,hm_979a58ab8892,2241.471923828125,True
0.0,0.0001,10,sol_89a4398a3835849c,ev_0092425c14a8,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,10,sol_000173a5717f3761,ev_0094a0003161,hm_979a58ab8892,0.4545454680919647,False
0.01,0.0003,1000,sol_d1e362a72516e092,ev_00b1e1d9d1ac,hm_3298667cddaa,12.551640510559082,False
0.05,0.0005,400,sol_dd90312ac52aff27,ev_00c243047990,hm_af8fc4d5852f,137.94271850585938,True
0.01,0.0003,700,sol_279aa85e6320bc2d,ev_00c4f61aa23c,hm_3298667cddaa,1.782954216003418,False
0.01,0.0005,50,sol_32f95dc074eee36a,ev_011888f4575d,hm_bd4d3751a16f,0.4545454680919647,False
0.02,0.0003,400,sol_c5a405afcbc97f34,ev_0184392417d3,hm_1602ff939866,2.0659258365631104,False
0.0,0.0003,200,sol_e27f0f7ca52cfd24,ev_018b70186449,hm_a0f8ed47a107,0.5669738054275513,False
0.05,0.0003,1000,sol_3dfe44ab97cc0272,ev_0197227207c0,hm_8c986396d3ec,908.919921875,True
0.02,0.0001,100,sol_656d848f56211826,ev_01a5515445c8,hm_979a58ab8892,0.566990852355957,False
0.02,0.0003,20,sol_ccd64038c7d8e97f,ev_01ab98d2fd37,hm_1602ff939866,0.4545454680919647,False
0.01,0.0003,1000,sol_c650b43805f3bf4d,ev_01eb74dd983c,hm_3298667cddaa,2.108435869216919,False
0.02,0.0001,200,sol_fc89e9f7b8391390,ev_020926eb287f,hm_979a58ab8892,1.5630338191986084,False
0.02,0.0003,100,sol_13fa259c96561992,ev_021760a9bbca,hm_1602ff939866,0.873317539691925,False
0.05,0.0003,200,sol_577367cf6cf8006e,ev_0249bf7f92d0,hm_8c986396d3ec,4.14640998840332,False
0.02,0.0005,50,sol_91aed766a8cf59ad,ev_0269eb55445c,hm_f442e5139114,0.6981934309005737,False
0.02,0.0003,200,sol_884bc79f119dfd71,ev_028760aff46e,hm_1602ff939866,1.5000059604644775,False
0.0,0.0005,100,sol_1f8e95385c6d7f17,ev_0299936d0630,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,10,sol_3d619cc3fdc12e7b,ev_02c74e141364,hm_f442e5139114,0.4545454680919647,False
0.0,0.0001,400,sol_eed1da275a024b4e,ev_02d9749d4aea,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,100,sol_ffc3f6dd1e4434c1,ev_02f4c1308f0c,hm_8c986396d3ec,1.5986244678497314,False
0.05,0.0001,100,sol_95297f6a9c0672eb,ev_036126970c3c,hm_9108b6e19b67,1.5685207843780518,False
0.02,0.0001,10,sol_b18f4f5d5b0afee4,ev_03800a8644f6,hm_979a58ab8892,0.4545454680919647,False
0.05,0.0003,50,sol_74e23cbaa74bfcad,ev_039e11c9b688,hm_8c986396d3ec,0.5670021772384644,False
0.01,0.0003,200,sol_9b6d0ec223f68f84,ev_03a0ddac5163,hm_3298667cddaa,0.6507044434547424,False
0.01,0.0005,50,sol_1f8ffd7cfae3d7b8,ev_03bca8a5501a,hm_bd4d3751a16f,0.6291784644126892,False
0.02,0.0005,200,sol_b9bdba704f8c5685,ev_040080b78827,hm_f442e5139114,0.7608369588851929,False
0.05,0.0001,400,sol_4ff4979cc3eafd87,ev_043aeeb5c41f,hm_9108b6e19b67,16.087806701660156,False
0.0,0.0001,100,sol_8f7bf1c5f1a86f7e,ev_0466dd3cefb4,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0003,20,sol_da7243c08d625985,ev_049995376442,hm_1602ff939866,0.4545454680919647,False
0.01,0.0003,20,sol_0ab9ac4e8fc4d5e4,ev_04da7e32f6e9,hm_3298667cddaa,0.4545454680919647,False
0.02,0.0001,50,sol_bc8631823b231cdf,ev_04f26e10ec3c,hm_979a58ab8892,0.5999724864959717,False
0.0,0.0001,200,sol_19cdf46eeaf2d386,ev_050262f38bfd,hm_a00ad2a2c52a,0.6000000238418579,False
0.01,0.0005,20,sol_8300186c3c439f20,ev_055d0af24149,hm_bd4d3751a16f,0.4545454680919647,False
0.0,0.0003,50,sol_59ce4e83ac52e6ce,ev_0583bf9687d9,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0001,200,sol_4294ce91978571ac,ev_06006c88e986,hm_9108b6e19b67,2.443570137023926,False
0.0,0.0003,100,sol_696ca17a24eac465,ev_061321dbe3aa,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0005,700,sol_46ec24020661af72,ev_062737cc902b,hm_af8fc4d5852f,2499.870361328125,True
0.02,0.0005,20,sol_725f49161120194b,ev_0636a9b55e0c,hm_f442e5139114,0.4545454680919647,False
0.0,0.0001,1000,sol_f8db198257590875,ev_06b9c78b082e,hm_a00ad2a2c52a,0.5641240477561951,False
0.02,0.0005,20,sol_678381842f31d80c,ev_0702d94df24e,hm_f442e5139114,0.4545454680919647,False
0.02,0.0001,50,sol_b30e663084e58765,ev_070977ed8f76,hm_979a58ab8892,0.4545454680919647,False
0.05,0.0005,400,sol_6616785fabb686f1,ev_075f9a0e04e0,hm_af8fc4d5852f,98.39740753173828,True
0.0,0.0005,10,sol_307e9676ee90bead,ev_07b1f5e33077,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0003,50,sol_146c59d438a10eaa,ev_07f766a52def,hm_8c986396d3ec,0.6983166933059692,False
0.0,0.0005,700,sol_31bc98df39f10e40,ev_0801a3e1aefb,hm_7a9cff01f511,0.760863721370697,False
0.02,0.0005,200,sol_d994d66565254ba7,ev_0805770fd268,hm_f442e5139114,1.168806552886963,False
0.0,0.0001,200,sol_362dcbbaf74f79ee,ev_080892fe92b2,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0003,700,sol_83b678406883e97f,ev_080aeb06ee6d,hm_a0f8ed47a107,0.5998616814613342,False
0.02,0.0005,1000,sol_0802660c2fb50d41,ev_086d203fcc57,hm_f442e5139114,611.8992919921875,True
0.0,0.0001,1000,sol_f5b49a79d6ce16e5,ev_0885f3b6c96b,hm_a00ad2a2c52a,0.5996344685554504,False
0.05,0.0005,700,sol_58c34d5eea66023d,ev_088956f3e0e2,hm_af8fc4d5852f,939.9102783203125,True
0.02,0.0005,700,sol_7138973e696329e8,ev_088d53543a36,hm_f442e5139114,71.40966796875,True
0.05,0.0001,50,sol_58ab6adaea99125e,ev_08ace153a924,hm_9108b6e19b67,1.107748031616211,False
0.0,0.0001,1000,sol_4e5eef9615bb2ebc,ev_08df0ece1b00,hm_a00ad2a2c52a,0.5641889572143555,False
0.05,0.0001,100,sol_4113bc80a7fb3477,ev_0902b7c1a9c9,hm_9108b6e19b67,1.9367687702178955,False
0.0,0.0005,10,sol_432c353eee660a9f,ev_09110ab4b5d0,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0005,50,sol_384bac337ebebda2,ev_09622ccf23a4,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,200,sol_421a42bb8162649e,ev_0983025a1098,hm_f442e5139114,1.4999979734420776,False
0.0,0.0005,10,sol_55c3dcdd10f2df99,ev_09ac28a5601c,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0005,20,sol_6202bc644d505c52,ev_09c423ce16b4,hm_af8fc4d5852f,0.6291883587837219,False
0.02,0.0005,700,sol_cb9b064d723b8976,ev_0a10ed697bd7,hm_f442e5139114,3.371096134185791,False
0.0,0.0005,400,sol_c111c11326ac2b3c,ev_0a3309654347,hm_7a9cff01f511,0.760825514793396,False
0.05,0.0001,1000,sol_f7438411a9a2453c,ev_0a61473ab8d7,hm_9108b6e19b67,935.3512573242188,True
0.05,0.0001,20,sol_44aee4eac2aa63fc,ev_0a6d760e6856,hm_9108b6e19b67,0.5670102834701538,False
0.02,0.0003,50,sol_529653ac21f1e82c,ev_0a774e0ebf49,hm_1602ff939866,0.5669788122177124,False
0.05,0.0001,1000,sol_beb8b32c2bdc9777,ev_0ac991230568,hm_9108b6e19b67,1063.6778564453125,True
0.0,0.0001,50,sol_f8d72bb94ec48bcb,ev_0ad1113fd0dc,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0003,400,sol_a3a207d1a89580c9,ev_0ae09f7dc889,hm_a0f8ed47a107,0.5669482350349426,False
0.05,0.0005,200,sol_f8faae686f701c7e,ev_0aefa53f0e0e,hm_af8fc4d5852f,2.108469009399414,False
0.02,0.0005,1000,sol_853344e058a0d22a,ev_0b01ef3268a5,hm_f442e5139114,518.5,True
0.02,0.0005,20,sol_5e1900c9a6cb6afc,ev_0b750062d36e,hm_f442e5139114,0.4545454680919647,False
0.0,0.0005,700,sol_e57ab204c9937a4e,ev_0b8f3d9f99a3,hm_7a9cff01f511,1.1918495893478394,False
0.05,0.0005,1000,sol_fb1d34858284870e,ev_0ba3f512164b,hm_af8fc4d5852f,694.0977172851562,True
0.05,0.0003,700,sol_237ef6305251e24c,ev_0bb8e02d5447,hm_8c986396d3ec,407.7001953125,True
0.0,0.0001,200,sol_0eeb4d67cccd8b30,ev_0bcfa4a4dbcb,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,700,sol_787423cb5eb74f2a,ev_0c2cfca28b27,hm_3298667cddaa,1.1418229341506958,False
0.0,0.0005,20,sol_10af53edf5c8b471,ev_0c681d9dc16c,hm_7a9cff01f511,0.4545454680919647,False
