hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.02,0.0001,700,sol_f0d0b56b35cc2012,ev_000ed2022ced,hm_a00ad2a2c52a,0.5668971538543701,False
0.02,0.0007,100,sol_99ba17f267c63e5d,ev_0028d66ae806,hm_b46918a75620,0.4545454680919647,False
0.02,0.0003,400,sol_8604793ba5c6155c,ev_002c1b36b8a3,hm_a0f8ed47a107,0.5669028759002686,False
0.05,0.0007,10,sol_1d408805861c94b4,ev_0032ca57685e,hm_b46918a75620,0.4545454680919647,False
0.1,0.0005,100,sol_1cf84f7e656d5738,ev_0036cba97bda,hm_7a9cff01f511,0.5669273734092712,False
0.05,0.0007,10,sol_2fb9907b2ac28c91,ev_0048884f3b64,hm_b46918a75620,0.4545454680919647,False
0.02,0.0003,10,sol_e6f6bd51d8d0a015,ev_0052c194d3b7,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.001,200,sol_7d4f3014bf39956a,ev_006c920eaa8e,hm_8de6b26636d5,1.397213101387024,False
0.1,0.0005,1000,sol_fba6c8fbfef2e978,ev_006e3ffd2940,hm_7a9cff01f511,0.9933283925056458,False
0.01,0.0007,100,sol_10ee5ec5697b3432,ev_00788f33120a,hm_b46918a75620,0.5669863820075989,False
0.05,0.0001,50,sol_37b002cbdf19e0d2,ev_0079e1c80142,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,10,sol_1ca3ba1bc970daa4,ev_007f3c31eff3,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,20,sol_bc9fc036de02e3f8,ev_0083cf48771b,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0005,50,sol_e1678f0fb4733309,ev_0088b8091917,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0001,10,sol_89a4398a3835849c,ev_0092425c14a8,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0005,700,sol_1fb255bc4b33d7c1,ev_00d5ceced93d,hm_7a9cff01f511,1.6593517065048218,False
0.01,0.0001,700,sol_0f4b4a077ee88443,ev_00f7f136cb78,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0005,700,sol_29d7c23512f4d8db,ev_0101e8cca82d,hm_7a9cff01f511,0.8737397193908691,False
0.02,0.0005,700,sol_7e04619d5afbd4ad,ev_01116faf8050,hm_7a9cff01f511,0.9524341821670532,False
0.1,0.0007,400,sol_5069499496b4a057,ev_01127494574d,hm_b46918a75620,0.7575483918190002,False
0.05,0.0001,10,sol_346d72bcd294ef9e,ev_0120b51b5cc9,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0007,1000,sol_13495f2d7997129b,ev_0144094a3285,hm_b46918a75620,1.6080611944198608,False
0.1,0.0001,200,sol_c65ae7bb11dfd2bb,ev_014447f308d1,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.001,20,sol_610ebb7eaee3d3c2,ev_0147b60ee21e,hm_8de6b26636d5,0.4545454680919647,False
0.05,0.001,50,sol_7a5bde2b41ed99b7,ev_015e682d06e3,hm_8de6b26636d5,0.566979706287384,False
0.05,0.001,50,sol_49293b3548f3c484,ev_016210ff9e29,hm_8de6b26636d5,0.5669917464256287,False
0.01,0.0005,1000,sol_4f9dd06df4fe6ded,ev_0164f0014f73,hm_7a9cff01f511,0.8027675747871399,False
0.1,0.0001,50,sol_0abb2a3eccceb7bd,ev_016d14ef46c2,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0005,400,sol_d9c47e8670c65891,ev_017b9d08b9c2,hm_7a9cff01f511,1.4999864101409912,False
0.0,0.0003,200,sol_e27f0f7ca52cfd24,ev_018b70186449,hm_a0f8ed47a107,0.5669738054275513,False
0.05,0.0007,700,sol_baa1c08eb433b2a8,ev_018c10c1d7d1,hm_b46918a75620,0.7352400422096252,False
0.05,0.001,200,sol_9e5928430cdb5151,ev_018fdaa66c5f,hm_8de6b26636d5,1.4999945163726807,False
0.05,0.0001,1000,sol_0a63bb6b824aa1cd,ev_01a929baf8c6,hm_a00ad2a2c52a,0.5640345215797424,False
0.0,0.0007,50,sol_152374005da301c4,ev_01b2e6eb671a,hm_b46918a75620,0.4545454680919647,False
0.01,0.0005,10,sol_db54b9043652c027,ev_01c0294934fa,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0007,200,sol_05e9b676fa4ce7d7,ev_01e399cff893,hm_b46918a75620,0.566959798336029,False
0.05,0.0007,100,sol_954377f04322a98f,ev_021bef33fbee,hm_b46918a75620,0.4545454680919647,False
0.1,0.0003,200,sol_843473844c2dec64,ev_022d4a1edbce,hm_a0f8ed47a107,0.5669357180595398,False
0.01,0.0007,1000,sol_3ff4e6aa2679f0d9,ev_0263186a61a9,hm_b46918a75620,2.4144909381866455,False
0.05,0.0007,100,sol_6427a1b2f5efe6e8,ev_0264b1fea72e,hm_b46918a75620,0.5999271273612976,False
0.05,0.001,200,sol_17db3bb4bb87cfe2,ev_027de4326db0,hm_8de6b26636d5,1.461474895477295,False
0.05,0.001,1000,sol_6d4cd636bb619965,ev_0286342de520,hm_8de6b26636d5,2.194190740585327,False
0.0,0.001,100,sol_772f21d8299d0ded,ev_028e025d359c,hm_8de6b26636d5,0.5669956207275391,False
0.02,0.0003,100,sol_4c7bee254258b7bb,ev_02921c700ec4,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0005,100,sol_1f8e95385c6d7f17,ev_0299936d0630,hm_7a9cff01f511,0.4545454680919647,False
0.1,0.001,50,sol_ebaf2bb6cb9bc1bd,ev_02b8f7561a42,hm_8de6b26636d5,0.4545454680919647,False
0.05,0.0003,1000,sol_c726f5a390f0d805,ev_02bc4f48822e,hm_a0f8ed47a107,0.5991232991218567,False
0.0,0.001,1000,sol_6b824cc782640f01,ev_02caa10dc6ec,hm_8de6b26636d5,2.356661558151245,False
0.0,0.0001,400,sol_eed1da275a024b4e,ev_02d9749d4aea,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0007,700,sol_2014d119932d1b63,ev_02f175009d40,hm_b46918a75620,1.0503078699111938,False
0.05,0.0007,10,sol_1d7d1f6b78422f21,ev_02f4916f4b90,hm_b46918a75620,0.4545454680919647,False
