gamma,a00,lam_min,lam_max,n_at_notch,w_mean,w_min,cos,P_anc,eff_C,eff_Q,pur_C,pur_Q
0.05,1.05,-0.5680339887498953,2.668033988749895,8,0.2682967978228349,3.749399456654644e-33,-0.5236882124472425,0.24863486671890955,0.0,0.75,0.0,1.0
0.1,1.1,-0.5180339887498951,2.7180339887498963,8,0.2855315291103913,3.749399456654644e-33,-0.6419415700356844,0.24533851841018858,0.0,1.0,0.0,1.0
0.2,1.2,-0.41803398874989495,2.818033988749895,8,0.3132207269386687,3.749399456654644e-33,-0.7923435297635286,0.23743988160477922,0.0,1.0,0.0,1.0
0.5,1.5,-0.11803398874989503,3.118033988749896,8,0.33708943771927546,3.749399456654644e-33,-0.9124363561419605,0.23437499999998848,0.0,1.0,0.0,1.0
1.0,2.0,0.3819660112501039,3.6180339887498953,8,0.2825882398714371,3.749399456654644e-33,0.9622504486493765,0.24999999999998668,1.0,1.0,0.5,1.0
2.0,3.0,1.3819660112501049,4.618033988749897,8,0.16568967781086458,3.749399456654644e-33,0.8876479891865091,0.20312499999998973,1.0,1.0,1.0,1.0
3.0,4.0,2.3819660112501047,5.618033988749897,8,0.1024996346137692,3.749399456654644e-33,0.8262149470443232,0.14330582617583293,1.0,0.75,1.0,1.0
5.0,6.0,4.381966011250105,7.618033988749895,8,0.0487275093998859,3.749399456654644e-33,0.7740468641521057,0.07506011839520464,0.0,0.25,0.0,1.0
10.0,11.0,9.381966011250102,12.618033988749895,8,0.015052934348600288,3.749399456654644e-33,0.7277817862709747,0.02450478998590052,0.0,0.0,0.0,0.0
50.0,51.0,49.3819660112501,52.6180339887499,8,0.0007109518960505279,3.749399456654644e-33,0.6829537374030503,0.001183621711284128,0.0,0.0,0.0,0.0
