n_trk,rep,n_true_clean,n_true_C,n_active_C,n_false_C,n_true_Q,n_active_Q,n_false_Q,n_true_total,n_false_total,success_prob,t_quantum,se_C,se_Q,fr_C,fr_Q
2,30000,8,8,8,0,6,6,0,8,8,0.143731,2.6070339679718018,100.0,75.0,0.0,0.0
2,30001,8,8,8,0,6,6,0,8,8,0.143113,2.5665671825408936,100.0,75.0,0.0,0.0
2,30002,8,8,8,0,6,6,0,8,8,0.142732,2.587028980255127,100.0,75.0,0.0,0.0
2,30003,8,8,8,0,6,6,0,8,8,0.143411,2.5456905364990234,100.0,75.0,0.0,0.0
2,30004,8,8,8,0,6,6,0,8,8,0.143731,2.601362705230713,100.0,75.0,0.0,0.0
2,30005,8,8,8,0,6,6,0,8,8,0.142899,2.6105828285217285,100.0,75.0,0.0,0.0
2,30006,8,8,8,0,6,6,0,8,8,0.143218,2.59255051612854,100.0,75.0,0.0,0.0
2,30007,8,8,8,0,6,6,0,8,8,0.143387,4.684094667434692,100.0,75.0,0.0,0.0
2,30008,8,8,8,0,6,6,0,8,8,0.143606,2.5699758529663086,100.0,75.0,0.0,0.0
2,30009,8,8,8,0,6,6,0,8,8,0.143712,3.700793504714966,100.0,75.0,0.0,0.0
2,30010,8,7,7,0,5,5,0,7,7,0.120468,2.6963589191436768,87.5,62.5,0.0,0.0
2,30011,8,8,8,0,6,6,0,8,8,0.143287,2.6275370121002197,100.0,75.0,0.0,0.0
2,30012,8,8,8,0,6,6,0,8,8,0.143191,2.606541395187378,100.0,75.0,0.0,0.0
2,30013,8,8,8,0,6,6,0,8,8,0.143457,2.577770709991455,100.0,75.0,0.0,0.0
2,30014,8,8,8,0,6,6,0,8,8,0.142993,2.5695395469665527,100.0,75.0,0.0,0.0
2,30015,8,8,8,0,6,6,0,8,8,0.142959,2.566530466079712,100.0,75.0,0.0,0.0
2,30016,8,8,8,0,6,6,0,8,8,0.143351,3.7837047576904297,100.0,75.0,0.0,0.0
2,30017,8,8,8,0,6,6,0,8,8,0.143017,4.06975245475769,100.0,75.0,0.0,0.0
