gamma,n_trk,n_reps,n_seg_mean,eff_C_mean,eff_C_std,eff_Q_mean,eff_Q_std,pur_C_mean,pur_C_std,pur_Q_mean,pur_Q_std,cos_mean,cos_std,P_anc_mean,P_anc_std,t_q_mean
1.0,2,5,16.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9622504486493766,0.0,0.24999999999998668,0.0,0.07257437705993652
1.0,3,5,36.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.9449111825230686,0.0,0.09374999999999603,0.0,0.16712064743041993
1.0,4,5,64.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.9284766908852603,1.2412670766236366e-16,0.12499999999999316,0.0,0.23978767395019532
1.0,5,5,100.0,1.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,0.9128709291752788,9.614813431917819e-17,0.07812499999997455,0.0,0.366037654876709
1.0,6,5,144.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.8980265101338786,5.551115123125783e-17,0.046874999999967235,0.0,0.5639276027679443
1.0,8,5,256.0,1.0,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.8703882797784963,0.0,0.06249999999994281,0.0,0.713236141204834
1.0,10,5,400.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9951219512195122,0.01090764867073069,0.8413000886772641,0.008618177287192004,0.039453124999947145,0.0008734640537088732,1.1612658977508545
1.0,15,3,900.0,1.0,0.0,1.0,0.0,0.06666666666666667,0.0,1.0,0.0,0.7905694150421073,3.8459253727671276e-16,0.029296874999934237,0.0,2.5977195103963218
1.0,20,3,1600.0,1.0,0.0,1.0,0.0,0.05000000000000001,0.0,1.0,0.0,0.7453559924999551,0.0,0.019531249999934695,0.0,4.461598555246989
1.0,25,3,2500.0,1.0,0.0,1.0,0.0,0.04,0.0,1.0,0.0,0.7071067811865769,0.0,0.012207031249943386,0.0,19.413172086079914
1.0,30,2,3600.0,1.0,0.0,1.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.674199862463307,0.0,0.014648437499919459,0.0,16.037440180778503
1.0,40,2,6400.0,1.0,0.0,1.0,0.0,0.025,0.0,0.9938271604938271,0.008729713347982107,0.6197051459362428,0.0006625972516769408,0.009826660156170623,8.631674574911378e-05,44.26215898990631
1.0,50,2,10000.0,1.0,0.0,1.0,0.0,0.02,0.0,0.9852455833818676,0.006863781607324344,0.5763362488871528,0.00046861197088500663,0.006195068359306593,4.315837287437627e-05,179.68249022960663
1.0,75,1,22500.0,1.0,,1.0,,0.013333333333333334,,0.974025974025974,,0.49852801344053277,,0.0046997070311653386,,1055.7765929698944
2.0,2,5,16.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8876479891865092,0.0,0.20312499999998973,0.0,0.052496910095214844
2.0,3,5,36.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8165173925216876,0.0,0.07617187499999695,0.0,0.1304780960083008
2.0,4,5,64.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.760136324605677,5.551115123125783e-17,0.10156249999999481,0.0,0.1728294849395752
2.0,5,5,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7140237465063942,0.0,0.06347656249997981,0.0,0.3410773754119873
2.0,6,5,144.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6753988482361472,0.0,0.038085937499973785,0.0,0.5597517490386963
2.0,8,5,256.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.613865460397074,0.0,0.05078124999995402,0.0,0.6773463249206543
2.0,10,5,400.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.566572164661726,0.0,0.03173828124995843,0.0,1.073734712600708
2.0,15,3,900.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4839898502335382,1.0385185452638061e-16,0.023803710937447164,0.0,2.7216316858927407
2.0,20,3,1600.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4294258532034454,2.3221980631040627e-16,0.015869140624947514,0.0,4.166776895523071
2.0,25,3,2500.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.38994170683954027,0.0,0.009918212890579325,0.0,18.602081060409546
2.0,30,2,3600.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.35966627317057626,1.5700924586837752e-16,0.011901855468685144,0.0,18.141913175582886
2.0,40,2,6400.0,1.0,0.0,1.0,0.0,0.9938271604938271,0.008729713347982107,0.9938271604938271,0.008729713347982107,0.31610830269393975,0.0006772294523667049,0.007965087890561186,4.315837287444404e-05,59.06923270225525
2.0,50,2,10000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2846067705268595,3.1401849173675503e-16,0.004959106445258541,0.0,254.61297988891602
2.0,75,1,22500.0,1.0,,1.0,,0.9803921568627451,,0.9803921568627451,,0.236126131941772,,0.003765106201104689,,1077.1108675003052
