n_trk,eff_C_m,fr_C_m,eff_Q_m,fr_Q_m,n_act_C_m,n_tact_C_m,n_fact_C_m,n_act_Q_m,n_tact_Q_m,n_fact_Q_m,n_true_all_m,n_false_all_m,eff_C_e,fr_C_e,eff_Q_e,fr_Q_e,n_act_C_e,n_tact_C_e,n_fact_C_e,n_act_Q_e,n_tact_Q_e,n_fact_Q_e,n_true_all_e,n_false_all_e,n_reps
10,99.36842105263159,21.6,100.0,0.0,125.0,39.32,85.68,39.56,39.56,0.0,39.56,356.04,0.24433198209431425,5.491068815330388,0.0,0.0,21.81609591142115,0.1947054289988665,21.786298633849334,0.11835608672690276,0.11835608672690276,0.0,0.11835608672690276,1.0652047805421245,50
20,99.58841158841159,22.8,99.64035964035963,0.04878048780487805,442.5,79.22,363.28,79.3,79.26,0.04,79.54,1511.26,0.13472645185741744,5.796128193959855,0.1273388098243095,0.048780487804878044,92.3936443171503,0.22549718311286449,92.35696073344101,0.219925775976295,0.2134459736642258,0.04,0.128444381674223,2.4404432518102364,50
30,98.99756663294713,0.0,99.61168133881776,0.0819672131147541,117.45,117.45,0.0,118.25,118.15,0.1,118.6,3439.5,0.3984729613543023,0.0,0.2212531651766271,0.08196721311475409,0.9746119335677311,0.9746119335677311,0.0,0.7066414262291434,0.685469489512576,0.09999999999999999,0.5251566182427967,15.18369970863838,20
50,99.56446749823779,23.715916173635033,99.79142037715792,0.6664772898986581,2516.04,196.64,2319.4,198.44,197.08,1.36,197.48,9677.52,0.13666101343389273,5.964212707242102,0.07140076652910093,0.15280359990096365,589.6744539150394,0.6747698020171662,589.6263444949259,0.746234082659355,0.5840324285097707,0.31527118226591366,0.4791489053200348,23.21787207462108,50
75,99.29865536472404,0.0,100.0,2.2692239490100925,295.2,295.2,0.0,304.2,297.25,6.95,297.25,21997.5,0.238529850429174,0.0,0.0,0.2884576346958588,1.4736278184699216,1.4736278184699216,0.0,1.1800981225929341,0.7976115661939185,0.8987564508223218,0.7976115661939185,58.61446291793429,20
100,99.63404196935929,30.43349982037882,99.92306427749466,2.657977280249404,12134.475,394.075,11740.4,406.275,395.2,11.075,395.5,39157.225,0.12936246751129915,7.192515259295308,0.029329290178274712,0.38370168750607536,2871.16702797801,1.208616235671276,2871.0439242770567,2.064966473931608,0.9297090804972136,1.616972281448992,0.8755950357709131,85.89978871873362,40
150,99.41938316947031,0.1813301911495156,100.0,9.62028622741877,591.4,590.3,1.1,657.2,593.7,63.5,593.7,88466.4,0.25961697247906335,0.13540122199561663,0.0,0.6202423076550694,4.099322437238188,3.708998067762595,0.8225975119502045,5.575342540548018,2.3144473782453265,4.536885862938733,2.3144473782453265,342.6179667079808,10
200,99.80475900949287,32.27285184729169,99.9620253164557,13.456535273138291,48105.85,790.85,47315.0,8682.325,792.075,7890.25,792.375,157689.05,0.09004426212059713,7.091218363365079,0.03797468354430363,3.353583783787229,11566.569651179077,1.7583318143145705,11566.387595096405,5449.000800474681,1.3574993507105213,5449.260343097856,1.3100633670326887,259.43986989231934,40
400,99.85961321583585,41.40730224019062,100.0,28.296930363271418,212239.38888888888,1579.9722222222222,210659.41666666666,54724.694444444445,1582.1666666666667,53142.52777777778,1582.1666666666667,631325.5,0.08024545496064693,7.418013942577787,0.0,4.900341680976433,50283.655802733185,3.689858712637109,50283.36756228415,29463.688569120568,3.1082327955143767,29463.47685047085,3.1082327955143767,1232.651388364973,36
700,99.93999791297088,46.96597433494014,100.0,60.71360949283005,556812.1428571428,2765.5,554046.6428571428,145764.9642857143,2767.1428571428573,142997.82142857142,2767.1428571428573,1934339.6785714286,0.06000208702911384,7.925798380603153,0.0,4.8793371148462485,167998.64503167302,6.835655819026472,167998.42838359444,95692.26189115393,6.362446512433937,95692.14221706027,6.362446512433937,4425.639029293062,28
1000,99.92220378474384,54.70049277158092,100.0,68.53735090686924,1137565.8214285714,3953.6071428571427,1133612.2142857143,19011.25,3956.6428571428573,15054.607142857143,3956.6428571428573,3952814.4285714286,0.07687546736148836,7.438469531291074,0.0,5.224580914442705,343071.308308908,9.659458079286205,343070.96763781685,1437.1643032227287,8.488899425383163,1436.3467735222,8.488899425383163,8446.164771521722,28
