phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.0,0.0,0.0004247940677551889,0,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,1,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,2,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,3,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.0,0.0,0.0004247940677551889,4,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,5,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,6,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,7,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,8,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551889,9,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,0,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,1,30,2970,30,3,1.0,0.09090909090909091
0.02,10,0.005,0.005,0.0016308858027061653,2,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,3,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,4,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,5,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,6,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.005,0.005,0.0016308858027061653,7,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.005,0.005,0.0016308858027061653,8,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061653,9,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293387,0,30,2970,30,3,1.0,0.09090909090909091
0.02,10,0.01,0.01,0.0031777035588293387,1,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.01,0.01,0.0031777035588293387,2,30,2970,30,6,1.0,0.16666666666666666
0.02,10,0.01,0.01,0.0031777035588293387,3,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293387,4,30,2970,30,9,1.0,0.23076923076923078
0.02,10,0.01,0.01,0.0031777035588293387,5,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293387,6,30,2970,30,1,1.0,0.03225806451612903
0.02,10,0.01,0.01,0.0031777035588293387,7,30,2970,30,5,1.0,0.14285714285714285
0.02,10,0.01,0.01,0.0031777035588293387,8,30,2970,30,3,1.0,0.09090909090909091
0.02,10,0.01,0.01,0.0031777035588293387,9,30,2970,30,9,1.0,0.23076923076923078
0.02,10,0.015,0.015,0.0047428337441630134,0,30,2970,30,23,1.0,0.4339622641509434
0.02,10,0.015,0.015,0.0047428337441630134,1,30,2970,30,13,1.0,0.3023255813953488
0.02,10,0.015,0.015,0.0047428337441630134,2,30,2970,30,13,1.0,0.3023255813953488
0.02,10,0.015,0.015,0.0047428337441630134,3,30,2970,30,36,1.0,0.5454545454545454
0.02,10,0.015,0.015,0.0047428337441630134,4,30,2970,30,14,1.0,0.3181818181818182
0.02,10,0.015,0.015,0.0047428337441630134,5,30,2970,30,7,1.0,0.1891891891891892
0.02,10,0.015,0.015,0.0047428337441630134,6,30,2970,30,8,1.0,0.21052631578947367
0.02,10,0.015,0.015,0.0047428337441630134,7,30,2970,30,8,1.0,0.21052631578947367
0.02,10,0.015,0.015,0.0047428337441630134,8,30,2970,30,28,1.0,0.4827586206896552
0.02,10,0.015,0.015,0.0047428337441630134,9,30,2970,30,31,1.0,0.5081967213114754
0.02,10,0.02,0.02,0.006312668537322595,0,30,2970,30,5,1.0,0.14285714285714285
0.02,10,0.02,0.02,0.006312668537322595,1,30,2970,30,11,1.0,0.2682926829268293
0.02,10,0.02,0.02,0.006312668537322595,2,30,2970,30,31,1.0,0.5081967213114754
0.02,10,0.02,0.02,0.006312668537322595,3,30,2970,30,6,1.0,0.16666666666666666
0.02,10,0.02,0.02,0.006312668537322595,4,30,2970,30,22,1.0,0.4230769230769231
