regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,5,0,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,1,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,2,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,3,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,4,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,5,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,6,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,7,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,8,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,9,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,10,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,11,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,12,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,13,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,14,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,15,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,16,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,17,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,18,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,5,19,2.121324586196087e-05,15,360,15,0,1.0,0.0
dense,0.02,10,0,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,1,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,2,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,3,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,4,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,5,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,6,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,7,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,8,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,9,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,10,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,11,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,12,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,13,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,14,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,15,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,16,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,17,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,18,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,10,19,2.121324586196087e-05,30,2970,30,0,1.0,0.0
dense,0.02,15,0,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,1,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,2,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,3,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,4,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,5,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,6,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,7,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,8,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,9,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,10,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,11,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,12,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,13,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,14,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,15,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,16,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,17,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,18,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,15,19,2.121324586196087e-05,45,10080,45,0,1.0,0.0
dense,0.02,20,0,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,1,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,2,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,3,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,4,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,5,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,6,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,7,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,8,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,9,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,10,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,11,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,12,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,13,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,14,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,15,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,16,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,17,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,18,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,20,19,2.121324586196087e-05,60,23940,60,0,1.0,0.0
dense,0.02,25,0,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,1,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,2,2.121324586196087e-05,75,46800,75,0,1.0,0.0
