n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
5,0,0.0004247940677551,15,360,15,0,1.0,0.0
5,1,0.0004247940677551,15,360,15,0,1.0,0.0
5,2,0.0004247940677551,15,360,15,0,1.0,0.0
5,3,0.0004247940677551,15,360,15,0,1.0,0.0
5,4,0.0004247940677551,15,360,15,0,1.0,0.0
10,0,0.0004247940677551,30,2970,30,0,1.0,0.0
10,1,0.0004247940677551,30,2970,30,0,1.0,0.0
10,2,0.0004247940677551,30,2970,30,0,1.0,0.0
10,3,0.0004247940677551,30,2970,30,0,1.0,0.0
10,4,0.0004247940677551,30,2970,30,0,1.0,0.0
15,0,0.0004247940677551,45,10080,45,0,1.0,0.0
15,1,0.0004247940677551,45,10080,45,0,1.0,0.0
15,2,0.0004247940677551,45,10080,45,0,1.0,0.0
15,3,0.0004247940677551,45,10080,45,0,1.0,0.0
15,4,0.0004247940677551,45,10080,45,0,1.0,0.0
20,0,0.0004247940677551,60,23940,60,0,1.0,0.0
20,1,0.0004247940677551,60,23940,60,0,1.0,0.0
20,2,0.0004247940677551,60,23940,60,0,1.0,0.0
20,3,0.0004247940677551,60,23940,60,0,1.0,0.0
20,4,0.0004247940677551,60,23940,60,0,1.0,0.0
25,0,0.0004247940677551,75,46800,75,0,1.0,0.0
25,1,0.0004247940677551,75,46800,75,0,1.0,0.0
25,2,0.0004247940677551,75,46800,75,0,1.0,0.0
25,3,0.0004247940677551,75,46800,75,0,1.0,0.0
25,4,0.0004247940677551,75,46800,75,0,1.0,0.0
30,0,0.0004247940677551,90,80910,90,0,1.0,0.0
30,1,0.0004247940677551,90,80910,90,0,1.0,0.0
30,2,0.0004247940677551,90,80910,90,0,1.0,0.0
30,3,0.0004247940677551,90,80910,90,0,1.0,0.0
30,4,0.0004247940677551,90,80910,90,0,1.0,0.0
35,0,0.0004247940677551,105,128520,105,0,1.0,0.0
35,1,0.0004247940677551,105,128520,105,0,1.0,0.0
35,2,0.0004247940677551,105,128520,105,0,1.0,0.0
35,3,0.0004247940677551,105,128520,105,0,1.0,0.0
35,4,0.0004247940677551,105,128520,105,0,1.0,0.0
40,0,0.0004247940677551,120,191880,120,0,1.0,0.0
40,1,0.0004247940677551,120,191880,120,0,1.0,0.0
40,2,0.0004247940677551,120,191880,120,0,1.0,0.0
40,3,0.0004247940677551,120,191880,120,0,1.0,0.0
40,4,0.0004247940677551,120,191880,120,0,1.0,0.0
45,0,0.0004247940677551,135,273240,135,0,1.0,0.0
45,1,0.0004247940677551,135,273240,135,0,1.0,0.0
45,2,0.0004247940677551,135,273240,135,0,1.0,0.0
45,3,0.0004247940677551,135,273240,135,0,1.0,0.0
45,4,0.0004247940677551,135,273240,135,0,1.0,0.0
50,0,0.0004247940677551,150,374850,150,0,1.0,0.0
50,1,0.0004247940677551,150,374850,150,0,1.0,0.0
50,2,0.0004247940677551,150,374850,150,0,1.0,0.0
50,3,0.0004247940677551,150,374850,150,1,1.0,0.0066225165562913
50,4,0.0004247940677551,150,374850,150,0,1.0,0.0
55,0,0.0004247940677551,165,498960,165,0,1.0,0.0
55,1,0.0004247940677551,165,498960,165,0,1.0,0.0
55,2,0.0004247940677551,165,498960,165,0,1.0,0.0
55,3,0.0004247940677551,165,498960,165,0,1.0,0.0
55,4,0.0004247940677551,165,498960,165,1,1.0,0.0060240963855421
60,0,0.0004247940677551,180,647820,180,0,1.0,0.0
60,1,0.0004247940677551,180,647820,180,0,1.0,0.0
60,2,0.0004247940677551,180,647820,180,0,1.0,0.0
60,3,0.0004247940677551,180,647820,180,0,1.0,0.0
60,4,0.0004247940677551,180,647820,180,0,1.0,0.0
65,0,0.0004247940677551,195,823680,195,0,1.0,0.0
65,1,0.0004247940677551,195,823680,195,0,1.0,0.0
65,2,0.0004247940677551,195,823680,195,0,1.0,0.0
65,3,0.0004247940677551,195,823680,195,0,1.0,0.0
65,4,0.0004247940677551,195,823680,195,0,1.0,0.0
70,0,0.0004247940677551,210,1028790,210,0,1.0,0.0
70,1,0.0004247940677551,210,1028790,210,0,1.0,0.0
70,2,0.0004247940677551,210,1028790,210,0,1.0,0.0
70,3,0.0004247940677551,210,1028790,210,0,1.0,0.0
70,4,0.0004247940677551,210,1028790,210,0,1.0,0.0
75,0,0.0004247940677551,225,1265400,225,0,1.0,0.0
75,1,0.0004247940677551,225,1265400,225,0,1.0,0.0
75,2,0.0004247940677551,225,1265400,225,0,1.0,0.0
75,3,0.0004247940677551,225,1265400,225,0,1.0,0.0
75,4,0.0004247940677551,225,1265400,225,1,1.0,0.0044247787610619
80,0,0.0004247940677551,240,1535760,240,0,1.0,0.0
80,1,0.0004247940677551,240,1535760,240,0,1.0,0.0
80,2,0.0004247940677551,240,1535760,240,0,1.0,0.0
80,3,0.0004247940677551,240,1535760,240,0,1.0,0.0
80,4,0.0004247940677551,240,1535760,240,0,1.0,0.0
85,0,0.0004247940677551,255,1842120,255,0,1.0,0.0
85,1,0.0004247940677551,255,1842120,255,1,1.0,0.00390625
85,2,0.0004247940677551,255,1842120,255,0,1.0,0.0
85,3,0.0004247940677551,255,1842120,255,0,1.0,0.0
85,4,0.0004247940677551,255,1842120,255,0,1.0,0.0
90,0,0.0004247940677551,270,2186730,270,1,1.0,0.003690036900369
90,1,0.0004247940677551,270,2186730,270,0,1.0,0.0
90,2,0.0004247940677551,270,2186730,270,0,1.0,0.0
90,3,0.0004247940677551,270,2186730,270,0,1.0,0.0
90,4,0.0004247940677551,270,2186730,269,0,0.9962962962962963,0.0
95,0,0.0004247940677551,285,2571840,285,2,1.0,0.0069686411149825
95,1,0.0004247940677551,285,2571840,285,0,1.0,0.0
95,2,0.0004247940677551,285,2571840,285,0,1.0,0.0
95,3,0.0004247940677551,285,2571840,285,1,1.0,0.0034965034965034
95,4,0.0004247940677551,285,2571840,285,0,1.0,0.0
100,0,0.0004247940677551,300,2999700,300,0,1.0,0.0
100,1,0.0004247940677551,300,2999700,300,0,1.0,0.0
100,2,0.0004247940677551,300,2999700,300,1,1.0,0.0033222591362126
100,3,0.0004247940677551,300,2999700,300,0,1.0,0.0
100,4,0.0004247940677551,300,2999700,300,1,1.0,0.0033222591362126
