phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.0,0.0,0.0004247940677551,0,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,1,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,2,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,3,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.0,0.0,0.0004247940677551,4,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,5,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,6,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,7,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,8,30,2970,30,0,1.0,0.0
0.02,10,0.0,0.0,0.0004247940677551,9,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,0,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,1,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.005,0.005,0.0016308858027061,2,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,3,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,4,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,5,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,6,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.005,0.005,0.0016308858027061,7,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.005,0.005,0.0016308858027061,8,30,2970,30,0,1.0,0.0
0.02,10,0.005,0.005,0.0016308858027061,9,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293,0,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.01,0.01,0.0031777035588293,1,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.01,0.01,0.0031777035588293,2,30,2970,30,6,1.0,0.1666666666666666
0.02,10,0.01,0.01,0.0031777035588293,3,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293,4,30,2970,30,9,1.0,0.2307692307692307
0.02,10,0.01,0.01,0.0031777035588293,5,30,2970,30,0,1.0,0.0
0.02,10,0.01,0.01,0.0031777035588293,6,30,2970,30,1,1.0,0.032258064516129
0.02,10,0.01,0.01,0.0031777035588293,7,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.01,0.01,0.0031777035588293,8,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.01,0.01,0.0031777035588293,9,30,2970,30,9,1.0,0.2307692307692307
0.02,10,0.015,0.015,0.004742833744163,0,30,2970,30,23,1.0,0.4339622641509434
0.02,10,0.015,0.015,0.004742833744163,1,30,2970,30,13,1.0,0.3023255813953488
0.02,10,0.015,0.015,0.004742833744163,2,30,2970,30,13,1.0,0.3023255813953488
0.02,10,0.015,0.015,0.004742833744163,3,30,2970,30,36,1.0,0.5454545454545454
0.02,10,0.015,0.015,0.004742833744163,4,30,2970,30,14,1.0,0.3181818181818182
0.02,10,0.015,0.015,0.004742833744163,5,30,2970,30,7,1.0,0.1891891891891892
0.02,10,0.015,0.015,0.004742833744163,6,30,2970,30,8,1.0,0.2105263157894736
0.02,10,0.015,0.015,0.004742833744163,7,30,2970,30,8,1.0,0.2105263157894736
0.02,10,0.015,0.015,0.004742833744163,8,30,2970,30,28,1.0,0.4827586206896552
0.02,10,0.015,0.015,0.004742833744163,9,30,2970,30,31,1.0,0.5081967213114754
0.02,10,0.02,0.02,0.0063126685373225,0,30,2970,30,5,1.0,0.1428571428571428
0.02,10,0.02,0.02,0.0063126685373225,1,30,2970,30,11,1.0,0.2682926829268293
0.02,10,0.02,0.02,0.0063126685373225,2,30,2970,30,31,1.0,0.5081967213114754
0.02,10,0.02,0.02,0.0063126685373225,3,30,2970,30,6,1.0,0.1666666666666666
0.02,10,0.02,0.02,0.0063126685373225,4,30,2970,30,22,1.0,0.4230769230769231
0.02,10,0.02,0.02,0.0063126685373225,5,30,2970,30,35,1.0,0.5384615384615384
0.02,10,0.02,0.02,0.0063126685373225,6,30,2970,30,3,1.0,0.0909090909090909
0.02,10,0.02,0.02,0.0063126685373225,7,30,2970,30,40,1.0,0.5714285714285714
0.02,10,0.02,0.02,0.0063126685373225,8,30,2970,30,16,1.0,0.3478260869565217
0.02,10,0.02,0.02,0.0063126685373225,9,30,2970,30,11,1.0,0.2682926829268293
0.02,10,0.03,0.03,0.0094570717326724,0,30,2970,30,21,1.0,0.4117647058823529
0.02,10,0.03,0.03,0.0094570717326724,1,30,2970,30,49,1.0,0.620253164556962
0.02,10,0.03,0.03,0.0094570717326724,2,30,2970,30,92,1.0,0.7540983606557377
0.02,10,0.03,0.03,0.0094570717326724,3,30,2970,30,49,1.0,0.620253164556962
0.02,10,0.03,0.03,0.0094570717326724,4,30,2970,30,36,1.0,0.5454545454545454
0.02,10,0.03,0.03,0.0094570717326724,5,30,2970,30,22,1.0,0.4230769230769231
0.02,10,0.03,0.03,0.0094570717326724,6,30,2970,30,39,1.0,0.5652173913043478
0.02,10,0.03,0.03,0.0094570717326724,7,30,2970,30,74,1.0,0.7115384615384616
0.02,10,0.03,0.03,0.0094570717326724,8,30,2970,30,22,1.0,0.4230769230769231
0.02,10,0.03,0.03,0.0094570717326724,9,30,2970,30,29,1.0,0.4915254237288136
0.02,10,0.05,0.05,0.0157515370451374,0,30,2970,30,93,1.0,0.7560975609756098
0.02,10,0.05,0.05,0.0157515370451374,1,30,2970,30,52,1.0,0.6341463414634146
0.02,10,0.05,0.05,0.0157515370451374,2,30,2970,30,109,1.0,0.7841726618705036
0.02,10,0.05,0.05,0.0157515370451374,3,30,2970,30,67,1.0,0.6907216494845361
0.02,10,0.05,0.05,0.0157515370451374,4,30,2970,30,111,1.0,0.7872340425531915
0.02,10,0.05,0.05,0.0157515370451374,5,30,2970,30,62,1.0,0.6739130434782609
0.02,10,0.05,0.05,0.0157515370451374,6,30,2970,30,84,1.0,0.7368421052631579
0.02,10,0.05,0.05,0.0157515370451374,7,30,2970,30,99,1.0,0.7674418604651163
0.02,10,0.05,0.05,0.0157515370451374,8,30,2970,30,92,1.0,0.7540983606557377
0.02,10,0.05,0.05,0.0157515370451374,9,30,2970,30,51,1.0,0.6296296296296297
0.02,20,0.0,0.0,0.0004247940677551,0,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,1,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,2,60,23940,59,0,0.9833333333333332,0.0
0.02,20,0.0,0.0,0.0004247940677551,3,60,23940,60,1,1.0,0.0163934426229508
0.02,20,0.0,0.0,0.0004247940677551,4,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,5,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,6,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,7,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.0,0.0,0.0004247940677551,8,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551,9,60,23940,60,0,1.0,0.0
0.02,20,0.005,0.005,0.0016308858027061,0,60,23940,60,5,1.0,0.0769230769230769
0.02,20,0.005,0.005,0.0016308858027061,1,60,23940,60,10,1.0,0.1428571428571428
0.02,20,0.005,0.005,0.0016308858027061,2,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,3,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,4,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,5,60,23940,60,9,1.0,0.1304347826086956
0.02,20,0.005,0.005,0.0016308858027061,6,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,7,60,23940,60,3,1.0,0.0476190476190476
0.02,20,0.005,0.005,0.0016308858027061,8,60,23940,60,2,1.0,0.032258064516129
0.02,20,0.005,0.005,0.0016308858027061,9,60,23940,60,6,1.0,0.0909090909090909
0.02,20,0.01,0.01,0.0031777035588293,0,60,23940,60,24,1.0,0.2857142857142857
0.02,20,0.01,0.01,0.0031777035588293,1,60,23940,60,33,1.0,0.3548387096774194
