drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate
0.0,0.0,0,300,2999700,300,8,1.0,0.025974025974025976
0.0,0.0,1,300,2999700,300,7,1.0,0.02280130293159609
0.0,0.0,2,300,2999700,300,9,1.0,0.02912621359223301
0.0,0.0,3,300,2999700,300,6,1.0,0.0196078431372549
0.0,0.0,4,300,2999700,300,4,1.0,0.013157894736842105
0.0,0.0,5,300,2999700,300,4,1.0,0.013157894736842105
0.0,0.0,6,300,2999700,300,11,1.0,0.03536977491961415
0.0,0.0,7,300,2999700,300,9,1.0,0.02912621359223301
0.0,0.0,8,300,2999700,300,6,1.0,0.0196078431372549
0.0,0.0,9,300,2999700,300,7,1.0,0.02280130293159609
0.0,0.02,0,300,3224836,300,7,1.0,0.02280130293159609
0.0,0.02,1,300,3151200,300,14,1.0,0.044585987261146494
0.0,0.02,2,300,3162414,300,7,1.0,0.02280130293159609
0.0,0.02,3,300,3141200,300,6,1.0,0.0196078431372549
0.0,0.02,4,300,3172818,300,6,1.0,0.0196078431372549
0.0,0.02,5,300,3183018,300,7,1.0,0.02280130293159609
0.0,0.02,6,300,3172818,299,11,0.9966666666666667,0.035483870967741936
0.0,0.02,7,300,3183426,300,3,1.0,0.009900990099009901
0.0,0.02,8,300,3172615,299,9,0.9966666666666667,0.02922077922077922
0.0,0.02,9,300,3204030,300,3,1.0,0.009900990099009901
0.0,0.05,0,300,3526332,300,4,1.0,0.013157894736842105
0.0,0.05,1,300,3482556,300,8,1.0,0.025974025974025976
0.0,0.05,2,300,3393954,300,13,1.0,0.04153354632587859
0.0,0.05,3,300,3461132,300,9,1.0,0.02912621359223301
0.0,0.05,4,300,3406631,300,10,1.0,0.03225806451612903
0.0,0.05,5,300,3493785,300,7,1.0,0.02280130293159609
0.0,0.05,6,300,3505341,300,4,1.0,0.013157894736842105
0.0,0.05,7,300,3461024,300,6,1.0,0.0196078431372549
0.0,0.05,8,300,3470988,300,10,1.0,0.03225806451612903
0.0,0.05,9,300,3438870,300,7,1.0,0.02280130293159609
0.0,0.1,0,300,4004360,300,6,1.0,0.0196078431372549
0.0,0.1,1,300,4040220,300,5,1.0,0.01639344262295082
0.0,0.1,2,300,3943538,300,12,1.0,0.038461538461538464
0.0,0.1,3,300,3966190,300,10,1.0,0.03225806451612903
0.0,0.1,4,300,3991380,300,8,1.0,0.025974025974025976
0.0,0.1,5,300,3904020,300,4,1.0,0.013157894736842105
0.0,0.1,6,300,3980160,300,7,1.0,0.02280130293159609
0.0,0.1,7,300,3979827,300,11,1.0,0.03536977491961415
0.0,0.1,8,300,4051748,300,3,1.0,0.009900990099009901
0.0,0.1,9,300,4143489,300,10,1.0,0.03225806451612903
0.0,0.2,0,300,5183578,300,11,1.0,0.03536977491961415
0.0,0.2,1,300,5339575,300,6,1.0,0.0196078431372549
