n_tracks,drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate,pair_n_true,pair_n_false,pair_true_accepted,pair_false_accepted,pair_segment_efficiency,pair_segment_false_rate
20,0.0,0.0,0,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,1,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,2,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,3,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,4,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,5,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,6,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,7,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,8,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,9,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,0,60,24340,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,1,60,24340,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,2,60,25140,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,3,60,24340,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,4,60,25140,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,5,60,25140,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,6,60,24340,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,7,60,24740,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,8,60,25140,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.01,9,60,24340,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,0,60,25560,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,1,60,24740,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,2,60,25560,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,3,60,25560,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,4,60,25560,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,5,60,25160,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,6,60,25160,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,7,60,25560,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,8,60,24740,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.02,9,60,25140,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,0,60,28143,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,1,60,26780,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,2,60,27744,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,3,60,28164,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,4,60,27282,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,5,60,28584,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,6,60,27660,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,7,60,28584,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,8,60,27723,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.05,9,60,28920,60,1,1.0,0.01639344262295082,120,3040,120,0,1.0,0.0
20,0.0,0.1,0,60,30453,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,1,60,32784,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,2,60,32658,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,3,60,30300,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,4,60,32280,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,5,60,31566,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,6,60,33540,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,7,60,31862,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,8,60,30768,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.1,9,60,31378,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,0,60,39012,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,1,60,41904,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,2,60,42372,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,3,60,39474,60,1,1.0,0.01639344262295082,120,3040,120,0,1.0,0.0
20,0.0,0.2,4,60,40024,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,5,60,38902,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,6,60,40164,60,0,1.0,0.0,120,3040,120,2,1.0,0.01639344262295082
20,0.0,0.2,7,60,39708,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,8,60,41892,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.2,9,60,43690,60,1,1.0,0.01639344262295082,120,3040,120,0,1.0,0.0
20,0.0,0.5,0,60,85412,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,1,60,78096,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,2,60,86730,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,3,60,77412,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,4,60,89258,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,5,60,81604,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,6,60,82916,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,7,60,79168,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,8,60,83716,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.5,9,60,76236,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
100,0.0,0.0,0,300,2999700,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.0,1,300,2999700,300,2,1.0,0.006622516556291391,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.0,2,300,2999700,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.0,3,300,2999700,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.0,4,300,2999700,300,28,1.0,0.08536585365853659,600,79200,600,28,1.0,0.044585987261146494
100,0.0,0.0,5,300,2999700,300,7,1.0,0.02280130293159609,600,79200,600,22,1.0,0.03536977491961415
100,0.0,0.0,6,300,2999700,300,6,1.0,0.0196078431372549,600,79200,600,8,1.0,0.013157894736842105
100,0.0,0.0,7,300,2999700,300,11,1.0,0.03536977491961415,600,79200,600,4,1.0,0.006622516556291391
100,0.0,0.0,8,300,2999700,300,9,1.0,0.02912621359223301,600,79200,600,9,1.0,0.014778325123152709
100,0.0,0.0,9,300,2999700,300,9,1.0,0.02912621359223301,600,79200,600,0,1.0,0.0
100,0.0,0.01,0,300,3069900,299,7,0.9966666666666667,0.02287581699346405,600,79200,600,0,1.0,0.0
100,0.0,0.01,1,300,3080300,300,2,1.0,0.006622516556291391,600,79200,600,0,1.0,0.0
100,0.0,0.01,2,300,3110904,300,6,1.0,0.0196078431372549,600,79200,600,4,1.0,0.006622516556291391
100,0.0,0.01,3,300,3090300,299,5,0.9966666666666667,0.01644736842105263,600,79200,600,0,1.0,0.0
100,0.0,0.01,4,300,3060000,300,4,1.0,0.013157894736842105,600,79200,600,0,1.0,0.0
100,0.0,0.01,5,300,3069700,300,9,1.0,0.02912621359223301,600,79200,600,0,1.0,0.0
100,0.0,0.01,6,300,3110904,300,6,1.0,0.0196078431372549,600,79200,600,0,1.0,0.0
100,0.0,0.01,7,300,3110904,300,5,1.0,0.01639344262295082,600,79200,600,0,1.0,0.0
100,0.0,0.01,8,300,3080000,300,10,1.0,0.03225806451612903,600,79200,600,11,1.0,0.01800327332242226
100,0.0,0.01,9,300,3100804,300,10,1.0,0.03225806451612903,600,79200,600,19,1.0,0.030694668820678513
100,0.0,0.02,0,300,3162010,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.02,1,300,3193318,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.02,2,300,3193830,300,4,1.0,0.013157894736842105,600,79200,600,0,1.0,0.0
100,0.0,0.02,3,300,3203724,300,6,1.0,0.0196078431372549,600,79200,600,0,1.0,0.0
100,0.0,0.02,4,300,3193626,300,10,1.0,0.03225806451612903,600,79200,600,0,1.0,0.0
100,0.0,0.02,5,300,3151500,300,8,1.0,0.025974025974025976,600,79200,600,22,1.0,0.03536977491961415
100,0.0,0.02,6,300,3212805,300,6,1.0,0.0196078431372549,600,79200,600,1,1.0,0.0016638935108153079
100,0.0,0.02,7,300,3203824,300,8,1.0,0.025974025974025976,600,79200,600,0,1.0,0.0
100,0.0,0.02,8,300,3172306,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.02,9,300,3182916,300,3,1.0,0.009900990099009901,600,79200,600,14,1.0,0.02280130293159609
100,0.0,0.05,0,300,3505438,300,10,1.0,0.03225806451612903,600,79200,600,0,1.0,0.0
100,0.0,0.05,1,300,3437732,300,6,1.0,0.0196078431372549,600,79200,600,0,1.0,0.0
100,0.0,0.05,2,300,3472260,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.05,3,300,3525790,300,1,1.0,0.0033222591362126247,600,79200,600,0,1.0,0.0
100,0.0,0.05,4,300,3494308,300,11,1.0,0.03536977491961415,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.05,5,300,3494320,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.05,6,300,3494213,300,5,1.0,0.01639344262295082,600,79200,600,0,1.0,0.0
100,0.0,0.05,7,300,3471735,300,15,1.0,0.047619047619047616,600,79200,600,0,1.0,0.0
100,0.0,0.05,8,300,3527380,300,6,1.0,0.0196078431372549,600,79200,600,1,1.0,0.0016638935108153079
100,0.0,0.05,9,300,3536423,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.1,0,300,4096124,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.1,1,300,4024752,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.1,2,300,4029000,300,9,1.0,0.02912621359223301,600,79200,600,24,1.0,0.038461538461538464
100,0.0,0.1,3,300,4005020,300,8,1.0,0.025974025974025976,600,79200,600,19,1.0,0.030694668820678513
100,0.0,0.1,4,300,3932093,300,6,1.0,0.0196078431372549,600,79200,600,4,1.0,0.006622516556291391
100,0.0,0.1,5,300,3930900,300,14,1.0,0.044585987261146494,600,79200,600,7,1.0,0.011532125205930808
100,0.0,0.1,6,300,4076730,300,4,1.0,0.013157894736842105,600,79200,600,0,1.0,0.0
100,0.0,0.1,7,300,3990844,299,11,0.9966666666666667,0.035483870967741936,600,79200,600,0,1.0,0.0
100,0.0,0.1,8,300,4002710,300,8,1.0,0.025974025974025976,600,79200,600,0,1.0,0.0
100,0.0,0.1,9,300,3973110,300,7,1.0,0.02280130293159609,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.2,0,300,5180796,300,4,1.0,0.013157894736842105,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.2,1,300,5224594,300,9,1.0,0.02912621359223301,600,79200,600,0,1.0,0.0
100,0.0,0.2,2,300,5034400,300,4,1.0,0.013157894736842105,600,79200,600,0,1.0,0.0
100,0.0,0.2,3,300,5037486,300,5,1.0,0.01639344262295082,600,79200,600,32,1.0,0.05063291139240506
100,0.0,0.2,4,300,5123840,300,9,1.0,0.02912621359223301,600,79200,600,0,1.0,0.0
100,0.0,0.2,5,300,5241300,300,9,1.0,0.02912621359223301,600,79200,600,19,1.0,0.030694668820678513
100,0.0,0.2,6,300,5125974,300,3,1.0,0.009900990099009901,600,79200,600,1,1.0,0.0016638935108153079
100,0.0,0.2,7,300,5324260,300,22,1.0,0.06832298136645963,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.2,8,300,5185720,300,7,1.0,0.02280130293159609,600,79200,600,0,1.0,0.0
100,0.0,0.2,9,300,5112286,300,9,1.0,0.02912621359223301,600,79200,600,16,1.0,0.025974025974025976
100,0.0,0.5,0,300,10031910,300,20,1.0,0.0625,600,79200,600,15,1.0,0.024390243902439025
100,0.0,0.5,1,300,10414770,300,16,1.0,0.05063291139240506,600,79200,600,0,1.0,0.0
100,0.0,0.5,2,300,10405942,300,19,1.0,0.05956112852664577,600,79200,600,0,1.0,0.0
100,0.0,0.5,3,300,9604914,299,17,0.9966666666666667,0.05379746835443038,600,79200,600,0,1.0,0.0
100,0.0,0.5,4,300,9471624,300,11,1.0,0.03536977491961415,600,79200,600,12,1.0,0.0196078431372549
100,0.0,0.5,5,300,10243540,300,19,1.0,0.05956112852664577,600,79200,600,5,1.0,0.008264462809917356
100,0.0,0.5,6,300,10023396,300,24,1.0,0.07407407407407407,600,79200,600,21,1.0,0.033816425120772944
100,0.0,0.5,7,300,10236080,300,16,1.0,0.05063291139240506,600,79200,600,0,1.0,0.0
100,0.0,0.5,8,300,10318587,300,13,1.0,0.04153354632587859,600,79200,600,0,1.0,0.0
100,0.0,0.5,9,300,10168652,300,12,1.0,0.038461538461538464,600,79200,600,0,1.0,0.0
500,0.0,0.0,0,1500,374998500,1500,824,1.0,0.35456110154905335,3000,1996000,3000,150,1.0,0.047619047619047616
500,0.0,0.0,1,1500,374998500,1500,854,1.0,0.36278674596431604,3000,1996000,3000,240,1.0,0.07407407407407407
