task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_res,10,0.02,0.0001,0.0,0.0004247940677551889,20,0.95,0.049999999999999996,0.22360679774997896,0.05,0.049999999999999996,0.22360679774997896,0.0,0.0,0.0,0.95,0.049999999999999996,0.22360679774997896,0.95,0.049999999999999996,0.22360679774997896,0.8
verify_res,20,0.02,0.0001,0.0,0.0004247940677551889,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.54
verify_res,50,0.02,0.0001,0.0,0.0004247940677551889,20,0.9059999999999999,0.05018072601266242,0.22441502904921032,0.04553680476058895,0.025042422937279003,0.11199312001811161,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,117.61
verify_res,100,0.02,0.0001,0.0,0.0004247940677551889,20,0.9780000000000001,0.012888183082106446,0.05763770695610553,0.008434016622169933,0.004929654814747909,0.022046086542770918,0.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.00010000000000000009,0.00044721359549995833,1030.38
verify_res,10,0.02,0.0001,0.005,0.0016308858027061653,20,0.9400000000000001,0.0504714614515236,0.22571523745873395,0.005555555555555555,0.005555555555555554,0.02484519974999766,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,0.63
verify_res,20,0.02,0.0001,0.005,0.0016308858027061653,20,0.9075,0.04203303838398401,0.18797746225489234,0.03724200206398348,0.015170921482863722,0.06784642343399039,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.61
verify_res,50,0.02,0.0001,0.005,0.0016308858027061653,20,0.8119999999999999,0.05694688199033423,0.25467419847409173,0.09683657760916775,0.0496931065203485,0.22223432838527457,0.0,0.0,0.0,0.95,0.049999999999999996,0.22360679774997896,0.95,0.049999999999999996,0.22360679774997896,83.14
verify_res,100,0.02,0.0001,0.005,0.0016308858027061653,20,0.586,0.08098862818159623,0.3621921560370087,0.23817129920241217,0.08760613590838526,0.39178655027446946,0.0,0.0,0.0,0.8,0.0917662935482247,0.41039134083406165,0.7998837209302325,0.091753028135233,0.41033201610366354,1073.8
verify_res,10,0.02,0.0001,0.01,0.0031777035588293387,20,0.9700000000000001,0.0163835604381825,0.07326950970650463,0.016666666666666666,0.009101978021212502,0.04070528317028036,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.71
verify_res,20,0.02,0.0001,0.01,0.0031777035588293387,20,0.8574999999999999,0.06701089856370969,0.2996818488435958,0.06622807017543861,0.04963072060331539,0.22195533008262516,0.0,0.0,0.0,0.899537037037037,0.0687908652774571,0.3076421019828481,0.9,0.06882472016116853,0.30779350562554625,6.1
verify_res,50,0.02,0.0001,0.01,0.0031777035588293387,20,0.5469999999999999,0.07233365672172838,0.3234859469818385,0.2305677776716688,0.07567858971302546,0.3384449420792825,0.0,0.0,0.0,0.85,0.08191780219091253,0.36634754853252327,0.85,0.08191780219091253,0.36634754853252327,116.82000000000001
verify_res,100,0.02,0.0001,0.01,0.0031777035588293387,20,0.22149999999999997,0.06251852357080806,0.27959133711449946,0.4268269132071315,0.10114829179538595,0.4523489125249345,0.0,0.0,0.0,0.65,0.1094243309804831,0.4893604849295929,0.65,0.1094243309804831,0.4893604849295929,1305.0900000000001
verify_res,10,0.02,0.0001,0.015,0.0047428337441630134,20,0.85,0.055960512393726534,0.250263019536184,0.10416666666666667,0.051491520716065685,0.23027708117192305,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,0.8300000000000001
