event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible
0,10,5e-05,0.0,0.02,0.00021319005605327846,0.05,1.0,0.0,0.0,1.0,1.0,10,10
1,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
2,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
3,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
4,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
5,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
6,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
7,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
8,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
9,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
10,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
11,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
12,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
13,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
14,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
15,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
16,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
17,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
18,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
19,10,5e-05,0.0,0.02,0.00021319005605327846,0.04,1.0,0.0,0.0,1.0,1.0,10,10
0,20,5e-05,0.0,0.02,0.00021319005605327846,0.35,1.0,0.0,0.0,1.0,1.0,20,20
1,20,5e-05,0.0,0.02,0.00021319005605327846,0.34,1.0,0.0,0.0,1.0,1.0,20,20
2,20,5e-05,0.0,0.02,0.00021319005605327846,0.35,1.0,0.0,0.0,1.0,1.0,20,20
3,20,5e-05,0.0,0.02,0.00021319005605327846,0.35,1.0,0.0,0.0,1.0,1.0,20,20
4,20,5e-05,0.0,0.02,0.00021319005605327846,0.35,1.0,0.0,0.0,1.0,1.0,20,20
5,20,5e-05,0.0,0.02,0.00021319005605327846,0.35,1.0,0.0,0.0,1.0,1.0,20,20
