event,n_tracks,angle,sigma_scatt,sigma_res,gamma,delta,epsilon,threshold,n_segments,n_reco,n_truth,n_hits,x_min,x_max,x_median,wall_time_s,t_generate_s,t_build_s,t_solve_s,t_reco_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency
0,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,390,10,10,49,0.25,0.4545454545454546,0.25,0.72,0.0,0.71,0.0,0.001,0.9,0.0,0.0,1.0,0.6
1,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,353,9,10,46,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.6
2,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
3,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
4,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,380,10,10,48,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.6
5,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
6,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,380,10,10,48,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.6
7,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
8,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,344,8,10,46,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.6
9,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,380,10,10,48,0.25,0.4545454545454546,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.6
