n_trk,src,fr_impurity,p_leak,auc,reps
50,E1-sv,1.5521197487712015,0.032667634379374894,0.9996564725992064,20
100,E1-sv,4.638742933761053,0.04935048815030964,0.9998743963144957,20
200,E1-sv,15.576335287209611,0.0928721767102927,0.9997617436251505,10
500,E1-sv,54.52617543376182,0.24048424442545682,0.9993935620147167,5
1000,E1-sv,82.5689181062812,0.4744679538513559,0.9990747987831079,3
50,E2-sm,1.1537067447907996,0.021218813958575358,0.9411751008769125,20
100,E2-sm,3.6295961988002907,0.03360798178830751,0.9398728433355756,20
200,E2-sm,16.426891727472178,0.08710768786603781,0.9391149298394368,10
500,E2-sm,54.91256277629624,0.22839662788565546,0.9669185799776814,5
1000,E2-sm,82.75135440182864,0.45415683456077643,0.9714098237827598,3
50,E2-hi,0.8754751107335502,0.0182501046779586,0.9986623513294768,30
100,E2-hi,4.414617973728222,0.047073504990385005,0.9998773260557662,30
200,E2-hi,15.698444894836904,0.09383031439901955,0.9997541629645474,30
500,E2-hi,53.75262213114546,0.23312802907875524,0.9994134879489851,30
1000,E2-hi,82.08686286456329,0.45897950912761654,0.9989392741977441,9
