angle,n_tracks,scale,theta_d,measurement_error,collision_noise,convolution,epsilon,n_repeats,m_reconstruction_efficiency_mean,m_reconstruction_efficiency_se,m_ghost_rate_mean,m_ghost_rate_se,m_clone_fraction_total_mean,m_clone_fraction_total_se,m_clone_fraction_among_matched_mean,m_clone_fraction_among_matched_se,m_purity_all_matched_mean,m_purity_all_matched_se,m_purity_primary_only_mean,m_purity_primary_only_se,m_hit_efficiency_mean_mean,m_hit_efficiency_mean_se,m_hit_efficiency_weighted_mean,m_hit_efficiency_weighted_se,hit_purity_mean_primary_mean,hit_purity_mean_primary_se,hit_efficiency_mean_primary_mean,hit_efficiency_mean_primary_se,hit_efficiency_weighted_primary_mean,hit_efficiency_weighted_primary_se
0.04,10,1,0.0001,0.0,5e-05,True,7.3824115301167e-05,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9800000000000001,0.0,0.0,0.0,1.0,0.0,0.9800000000000001,0.0,0.0,0.0
0.04,10,1,0.0001,0.0,0.0001,True,0.00014300349646075093,3,0.9,0.05773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9327777777777778,0.004339027597725922,0.0,0.0,1.0,0.0,0.9327777777777778,0.004339027597725922,0.0,0.0
0.04,10,1,0.0001,0.0,0.0004,True,0.0005660830327787611,3,0.5,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7738095238095237,0.07217860186297197,0.0,0.0,1.0,0.0,0.7738095238095237,0.07217860186297197,0.0,0.0
0.04,10,1,0.0001,0.01,5e-05,True,0.0010523204394088015,3,0.4333333333333333,0.08819171036881969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7888888888888888,0.029397236789606502,0.0,0.0,1.0,0.0,0.7888888888888888,0.029397236789606502,0.0,0.0
0.04,10,1,0.0001,0.01,0.0001,True,0.0010594235730799712,3,0.39999999999999997,0.05773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7444444444444445,0.029397236789606557,0.0,0.0,1.0,0.0,0.7444444444444445,0.029397236789606557,0.0,0.0
0.04,10,1,0.0001,0.01,0.0004,True,0.0011926350268198285,3,0.5333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7133333333333333,0.04666666666666668,0.0,0.0,1.0,0.0,0.7133333333333333,0.04666666666666668,0.0,0.0
0.04,10,1,0.0001,0.05,5e-05,True,0.005249153951365971,3,0.2333333333333333,0.033333333333333326,0.16666666666666666,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0666666666666667,0.0,0.0,1.0,0.0,0.6666666666666666,0.0666666666666667,0.0,0.0
0.04,10,1,0.0001,0.05,0.0001,True,0.00525058255864442,3,0.2333333333333333,0.1452966314513558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.2973808570665904,0.56,0.2948445918332798,0.0,0.0,0.5714285714285715,0.2973808570665904,0.56,0.2948445918332798,0.0,0.0
0.04,10,1,0.0001,0.05,0.0004,True,0.005279073517686696,3,0.2333333333333333,0.033333333333333326,0.1111111111111111,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6777777777777777,0.04006168083848879,0.0,0.0,1.0,0.0,0.6777777777777777,0.04006168083848879,0.0,0.0
0.04,10,1,0.001,0.0,5e-05,True,7.3824115301167e-05,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.001,0.0,0.0001,True,0.00014300349646075093,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.04,10,1,0.001,0.0,0.0004,True,0.0005660830327787611,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9866666666666667,0.006666666666666637,0.0,0.0,1.0,0.0,0.9866666666666667,0.006666666666666637,0.0,0.0
0.04,10,1,0.001,0.01,5e-05,True,0.0010523204394088015,3,0.9,0.05773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.945925925925926,0.023529452110027552,0.0,0.0,1.0,0.0,0.945925925925926,0.023529452110027552,0.0,0.0
0.04,10,1,0.001,0.01,0.0001,True,0.0010594235730799712,3,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9303703703703704,0.025021252968969725,0.0,0.0,1.0,0.0,0.9303703703703704,0.025021252968969725,0.0,0.0
0.04,10,1,0.001,0.01,0.0004,True,0.0011926350268198285,3,0.8666666666666667,0.0881917103688197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9387301587301587,0.0028216490213700232,0.0,0.0,1.0,0.0,0.9387301587301587,0.0028216490213700232,0.0,0.0
0.04,10,1,0.001,0.05,5e-05,True,0.005249153951365971,3,0.43333333333333335,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7555555555555555,0.06547075494513883,0.0,0.0,1.0,0.0,0.7555555555555555,0.06547075494513883,0.0,0.0
0.04,10,1,0.001,0.05,0.0001,True,0.00525058255864442,3,0.3666666666666667,0.03333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7722222222222221,0.06826780959691395,0.0,0.0,1.0,0.0,0.7722222222222221,0.06826780959691395,0.0,0.0
0.04,10,1,0.001,0.05,0.0004,True,0.005279073517686696,3,0.3333333333333333,0.08819171036881969,0.16666666666666666,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7511111111111112,0.024745619390355644,0.0,0.0,1.0,0.0,0.7511111111111112,0.024745619390355644,0.0,0.0
