n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,far,far_s,n_reps,f1
2,0.1,0.975,0.017370208344491277,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9873417721518987
2,0.15,0.975,0.017370208344491277,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9873417721518987
2,0.2,0.9083333333333333,0.01888917060867218,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
2,0.25,0.7375,0.012499999999999999,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8489208633093526
2,0.3,0.7375,0.012499999999999999,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8489208633093526
2,0.35,0.7291666666666666,0.013512623585691361,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8433734939759037
2,0.4,0.6833333333333333,0.01771150242095974,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8118811881188119
2,0.45,0.49166666666666664,0.011886274643647375,1.0,0.0,0.0,0.0,0.0,0.0,30,0.659217877094972
2,0.5,0.45,0.012854177727784506,1.0,0.0,0.0,0.0,0.0,0.0,30,0.6206896551724138
2,0.55,0.275,0.011051083059212303,1.0,0.0,0.0,0.0,0.0,0.0,30,0.4313725490196079
2,0.6,0.24166666666666667,0.0057900694481637606,1.0,0.0,0.0,0.0,0.0,0.0,30,0.38926174496644295
2,0.65,0.16666666666666666,0.015082785600012307,0.9,0.055708601453115555,0.0,0.0,0.0,0.0,30,0.28125
2,0.7,0.008333333333333333,0.0057900694481637606,0.06666666666666667,0.046320555585310084,0.0,0.0,0.0,0.0,30,0.014814814814814815
2,0.75,0.004166666666666667,0.004166666666666666,0.03333333333333333,0.033333333333333326,0.0,0.0,0.0,0.0,30,0.007407407407407408
2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,0.1,0.9533333333333334,0.015337830424984947,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9761092150170648
5,0.15,0.9450000000000001,0.0148459522715983,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9717223650385605
5,0.2,0.9316666666666666,0.014871737705307978,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9646246764452113
5,0.25,0.8833333333333333,0.015781069215799973,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9380530973451328
5,0.3,0.8216666666666667,0.016203329680047444,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9021043000914912
5,0.35,0.765,0.015190362946183403,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8668555240793201
5,0.4,0.7283333333333334,0.013494003209031928,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8428158148505304
5,0.45,0.705,0.013844373104863457,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8269794721407624
5,0.5,0.6616666666666667,0.015662263993751403,1.0,0.0,0.0,0.0,0.0,0.0,30,0.7963891675025077
5,0.55,0.6,0.014182715723279385,1.0,0.0,0.0,0.0,0.0,0.0,30,0.7499999999999999
5,0.6,0.535,0.013593017139050798,1.0,0.0,0.0,0.0,0.0,0.0,30,0.6970684039087948
5,0.65,0.4516666666666667,0.012567823660876262,1.0,0.0,0.0,0.0,0.0,0.0,30,0.6222732491389209
5,0.7,0.36833333333333335,0.010306602429503466,1.0,0.0,0.0,0.0,0.0,0.0,30,0.53836784409257
5,0.75,0.2866666666666667,0.008621455904643298,1.0,0.0,0.0,0.0,0.0,0.0,30,0.4455958549222798
5,0.8,0.22166666666666668,0.007835717416609036,1.0,0.0,0.0,0.0,0.0,0.0,30,0.3628922237380628
5,0.85,0.15,0.006780635036208104,1.0,0.0,0.0,0.0,0.0,0.0,30,0.2608695652173913
5,0.9,0.09333333333333332,0.008211756827352529,0.9666666666666667,0.033333333333333326,0.0,0.0,0.0,0.0,30,0.170230607966457
5,0.95,0.05,0.0071919495222807625,0.7333333333333333,0.0821175682735253,0.0,0.0,0.0,0.0,30,0.09361702127659574
5,1.0,0.020000000000000004,0.005673086289311755,0.3333333333333333,0.0875376219064817,0.0,0.0,0.0,0.0,30,0.03773584905660378
5,1.05,0.0033333333333333335,0.0023160277792655037,0.06666666666666667,0.046320555585310084,0.0,0.0,0.0,0.0,30,0.00634920634920635
5,1.1,0.0016666666666666668,0.001666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,30,0.003174603174603175
5,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0
10,0.1,0.9083333333333333,0.008753762190648167,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
10,0.15,0.9083333333333333,0.008753762190648167,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
10,0.2,0.9083333333333333,0.008753762190648167,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
10,0.25,0.9083333333333333,0.008753762190648167,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
10,0.3,0.9083333333333333,0.008753762190648167,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9519650655021834
10,0.35,0.89,0.010352966147243842,1.0,0.0,0.0,0.0,0.0,0.0,30,0.9417989417989417
10,0.4,0.7883333333333333,0.009028477721171258,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8816402609506058
10,0.45,0.7883333333333333,0.009028477721171258,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8816402609506058
10,0.5,0.7708333333333334,0.00981754040566466,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8705882352941177
10,0.55,0.7041666666666667,0.009291212426400035,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8264058679706603
10,0.6,0.6958333333333333,0.010317052431834688,1.0,0.0,0.0,0.0,0.0,0.0,30,0.8206388206388207
10,0.65,0.6483333333333333,0.009879542701191912,1.0,0.0,0.0,0.0,0.0,0.0,30,0.7866531850353892
10,0.7,0.6,0.010241340609083579,1.0,0.0,0.0,0.0,0.0,0.0,30,0.7499999999999999
10,0.75,0.5533333333333333,0.009186238249690492,1.0,0.0,0.0,0.0,0.0,0.0,30,0.7124463519313305
10,0.8,0.5125,0.011667692894109974,1.0,0.0,0.0,0.0,0.0,0.0,30,0.6776859504132231
10,0.85,0.43666666666666665,0.009937544428682102,1.0,0.0,0.0,0.0,0.0,0.0,30,0.6078886310904873
10,0.9,0.38833333333333336,0.007743493128023992,1.0,0.0,0.0,0.0,0.0,0.0,30,0.5594237695078031
10,0.95,0.33249999999999996,0.006581714481595307,1.0,0.0,0.0,0.0,0.0,0.0,30,0.49906191369605996
10,1.0,0.28,0.00807650203104483,1.0,0.0,0.0,0.0,0.0,0.0,30,0.43750000000000006
10,1.05,0.24250000000000002,0.006359669983485823,1.0,0.0,0.0,0.0,0.0,0.0,30,0.39034205231388336
10,1.1,0.20166666666666666,0.0069824629803551886,1.0,0.0,0.0,0.0,0.0,0.0,30,0.3356449375866852
10,1.15,0.1475,0.006603508297797502,1.0,0.0,0.0,0.0,0.0,0.0,30,0.2570806100217865
10,1.2,0.10583333333333332,0.006306734829890931,1.0,0.0,0.0,0.0,0.0,0.0,30,0.19140919366993217
10,1.25,0.07250000000000001,0.006035098490754186,1.0,0.0,0.0,0.0,0.0,0.0,30,0.1351981351981352
10,1.3,0.06083333333333333,0.005451369823282179,1.0,0.0,0.0,0.0,0.0,0.0,30,0.11468970934799685
10,1.35,0.041666666666666664,0.0046936820664587155,0.9333333333333333,0.04632055558531008,0.0,0.0,0.0,0.0,30,0.07977207977207977
10,1.4,0.027500000000000004,0.003856253318335351,0.7666666666666667,0.07854032324531728,0.0,0.0,0.0,0.0,30,0.05309548793284365
10,1.45,0.016666666666666666,0.003460228327239166,0.5333333333333333,0.09264111117062017,0.0,0.0,0.0,0.0,30,0.03232323232323232
10,1.5,0.010833333333333334,0.0033225399968474932,0.3333333333333333,0.0875376219064817,0.0,0.0,0.0,0.0,30,0.020984665052461663
20,0.1,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.15,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.2,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.25,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.3,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.35,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.4,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.45,0.8837499999999999,0.008286145132051772,0.998290317277659,0.00118800639728193,0.0017096827223409504,0.0011880063972819293,8.771929824561403e-05,6.0948099454355355e-05,30,0.9375347167591773
20,0.5,0.8104166666666667,0.010938098642621066,0.9984997029114676,0.0011074511902319463,0.0015002970885323829,0.0011074511902319476,6.578947368421052e-05,4.835548178689705e-05,30,0.894680168204665
20,0.55,0.7725000000000001,0.008377755165269238,0.9984997029114676,0.0011074511902319463,0.0015002970885323829,0.0011074511902319476,6.578947368421052e-05,4.835548178689705e-05,30,0.871079785311142
20,0.6,0.7725000000000001,0.008377755165269238,0.9984997029114676,0.0011074511902319463,0.0015002970885323829,0.0011074511902319476,6.578947368421052e-05,4.835548178689705e-05,30,0.871079785311142
20,0.65,0.7725000000000001,0.008377755165269238,0.9984997029114676,0.0011074511902319463,0.0015002970885323829,0.0011074511902319476,6.578947368421052e-05,4.835548178689705e-05,30,0.871079785311142
20,0.7,0.7241666666666667,0.009186238249690492,0.9982445520581114,0.0013000159378712783,0.0017554479418886197,0.0013000159378712794,6.578947368421052e-05,4.835548178689705e-05,30,0.8393993512388901
