n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
2,0.1,0.975,0.017370208344491277,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.9873417721518987
2,0.15,0.975,0.017370208344491277,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.9873417721518987
2,0.2,0.975,0.017370208344491277,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.9873417721518987
2,0.25,0.7375,0.012499999999999999,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.8489208633093526
2,0.3,0.7375,0.012499999999999999,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.8489208633093526
2,0.35,0.7291666666666666,0.013512623585691361,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.8433734939759037
2,0.4,0.7291666666666666,0.013512623585691361,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.8433734939759037
2,0.45,0.4875,0.006963575181639444,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.6554621848739496
2,0.5,0.48333333333333334,0.009908586005498085,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.6516853932584269
2,0.55,0.25,0.0,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.4
2,0.6,0.24583333333333332,0.004166666666666665,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.3946488294314381
2,0.65,0.2375,0.006963575181639444,1.0,0.0,0.0,0.0,0.6595813264772102,30,0.3838383838383838
2,0.7,0.004166666666666667,0.004166666666666666,0.03333333333333333,0.033333333333333326,0.0,0.0,0.6595813264772102,30,0.007407407407407408
2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595813264772102,30,0.0
5,0.1,0.9566666666666667,0.015486986256047988,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.9778534923339013
5,0.15,0.9566666666666667,0.015486986256047988,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.9778534923339013
5,0.2,0.9566666666666667,0.015486986256047988,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.9778534923339013
5,0.25,0.9566666666666667,0.015486986256047988,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.9778534923339013
5,0.3,0.735,0.005945151603298852,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8472622478386168
5,0.35,0.725,0.010380684981717495,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8405797101449275
5,0.4,0.725,0.010380684981717495,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8405797101449275
5,0.45,0.7216666666666666,0.010362213997365768,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8383349467570183
5,0.5,0.7083333333333334,0.012928479952018018,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8292682926829268
5,0.55,0.7016666666666667,0.016167821975546066,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.8246816846229187
5,0.6,0.4766666666666667,0.007084600968383895,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.6455981941309256
5,0.65,0.4666666666666667,0.010810098868553086,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.6363636363636364
5,0.7,0.4666666666666667,0.010810098868553086,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.6363636363636364
5,0.75,0.245,0.00438780965439687,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.393574297188755
5,0.8,0.235,0.005440376930822466,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.38056680161943324
5,0.85,0.23166666666666666,0.005613680607381026,1.0,0.0,0.0,0.0,0.8923174710173204,30,0.3761840324763193
5,0.9,0.043333333333333335,0.01472610734538808,0.23333333333333334,0.07854032324531726,0.0,0.0,0.8923174710173204,30,0.07309236947791166
5,0.95,0.01,0.006948083337796512,0.06666666666666667,0.046320555585310084,0.0,0.0,0.8923174710173204,30,0.017391304347826087
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923174710173204,30,0.0
